cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
4827fe1ca51a,ACTA2,TAGLN2;EZR;JUNB;NR4A1;FOXE1;ANXA1,6,37.5,0.1975,exp02_thyroid-coregtor-n_five
f8cfbf642d9b,ACTB,JUN;NR4A1;EGR1;JUNB,4,80.0,0.9004,exp02_thyroid-coregtor-n_five
2788573f3d8c,APOE,PAX8;EPAS1;ID4;CAT;CD59,5,35.7143,0.411,exp02_thyroid-coregtor-n_five
062ec63aec3e,CLU,SOD1;YBX1;RPS10;RPL6;P4HB,5,50.0,0.572,exp02_thyroid-coregtor-n_five
e1ae23d5b18f,CRYAB,SOD1;DDIT3;JUN;CLK1;FOS,5,83.3333,0.7437,exp02_thyroid-coregtor-n_five
cc113ee0b983,DUSP1,JUN;FOS;EGR1;NR4A1,4,80.0,0.8187,exp02_thyroid-coregtor-n_five
f868766a26d7,GADD45B,CEBPD,1,100.0,0.0,exp02_thyroid-coregtor-n_five
6886d97a003d,GSTP1,PRDX5,1,100.0,0.0,exp02_thyroid-coregtor-n_five
964082b25af9,HBB,TAGLN2;CSNK2B;ATF4;CAT;UBXN1;CD59;RPL35,7,70.0,0.6228,exp02_thyroid-coregtor-n_five
7669be19258b,HLA-E,TAGLN2;ATF4;RPL35,3,100.0,0.0,exp02_thyroid-coregtor-n_five
f9d29294e440,HSP90AA1,CLK1;DDIT3;ATF4;SOD1,4,80.0,0.1957,exp02_thyroid-coregtor-n_five
a1b96e3b6843,HSPA1A,SOD1;CLK1;FOS;JUN;TRIM28,5,83.3333,0.5125,exp02_thyroid-coregtor-n_five
b1e14fb58d37,ID3,ID1,1,100.0,0.0,exp02_thyroid-coregtor-n_five
7de6f2db5d1d,MAT2A,EZR;PHF1;SF1;IVD;NKX2-1,5,71.4286,0.3369,exp02_thyroid-coregtor-n_five
0e9797e071c4,MCL1,EGR1;JUNB,2,40.0,0.8888,exp02_thyroid-coregtor-n_five
0c615f46ccfd,MCL1,JUND;NR4A1;FOS,3,60.0,0.1705,exp02_thyroid-coregtor-n_five
69e69f1403c0,PER1,NR4A1;JUND,2,40.0,0.7718,exp02_thyroid-coregtor-n_five
d541b48ebc6d,PER1,PAX8;SF1;PHF1,3,60.0,0.3408,exp02_thyroid-coregtor-n_five
5699cca74e16,RHOA,YWHAE;CANX;YBX1;SOD1;TPI1,5,71.4286,0.3346,exp02_thyroid-coregtor-n_five
c208553f989e,SPARC,TAGLN2;ANXA1,2,100.0,0.0,exp02_thyroid-coregtor-n_five
50bbb727a20c,TAGLN,EZR;TAGLN2;JUNB;NR4A1;FOXE1,5,45.4545,0.3921,exp02_thyroid-coregtor-n_five
c2d1dd3faa0c,TIMP1,TAGLN2;ENO1;CD59;CEBPD,4,66.6667,0.7835,exp02_thyroid-coregtor-n_five
81cc866df6e0,TIMP1,RPL35;CAT,2,33.3333,0.3381,exp02_thyroid-coregtor-n_five
62f2e8d92538,TIMP3,EPAS1,1,100.0,0.0,exp02_thyroid-coregtor-n_five
2e4fb4fd2085,TKT,ENO1;SOD1;PRDX5;TPI1;P4HB,5,55.5556,0.3901,exp02_thyroid-coregtor-n_five
82ca69d499b1,VEGFA,PAX8;HES1,2,100.0,0.0,exp02_thyroid-coregtor-n_five
0555073acc9f,VIM,RPL35;RPL6;TAGLN2;ATF4;CSNK2B,5,45.4545,0.2783,exp02_thyroid-coregtor-n_five
