,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,8dedfe4476c3,ACTB,APEX1;ARID5A;ARNT2;ATF2;ATF4;BHLHE22;BHLHE41;CEBPB;CEBPG;CIC;CREBL2;CTBP1;DDIT3;DEAF1;DRAP1;E4F1;EGR3;ELK1;EMX2;ENO1;ERF;ETS2;EWSR1;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HIF1A;HLF;HMGA1;HMGB2;HSF4;JAZF1;JUND;KLF13;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NPAS2;NR2E1;NR2F2;PBX1;PIR;PPARD;RBFOX2;RELA;RFX5;SMARCA1;SND1;SOX2;SREBF2;STAT1;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZNF189;ZNF32;ZSCAN18,78,exp03-coregnet,0.47486,0.48643,0.49048,6.62342,7.56893,5.20638,0.52765,1.64651,0.45955,0.01282,0.04762,0.0102
1,cb287f0de26c,APOE,ATF3;BCL6;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPD;DBP;DDIT3;EGR1;EGR3;EMX2;ENO1;FEZF2;FOS;FOXG1;HES4;HES5;HIF1A;HIF3A;HLF;HMGB2;ID2;ID4;JUN;JUNB;LHX2;MEF2C;MESP1;NFIL3;NR1D1;NR2E1;NR4A1;PIR;RFX4;SOX2;SOX9;SREBF1;XBP1,39,exp03-coregnet,0.45569,0.59154,0.46975,6.76307,21.16635,4.59558,0.53901,1.84162,0.4536,0.02564,0.04167,0.01613
2,c36f55974074,APP,APEX1;ARNT2;ATF2;ATF3;ATF4;BHLHE22;BHLHE41;CEBPG;CIC;CREBL2;CREBZF;CTBP1;DDIT3;DEAF1;E4F1;EGR1;EGR3;ELK1;ENO1;ERF;ETS2;EWSR1;FOS;FOXG1;FOXJ3;GTF2F1;GTF3A;HES4;HLF;HMGA1;HMGB2;HSF4;ID2;JAZF1;JUN;JUND;KLF13;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NPAS2;NR1D2;NR2F2;NR4A1;PBX1;PPARD;RBFOX2;RFX5;SCRT1;SMARCA1;SND1;SOX2;SREBF1;SREBF2;STAT1;STAT2;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZNF189;ZNF32;ZNF692;ZSCAN18,81,exp03-coregnet,0.475,0.48444,0.48387,6.52169,7.71707,4.42555,0.54523,1.66796,0.4805,0.08642,0.14286,0.05691
3,59cef40c7795,BCL2L1,APEX1;ARNT2;ATF2;ATF4;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPG;CIC;CREBL2;CREBZF;CTBP1;DDIT3;DEAF1;DRAP1;E4F1;EGR3;EMX2;ENO1;ERF;ETS2;EWSR1;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HIF1A;HLF;HMGA1;HMGB2;HSF4;ID4;JAZF1;JUND;KLF13;KLF15;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NPAS2;NR1D2;NR2E1;NR2F2;PBX1;PIR;PPARD;RBFOX2;RELA;RFX5;SMARCA1;SND1;SOX2;SOX9;SREBF1;SREBF2;STAT1;STAT2;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZGPAT;ZNF189;ZNF32;ZNF692;ZSCAN18,86,exp03-coregnet,0.47451,0.48887,0.48814,6.3346,7.82909,4.92392,0.53163,1.65089,0.46389,0.11628,0.14925,0.06993
4,a5c86121c45c,CD14,BHLHE22;CEBPB;CEBPD;EGR3;FOS;MEF2C;NFIL3;XBP1,8,exp03-coregnet,0.39881,0.71429,0.48214,10.32132,36.93367,4.17048,0.54483,2.05473,0.43375,0.25,0.1,0.07692
5,ad3d844a5827,CDKN1A,ARID5A;ATF3;BCL6;CEBPD;EGR1;FOS;JUN;JUNB;MYRF;NFIL3;NR4A1;XBP1,12,exp03-coregnet,0.56061,0.75253,0.55303,15.51446,53.42962,9.56271,0.58941,2.09038,0.47682,0.58333,0.02756,0.02703
6,527c7e9e20de,CLU,APEX1;ARID5A;ATF3;ATF4;BCL6;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPD;DBP;DDIT3;EGR1;EGR3;EMX2;ENO1;FEZF2;FOS;FOXG1;HIF1A;HIF3A;HLF;HMGB2;HSF4;ID2;ID4;JAZF1;JUN;JUNB;KLF9;LHX2;MEF2C;MESP1;MLX;MTA3;NCOA1;NEUROD2;NFIL3;NR1D1;NR2E1;NR4A1;PIR;RBFOX2;RFX4;SMARCA1;SOX2;SOX9;SREBF1;SREBF2;STAT1;STAT3;TEF;TFE3;XBP1;ZSCAN18,55,exp03-coregnet,0.47037,0.55219,0.4821,6.18032,16.46918,4.42863,0.52572,1.74544,0.44611,0.09091,0.2,0.06667
7,0dfe3540af63,CRYAB,ARID5A;ATF3;ATF4;BCL6;BHLHE22;BHLHE41;CEBPB;CEBPD;DDIT3;EGR1;EGR3;ERF;FOS;HMGB2;JUN;JUNB;JUND;MESP1;MYRF;NFIL3;NKX6-2;NR4A1;STAT3;TFE3;XBP1,25,exp03-coregnet,0.48072,0.64056,0.51383,10.73612,32.78779,6.76482,0.56211,1.99313,0.46406,0.0,0.0,0.0
8,e888319f04c6,CSF1R,BHLHE22;CEBPD;EGR3;FOS;JAZF1;MEF2C;MLXIPL;NFIL3,8,exp03-coregnet,0.32738,0.57738,0.41071,9.80901,13.7182,2.40042,0.51402,1.76128,0.42782,0.25,0.08696,0.06897
9,f9fc6d23d5e4,DUSP1,ATF3;CEBPD;EGR1;FOS;ID1;JUN;JUNB;MYRF;NKX6-2;NR4A1,10,exp03-coregnet,0.51815,0.75556,0.51667,17.02628,57.65794,11.01421,0.56859,1.91478,0.48914,0.1,0.03448,0.02632
10,18544e3634f0,FASN,APEX1;ARID5A;ARNT2;ATF2;ATF3;ATF4;BHLHE22;BHLHE40;BHLHE41;CEBPG;CIC;CREBL2;CTBP1;DBP;DDIT3;DEAF1;EGR1;EGR3;ELK1;ENO1;ERF;ETS2;EWSR1;FOS;FOXG1;FOXJ3;GTF2F1;GTF3A;HES4;HIF1A;HLF;HMGA1;HSF4;JAZF1;JUN;JUNB;JUND;KLF13;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NFIL3;NPAS2;NR1D1;NR2E1;PPARD;RBFOX2;SCRT1;SND1;SOX2;SREBF1;SREBF2;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZNF189;ZSCAN18,75,exp03-coregnet,0.47946,0.49829,0.48838,7.11842,8.85286,4.55843,0.54929,1.70342,0.48163,0.12,0.25714,0.08911
11,aae36aaeafda,FN1,ARID5A;ATF3;ATF4;BCL6;BHLHE41;CEBPD;DDIT3;EGR1;ERF;ETS2;FOS;HIF3A;HLF;HMGA1;HSF4;ID1;JUN;JUNB;KLF9;MAZ;MEF2C;MLXIPL;MYRF;NFIL3;NR4A1;RBFOX2;RELA;RFX5;SREBF2;STAT2;STAT3;TFE3;XBP1,33,exp03-coregnet,0.51752,0.58302,0.51294,8.43047,22.06715,5.1589,0.5646,1.88768,0.47382,0.21212,0.10769,0.07692
12,c2bed11525be,GADD45B,ARID5A;ATF3;BCL6;CEBPB;CEBPD;EGR1;FOS;JUN;JUNB;NFIL3;NR4A1;XBP1,12,exp03-coregnet,0.61869,0.84596,0.62121,21.03727,72.81034,12.9247,0.61598,2.22983,0.49333,0.33333,0.17391,0.12903
13,a57c7f0668ec,HLA-DRB1,ATF3;BHLHE22;CEBPD;EGR3;FOS;MEF2C;NFIL3;XBP1,8,exp03-coregnet,0.39881,0.70833,0.46429,10.13059,30.9797,4.80057,0.55373,1.99511,0.45356,0.125,0.03333,0.02703
