,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,96bac7effe1c,ACTA2,AHR;BHLHE40;EHF;ELF3;ETS1;FOS;FOSB;FOXQ1;GATA2;GATA3;GATA5;HES1;HES4;HIF1A;HMGA1;ID1;ID2;IRF6;JUNB;KDM5D;KLF5;PLAGL1;TBX3,23,exp03-coregnet,0.48353,0.55336,0.46904,7.60244,17.65754,6.37805,0.56424,1.84,0.48398,0.0,0.0,0.0
1,f25ac7579cb7,ACTB,AHR;ATF3;BHLHE40;BHLHE41;EHF;ELF3;ETS1;FOS;FOSB;FOXQ1;GATA2;GATA3;HES1;HES4;HMGA1;ID1;IRF6;JUNB;KDM5D;KLF5;NR4A1;PITX1;SNAI2;TBX3;ZEB1,25,exp03-coregnet,0.48722,0.55778,0.48056,8.42607,21.04115,6.73834,0.5856,1.87864,0.51108,0.04,0.04762,0.02222
2,0e732d27825d,APOE,AHR;ATF3;BHLHE40;EGR1;EHF;ELF3;FOS;FOSB;FOXQ1;GATA3;HES1;HMGA1;ID1;IRF6;JUNB;KDM5D;KLF5,17,exp03-coregnet,0.48284,0.57598,0.48039,7.1015,21.03236,5.96075,0.56816,1.82398,0.49812,0.0,0.0,0.0
3,b4e92c494f84,CDKN1A,AHR;BHLHE40;CEBPB;EGR1;EHF;ELF3;ETS1;ETS2;FOS;FOSL2;FOXQ1;GATA3;HES1;HES4;HIF3A;ID1;ID2;IRF6;KDM5D;KLF5;NR4A1;TEAD1,22,exp03-coregnet,0.48196,0.57504,0.47403,7.49467,19.68314,6.06676,0.5795,1.85471,0.50575,0.59091,0.05118,0.04943
4,71d128fb1206,CDKN1C,AHR;ATF3;CEBPD;EHF;ELF3;FOSB;FOXQ1;GATA3;HES1;ID1;ID4;IRF6;KDM5D;KLF5;NR2F1;PLAGL1;TBX3,17,exp03-coregnet,0.45221,0.52328,0.44608,4.84497,8.7918,3.61885,0.57879,1.75451,0.51628,0.11765,0.05128,0.03704
5,7e2d3e4380e6,CLU,AHR;ATF3;BHLHE40;BHLHE41;EGR1;EHF;ELF3;FOS;FOSB;FOXQ1;GATA2;GATA3;HES1;HES4;HIF1A;HMGA1;ID1;ID2;IRF6;JUNB;KLF5;NR4A1;PLAGL1;TBX3;TEAD2,25,exp03-coregnet,0.50611,0.57722,0.49944,8.58863,21.64154,6.59881,0.5745,1.90798,0.49073,0.08,0.08,0.04167
6,2de74782f0e3,CRYAB,AHR;BHLHE40;BHLHE41;EHF;ELF3;FOS;FOSB;FOXQ1;GATA2;GATA3;HES1;HMGA1;ID1;IRF6;JUNB;KDM5D;KLF5;PLAGL1;TBX3,19,exp03-coregnet,0.47758,0.54386,0.47661,7.76441,14.02245,6.55278,0.56001,1.79636,0.49186,0.15789,0.125,0.075
7,b1a0d13c4132,CSF1,ATF3;EGR1;EHF;ELF3;FOS;FOXQ1;GATA2;GATA3;ID1;IRF6;KLF5;MYC;STAT1;TBX3;XBP1,15,exp03-coregnet,0.5127,0.67619,0.51587,12.62544,39.14401,11.13573,0.57087,1.98145,0.47329,0.4,0.16667,0.13333
8,febb146f15fa,DUSP1,ATF3;BHLHE40;EGR1;EHF;ELF3;FOS;FOXQ1;GATA3;HES1;HES4;ID1;IRF6;JUNB;KDM5D;KLF5;NR4A1,16,exp03-coregnet,0.47917,0.5875,0.47083,7.17462,22.28194,5.10244,0.57705,1.81003,0.51058,0.0625,0.03448,0.02273
9,0084145ce88e,FN1,AHR;ATF3;BHLHE40;BHLHE41;EHF;ELF3;FOS;FOSB;FOXQ1;GATA2;GATA3;HES1;HES4;HMGA1;ID1;IRF6;JUNB;KLF5;NR4A1;TBX3;TEAD2,21,exp03-coregnet,0.49683,0.55079,0.49365,8.98603,17.8587,6.82567,0.59222,1.92096,0.51546,0.09524,0.03077,0.02381
10,1cc9c7003736,GADD45B,AHR;BCL3;BCL6;CEBPD;EHF;ELF3;FOXQ1;GATA3;ID1;IRF6;KLF5;KLF9;MYC;NFIL3;TBX3,15,exp03-coregnet,0.46667,0.58889,0.47619,7.55182,18.15078,6.72209,0.57923,1.83788,0.50233,0.06667,0.04348,0.02703
11,834d55783d29,HBB,ATF3;EHF;ELF3;FOXQ1;GATA3;ID1;IRF6;KDM5D;KLF5;NR4A1,10,exp03-coregnet,0.44815,0.54444,0.45556,5.79858,11.39998,4.75851,0.60233,1.75124,0.55127,0.0,0.0,0.0
12,2e1a6b8515d3,HLA-DRB1,AHR;BHLHE40;CREB3L1;EHF;ELF3;ETS1;FOXQ1;GATA3;HES1;HIF3A;ID1;IRF6;JUNB;KDM5D;KLF5;NR2F1;NR4A1;PLAGL1,18,exp03-coregnet,0.45861,0.51852,0.44989,4.61515,9.03005,3.55113,0.59487,1.81849,0.52706,0.05556,0.03333,0.02128
13,d67462d75455,HLA-E,AHR;ATF3;BHLHE40;CEBPB;CEBPD;CREB3L1;EGR1;EHF;ELF3;ETS1;ETS2;FOS;FOSB;FOXQ1;GATA3;HES1;HIF1A;ID1;ID2;IRF6;JUNB;KLF4;KLF5;MAFF;NR4A1;SNAI2;STAT1;TBX3;XBP1,29,exp03-coregnet,0.51396,0.64573,0.50944,9.60134,34.59486,6.75625,0.5855,2.02677,0.48949,0.10345,0.05769,0.03846
14,b1d364b434bb,HSPA1A,AHR;BHLHE40;EHF;ELF3;FOS;FOSB;FOXQ1;GATA2;GATA3;HES1;HES4;HMGA1;ID1;IRF6;JUNB;KDM5D;KLF5;TBX3,18,exp03-coregnet,0.47277,0.53922,0.4695,7.96352,14.77102,6.56338,0.56504,1.80955,0.49369,0.0,0.0,0.0
15,0d0b180b8c3c,ID3,BHLHE40;EHF;ELF3;FOXQ1;GATA2;GATA3;HES1;HSF4;ID1;ID2;IRF6;KDM5D;KLF5,13,exp03-coregnet,0.45299,0.51709,0.44872,6.72554,11.51848,5.86217,0.56403,1.79312,0.48938,0.15385,0.09524,0.0625
16,574b5fa8f778,MT1A,AHR;EHF;ELF3;FOXQ1;GATA2;GATA3;HES1;ID1;IRF6;KDM5D;KLF5;TBX3,12,exp03-coregnet,0.45455,0.54798,0.45202,7.51226,11.09441,7.10345,0.5671,1.83336,0.48682,0.0,0.0,0.0
