cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
fd80c9c3190b,ACTA2,HIF3A;GATA5,2,7.1429,0.2402,exp03_bladder-coregtor-default
8d6f8f9cf52f,ACTA2,AHR;ETS1;SRF;IRF3;SMAD3;ZEB1;RARG;YBX1;GATA6;MEIS2;ABL1;ATF4;MLXIP;RBFOX2;HAND2;KLF5;MEF2D;NR1H2,18,64.2857,0.1759,exp03_bladder-coregtor-default
cee1206c7e94,ACTA2,GATA2;LRRFIP1;HES1;ETS2,4,14.2857,0.1082,exp03_bladder-coregtor-default
6bd2b5bed356,ACTB,SRF;YBX1;IRF3;MLXIP;AHR;KLF5;ELF3;PLAGL1;ETS1;GATA2;FOXQ1;EHF;HES1;SND1;GATA6;ID2;SMAD7;RARG;CREB3;ZEB1;ID1;NFIC,22,62.8571,0.234,exp03_bladder-coregtor-default
b7d2f22d2b4b,ACTB,HAND2;HDAC1,2,5.7143,0.1782,exp03_bladder-coregtor-default
169333628b12,ACTB,LRRFIP1;SMAD3,2,5.7143,0.0681,exp03_bladder-coregtor-default
b3bb5e118867,AKT1,LRRFIP1;YBX1;FOXO4;TFE3;NR1H2;MAFG;DRAP1;NFYB;TEAD2;GTF3A;HSF1;MAZ;TRIM28;NCOR2;MLXIP;NFE2L1;CREB3;SRF;SND1;UBP1;PLAGL1;NFIC;RELA,23,74.1935,0.2452,exp03_bladder-coregtor-default
5abe76f8f7ea,APOE,PLAGL1;YY1,2,2.5641,0.2214,exp03_bladder-coregtor-default
f7b1097ae687,APOE,JUN;EWSR1,2,2.5641,0.1752,exp03_bladder-coregtor-default
fe6f6fb50a73,APOE,ERF;CTBP1;PBX1,3,3.8462,0.1577,exp03_bladder-coregtor-default
6007bdc87299,APOE,ID4;KLF4;MZF1;SF1;JUND;HMGB1;ETS1;NR2F2;KLF2;SOX18;CREBZF;GATA5;ZBTB4;E4F1;KDM5D;ZNF266;NFATC4;SRF;IRF3;UBTF;PML;ZGPAT;HIF1A;EHF;NFIL3;MLXIP;PBX2,27,34.6154,0.1268,exp03_bladder-coregtor-default
b56ac9b57f3d,APOE,ZNF384;RXRB,2,2.5641,0.1226,exp03_bladder-coregtor-default
10b216bbf411,APOE,HES1;CREBL2,2,2.5641,0.1065,exp03_bladder-coregtor-default
f97576702be1,APOE,MXI1;NR4A1,2,2.5641,0.0976,exp03_bladder-coregtor-default
acd5eb93bbdb,APOE,ZBTB48;SND1,2,2.5641,0.0686,exp03_bladder-coregtor-default
6c21786b2334,APOE,SREBF2;USF1,2,2.5641,0.0579,exp03_bladder-coregtor-default
1eeb9ec125a2,APOE,RARA;YBX1,2,2.5641,0.0528,exp03_bladder-coregtor-default
2d732f62dea0,APOE,HDAC3;TWIST2,2,2.5641,0.0324,exp03_bladder-coregtor-default
8321ec1906c5,APP,RXRA;IRF2;EP300;BHLHE41;ELF1;SP1;CREBL2;SMARCA5;NONO;ZNF384;SNAI2;FOXO3;KLF3;EPAS1;PIR,15,48.3871,0.3507,exp03_bladder-coregtor-default
862160c6194c,APP,GATA3;NFKB2,2,6.4516,0.2226,exp03_bladder-coregtor-default
896ec9f2ba6b,CD44,NR2F6;RARG,2,3.6364,0.2108,exp03_bladder-coregtor-default
903145ca78e8,CD44,MLXIP;MXD4,2,3.6364,0.2038,exp03_bladder-coregtor-default
e458289a6236,CD44,STAT1;MLX;SMARCC1;SSRP1;NFKB1;STAT3;ENO1;E2F4;RELA;YBX1;MBD1;STAT5A;STAT5B;MEIS1;GATA2;RFX5;UBP1;CTNNB1;SREBF2;EP300;ZNF384;PIR;YY1;NFYB;SMARCA5;HTATIP2;BHLHE41;IRF2;GTF2F1,29,52.7273,0.1931,exp03_bladder-coregtor-default
4e148d7489e3,CD44,MAZ;TBX3;ESRRA;PPARD,4,7.2727,0.1442,exp03_bladder-coregtor-default
dffe2a268430,CD44,NFKB2;KLF10,2,3.6364,0.0653,exp03_bladder-coregtor-default
c25691065832,CD44,ELF1;LRRFIP1;NR1H2,3,5.4545,0.0126,exp03_bladder-coregtor-default
fa759d346d13,CDK4,RXRB;BCL6,2,6.8966,0.3087,exp03_bladder-coregtor-default
13eae4c3f9ff,CDK4,GTF3A;STAT1;STAT3;ENO1;SSRP1;CREB3;TFE3;NFKB1;E2F4;TEAD2;STAT5A;MLX;RARA;DRAP1;OSR1;CIC,16,55.1724,0.2566,exp03_bladder-coregtor-default
a4091f30b164,CDK4,BHLHE41;KLF5,2,6.8966,0.2291,exp03_bladder-coregtor-default
e601ee682e91,CDK4,RELA;ARID5B,2,6.8966,0.1657,exp03_bladder-coregtor-default
9d6383b3d312,CDKN1A,PPARD;NFIX,2,5.2632,0.3249,exp03_bladder-coregtor-default
a9b3dea2b5e1,CDKN1A,ETS2;FOSL2;ID2;SMAD3;JUNB;NFIL3;BCL3;HIF1A;CEBPD;HES4;MEIS2;STAT3;NPAS2;XBP1;KLF10;CEBPB;TEAD1;MAFF;BCL6,19,50.0,0.1506,exp03_bladder-coregtor-default
d9b39e8db9a1,CDKN1A,CTBP1;ELF3,2,5.2632,0.0954,exp03_bladder-coregtor-default
0d26bec3f807,CDKN1A,THAP11;HMGA1,2,5.2632,0.0444,exp03_bladder-coregtor-default
e171746e7617,CDKN1C,GATA3;HES4,2,3.3898,0.215,exp03_bladder-coregtor-default
d676e9bc3a7d,CDKN1C,UBTF;KLF6,2,3.3898,0.2118,exp03_bladder-coregtor-default
19e569bf0298,CDKN1C,RBPJ;SNAI2;ID2;SMAD7;PLAGL1;CEBPB;NR2F1;EPAS1;NFE2L2;HIF1A;RFX5;ZNF219;ZNF32;JUNB;TBX3;FOXO3;DRAP1;ID4;NR2F2;ELF1;TRIM28;NFKB2;TWIST2,23,38.9831,0.2003,exp03_bladder-coregtor-default
16876f12a10e,CDKN1C,ZBTB7B;GTF2F1,2,3.3898,0.1478,exp03_bladder-coregtor-default
36255f595157,CDKN1C,KLF4;JUN,2,3.3898,0.1101,exp03_bladder-coregtor-default
a10fdeef6b6f,CDKN1C,GATA2;CEBPD,2,3.3898,0.09,exp03_bladder-coregtor-default
91d9b9ba759e,CDKN1C,ATF4;NONO,2,3.3898,0.0833,exp03_bladder-coregtor-default
e544436c1e9c,CDKN1C,ID1;MLXIP,2,3.3898,0.0621,exp03_bladder-coregtor-default
04a5815a3108,CLU,VEZF1;GTF3A,2,5.4054,0.3816,exp03_bladder-coregtor-default
69e0bb4d97b4,CLU,STAT5A;SND1;RELA;TFE3;OSR1;NR1H2;CREB3;ARID5B;DRAP1;HAND2;GATA2;TEAD2;TRIM28;HES4;STAT5B;CIC;IRF6;KLF5,18,48.6486,0.236,exp03_bladder-coregtor-default
639b43fbe005,CLU,BHLHE41;SKI,2,5.4054,0.1587,exp03_bladder-coregtor-default
f8b947c56153,CLU,BCL6;EHF,2,5.4054,0.1557,exp03_bladder-coregtor-default
6df22d10827a,CLU,ZBTB4;MLXIP,2,5.4054,0.0673,exp03_bladder-coregtor-default
5af7d77673d4,CLU,KLF3;HES1,2,5.4054,0.0541,exp03_bladder-coregtor-default
47038b8afcbd,CRYAB,STAT5B;MAZ,2,3.0769,0.3518,exp03_bladder-coregtor-default
b33c8bb32472,CRYAB,SSRP1;SOX18;MEIS2;FOSB,4,6.1538,0.2722,exp03_bladder-coregtor-default
5e64c87814a7,CRYAB,SMAD7;ZNF362,2,3.0769,0.2683,exp03_bladder-coregtor-default
