,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,530af21243f6,ACTA2,HIF3A;GATA5,2,0.2402,exp03_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.60853,1.7919,0.5376,0.0,0.0,0.0
1,962a50fbf4c9,ACTB,SRF;YBX1;IRF3;MLXIP;AHR;KLF5;ELF3;PLAGL1;ETS1;GATA2;FOXQ1;EHF;HES1;SND1;GATA6;ID2;SMAD7;RARG;CREB3;ZEB1;ID1;NFIC,22,0.234,exp03_bladder-coregtor-r1,0.49567,0.52381,0.50289,6.7611,11.93582,6.53849,0.54489,1.76259,0.46098,0.09091,0.09524,0.04878
2,6b61eabfa877,AKT1,LRRFIP1;YBX1;FOXO4;TFE3;NR1H2;MAFG;DRAP1;NFYB;TEAD2;GTF3A;HSF1;MAZ;TRIM28;NCOR2;MLXIP;NFE2L1;CREB3;SRF;SND1;UBP1;PLAGL1;NFIC;RELA,23,0.2452,exp03_bladder-coregtor-r1,0.50132,0.50659,0.51713,8.02618,5.89703,7.78772,0.51953,1.58005,0.45606,0.13043,0.04167,0.03261
3,7b7c72d8b540,APOE,PLAGL1;YY1,2,0.2214,exp03_bladder-coregtor-r1,0.5,0.5,0.5,10.14317,3.03618,9.26127,0.54175,1.73273,0.49544,0.0,0.0,0.0
4,96ce86783db1,APP,RXRA;IRF2;EP300;BHLHE41;ELF1;SP1;CREBL2;SMARCA5;NONO;ZNF384;SNAI2;FOXO3;KLF3;EPAS1;PIR,15,0.3507,exp03_bladder-coregtor-r1,0.55238,0.56508,0.56349,10.15715,21.61523,11.6249,0.49551,1.56255,0.4352,0.2,0.06122,0.04918
5,dc422bdba562,CD44,NR2F6;RARG,2,0.2108,exp03_bladder-coregtor-r1,1.0,0.5,1.0,4.92571,5.15545,5.56883,0.7087,2.20576,0.6487,0.5,0.01282,0.01266
6,7fb8e913fb94,CDK4,RXRB;BCL6,2,0.3087,exp03_bladder-coregtor-r1,0.5,0.5,0.5,1.89996,5.90548,4.03915,0.57956,1.92692,0.46617,0.0,0.0,0.0
7,a3d47e308bfc,CDKN1A,PPARD;NFIX,2,0.3249,exp03_bladder-coregtor-r1,0.5,0.5,0.5,5.36034,2.40168,14.1567,0.47518,1.53411,0.42285,0.5,0.00394,0.00392
8,a99cc40c7f2d,CDKN1C,GATA3;HES4,2,0.215,exp03_bladder-coregtor-r1,0.5,0.5,0.5,1.29259,11.19298,0.67416,0.4672,1.66454,0.35429,0.0,0.0,0.0
9,e02bf94e605f,CLU,VEZF1;GTF3A,2,0.3816,exp03_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.49321,1.06811,0.51104,0.0,0.0,0.0
10,97378f1ff3ba,CRYAB,STAT5B;MAZ,2,0.3518,exp03_bladder-coregtor-r1,0.5,0.5,0.5,0.351,10.48056,2.88433,0.4991,1.34176,0.4609,0.0,0.0,0.0
11,05270bb9e182,CSF1,STAT5A;TWIST2,2,0.2362,exp03_bladder-coregtor-r1,0.5,0.5,0.5,1.88419,9.10206,2.45631,0.51962,1.60652,0.43696,0.0,0.0,0.0
12,b5580af8843e,DUSP1,MAX;FOSL2;FOS;ID2;CEBPB;SMAD7;KLF6;CREB3;ZSCAN18;HIF1A;NFKB2;GATA2;ELF1;JUN;DRAP1;PLAGL1;SNAI2;ID1;RXRB;THAP11;KLF4;JUNB;FOXO3;GATA5;RFX5;TBX3;ID4;PITX1,28,0.2312,exp03_bladder-coregtor-r1,0.49824,0.57496,0.5022,8.31028,23.71588,5.73665,0.56055,1.8097,0.48442,0.07143,0.06897,0.03636
13,e2fe456c78f5,FGFR1,MEF2D;LRRFIP1,2,0.3778,exp03_bladder-coregtor-r1,0.5,0.5,0.5,3.68593,1.65083,5.38847,0.5522,1.45513,0.51334,0.0,0.0,0.0
14,cf613028e1b1,FN1,ATF3;PBX1,2,0.3778,exp03_bladder-coregtor-r1,0.5,0.5,0.5,6.73327,13.8587,8.55095,0.63061,1.87686,0.58807,0.5,0.01538,0.01515
15,a18c96861187,GADD45B,CEBPD;ID4;BCL3;NFIL3;OSR1;EPAS1;HOXA11;HDAC1;MYC;KLF9;KLF2;CEBPB;TRIM28;HES4;NR2F6;HMGB2;CTBP1;RARA;TWIST2;BCL6;RFX5;NR2F2;ZNF692;MXD4;STAT3;SMAD7;KDM2A;ETS2;ERF;SND1,30,0.2639,exp03_bladder-coregtor-r1,0.50575,0.54368,0.50709,9.89355,15.57641,7.8441,0.50931,1.65614,0.43023,0.06667,0.08696,0.03922
16,e03f0fbbe0d7,GSTP1,GATA3;HSF4;ELF3;KLF5;EHF;IRF6;GATA6;NR2F6;ATF4;ID1;ZEB1;MLXIP;FOXQ1;ZNF32;TBX3;ZSCAN18;HMGA1;MEIS1;IRF2,19,0.2343,exp03_bladder-coregtor-r1,0.42885,0.4615,0.43665,3.56087,7.15647,2.92926,0.61332,1.8201,0.55394,0.05263,0.02564,0.01754
17,9b25501d24aa,HBB,TFE3;XBP1;ZBTB7B;TRIM28;CREB3L1;LDB1,6,0.323,exp03_bladder-coregtor-r1,0.5,0.52222,0.5,5.28835,3.81398,2.72637,0.5541,2.06165,0.4217,0.0,0.0,0.0
