,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,5bf1e47419ab,ACTB,ARID3A;ATF3;ATF6;BCL6;BHLHE40;CEBPA;CEBPD;CREB5;HHEX;HTATIP2;IRF2;JDP2;JUN;KLF13;MAFF;MEF2A;MLXIP;MNT;NR4A1;NR4A2;RARA;SRF;STAT5B;TFEB;TRIM21;ZBTB7B,26,exp03-coregnet,0.51077,0.55744,0.50718,10.05311,18.04914,5.21142,0.58033,1.82768,0.51191,0.07692,0.09524,0.04444
1,e7d0a86c92a9,AKT1,ARNT;ATF6B;BACH1;BCLAF1;CBFB;CIC;CREB3;CTBP1;CTCF;CTNNB1;CXXC1;DMAP1;E4F1;ELF1;ELF4;EP300;ETS1;EWSR1;GTF2F1;HDAC1;ID2;IKZF1;IRF3;IRF8;KDM2A;KDM5A;KLF1;KMT2B;LDB1;LRRFIP1;MAZ;MBD1;MEF2D;MZF1;NCOA1;NCOA3;NCOR2;NFE2L1;NONO;NR4A2;PBX2;PPARD;RCOR1;RUNX3;RXRB;SF1;SFPQ;SP2;SREBF2;STAT2;STAT5A;TCF7;UBTF;YY1;ZBTB17;ZBTB7A;ZEB2;ZGPAT;ZNF217;ZNF266;ZNF335;ZNF384,62,exp03-coregnet,0.52697,0.54495,0.52829,11.96952,15.06259,10.4022,0.52448,1.60687,0.45439,0.1129,0.09722,0.05512
2,c96b739422bc,BCL2L1,ATF3;ATF6;BHLHE40;CEBPA;CEBPD;CREB5;DDIT3;FOS;GATA1;HHEX;HTATIP2;JDP2;JUN;KLF1;KLF13;MAFF;MEF2A;MXI1;NFE2;NR4A1;NR4A2;PHF1;RUNX3;TBX21;TRIM21;ZBTB18;ZBTB7B,27,exp03-coregnet,0.51614,0.58879,0.51092,9.76441,19.13727,6.06183,0.57697,1.83201,0.50811,0.11111,0.04478,0.03297
3,f967c3c7cf63,CCND3,ARID3A;ATF3;ATF6;BHLHE40;CEBPD;CREB5;HHEX;HLX;HTATIP2;IRF2;JDP2;KLF13;KLF16;MAFF;MEF2A;MLX;MLXIP;MNT;NR4A1;PBX2;SP1;SPI1;SRF;STAT5B;TFEB;TRIM21;ZBTB18;ZBTB7B;ZXDC,29,exp03-coregnet,0.4844,0.49261,0.48358,7.8684,8.17371,3.36419,0.5974,1.7633,0.54188,0.03448,0.02703,0.01538
4,3d86a50ba1e1,CD14,ARID3A;ATF6;BATF;BCL6;BHLHE40;CEBPA;CEBPD;CREB5;HHEX;HLX;HTATIP2;IRF2;IRF5;JDP2;JUN;LMO2;MEF2A;NFE2;NFKB1;NR4A2;POU2F2;RARA;RUNX3;SP1;SPI1;STAT5B;TBX21;TFEB;TRIM21;ZBTB7B,30,exp03-coregnet,0.50881,0.59885,0.50268,6.38097,25.33018,4.57161,0.58244,1.87047,0.49835,0.1,0.15,0.06383
5,518a1d2baf74,CD44,ARID3A;ATF6;BACH1;BATF;BCL6;CEBPA;CEBPD;CREB5;ELF4;ETV6;HHEX;HTATIP2;IRF2;JUN;KLF13;KLF16;KLF7;MBD2;MEF2A;MTF1;NFE2;NFKB1;RARA;SP1;SP100;SRF;STAT5B;TRIM21;ZBTB18;ZBTB7B;ZNF217,31,exp03-coregnet,0.50717,0.53943,0.51039,7.68724,15.4781,5.66288,0.58223,1.8162,0.51172,0.09677,0.03846,0.0283
6,99c7aaafda4e,CDKN1A,ATF3;BHLHE40;CEBPD;CREB5;EGR1;EOMES;HHEX;HTATIP2;JUN;MAFF;NR4A1;NR4A2;RUNX3,13,exp03-coregnet,0.48932,0.66026,0.46795,8.54589,30.98782,5.43771,0.58438,1.82989,0.52085,0.38462,0.01969,0.01908
7,1d6a544a25c8,CDKN1B,BACH1;BCLAF1;CBFB;CTCF;CTNNB1;ELF1;EOMES;EP300;ETS1;FLI1;FOS;HIF1A;HMGB1;ID2;KDM2A;KDM5A;KLF1;KLF3;KLF6;LRRFIP1;MBD1;NCOA3;NONO;NR3C1;NR4A2;PRDM1;RLF;RUNX3;STAT4;TBX21;TCF7;VEZF1;ZBTB4;ZEB2;ZHX2;ZNF217;ZNF266;ZNF384,38,exp03-coregnet,0.50593,0.55073,0.50984,8.89864,20.7031,8.42843,0.54202,1.65828,0.47458,0.23684,0.08411,0.06618
8,80c01ca32056,CLU,ATF3;ATF6;BATF;BCL6;BHLHE40;CEBPD;CREB5;EGR1;EOMES;FOS;HHEX;HTATIP2;JUN;MAFF;NFE2;NR4A1;NR4A2;RUNX3;SPI1;TBX21;TRIM21,21,exp03-coregnet,0.5119,0.67381,0.49286,6.97381,36.52852,5.14803,0.57589,1.89255,0.49335,0.09524,0.08,0.04545
9,cafa9cab073c,CSF1R,ATF3;BHLHE40;EGR1;EOMES;ETS1;FOS;JUN;JUND;NCOR2;NR4A1;NR4A2;RUNX3;SND1;SSRP1;STAT4;TBX21;TCF7;ZBTB4,18,exp03-coregnet,0.52941,0.66993,0.51525,10.77343,43.82338,8.17664,0.56668,1.90701,0.46791,0.16667,0.13043,0.07895
