cluster_uid,target,sources,n_sources,silhouette_score,note
367e69b3f506,ACTB,SRF;EGR1;SPI1;RARA;KLF7;ATF6;NFYC;MAFB;MTF1;LYL1;MEF2D;SF1;CTNNB1;ARID3B;KLF4;KLF10;NFYA,17,0.0,exp03_blood-coregtor-r1
ddbae8a2f41b,AKT1,LDB1;ATF6B;IKZF1;ZNF384;CTCF;KMT2B;MBD1;BCLAF1;SFPQ,9,0.0,exp03_blood-coregtor-r1
90a7052f779c,BCL2L1,MXI1;KLF1;GATA1;FOXO4;DDIT3;TFDP1;ZBTB48,7,0.0,exp03_blood-coregtor-r1
37c831f4ca99,CCND3,ZBTB7B;SRF;RARA;JDP2;HLX;SP100;ZBED1;NFYC;CEBPD;MLX;HTATIP2;ATF6;ARID3A;MLXIP;STAT5B,15,0.0,exp03_blood-coregtor-r1
6151df39e561,CD14,SIRT6;RARA;POU2F2;RELB;SPI1;STAT5A;IRF5;MAFB;ETV6,9,0.0,exp03_blood-coregtor-r1
7eefc40bc08d,CD44,MTF1;RBPJ;ETV6;MBD2;ZEB2;NFKB1;SP100,7,0.0,exp03_blood-coregtor-r1
1542093602dc,CDKN1A,ATF3;NR4A1;RELA;JUND;JUN;FOSL2,6,0.0,exp03_blood-coregtor-r1
32595ce51d7d,CDKN1B,CBFB;BCLAF1;KLF3;ELF1,4,0.0,exp03_blood-coregtor-r1
37d71961a354,CLU,HTATIP2;NFE2;SPI1;NFE2L1;MTF1;EP300;NCOA3;SIRT6;TRIM21;ARNT;NFKB1;RCOR1;TFEB;RFXANK;ENO1;MEF2B,16,0.3921,exp03_blood-coregtor-r1
07b559fe0748,CSF1R,SND1;ATF6B;NCOR2;GTF2F1;NFE2L1;EWSR1;SSRP1;KLF4,8,0.0,exp03_blood-coregtor-r1
e85d6b17429d,CXCR4,RLF;BHLHE40;NFYA;FOSL2;MEF2D;DDIT3,6,0.0,exp03_blood-coregtor-r1
07a56419ff7e,DUSP1,FOS,1,0.0,exp03_blood-coregtor-r1
55890d83b18c,GADD45B,MAFF;DDIT3;BHLHE40;JUN;FOS,5,0.0,exp03_blood-coregtor-r1
3bcd2349e1b5,GSTP1,CREB3;GTF2F1;APEX1;SSRP1;TRIM28;SND1;CXXC1;HSF1;IRF3;HMGA1,10,0.0,exp03_blood-coregtor-r1
