,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,367e69b3f506,ACTB,SRF;EGR1;SPI1;RARA;KLF7;ATF6;NFYC;MAFB;MTF1;LYL1;MEF2D;SF1;CTNNB1;ARID3B;KLF4;KLF10;NFYA,17,0.0,exp03_blood-coregtor-r1,0.52206,0.57721,0.53431,6.09545,19.42946,6.04594,0.53748,1.74864,0.46483,0.11765,0.09524,0.05556
1,ddbae8a2f41b,AKT1,LDB1;ATF6B;IKZF1;ZNF384;CTCF;KMT2B;MBD1;BCLAF1;SFPQ,9,0.0,exp03_blood-coregtor-r1,0.52315,0.53241,0.52315,14.7638,10.19569,14.45731,0.52906,1.51422,0.46922,0.0,0.0,0.0
2,90a7052f779c,BCL2L1,MXI1;KLF1;GATA1;FOXO4;DDIT3;TFDP1;ZBTB48,7,0.0,exp03_blood-coregtor-r1,0.49206,0.50794,0.49206,4.55688,13.07101,5.06493,0.60154,1.81188,0.54063,0.14286,0.01493,0.0137
3,37c831f4ca99,CCND3,ZBTB7B;SRF;RARA;JDP2;HLX;SP100;ZBED1;NFYC;CEBPD;MLX;HTATIP2;ATF6;ARID3A;MLXIP;STAT5B,15,0.0,exp03_blood-coregtor-r1,0.50635,0.47143,0.50476,4.81434,6.15119,2.34616,0.567,1.67454,0.51475,0.0,0.0,0.0
4,6151df39e561,CD14,SIRT6;RARA;POU2F2;RELB;SPI1;STAT5A;IRF5;MAFB;ETV6,9,0.0,exp03_blood-coregtor-r1,0.50926,0.68056,0.50926,5.59136,39.89716,4.0061,0.56792,2.02011,0.45957,0.11111,0.05,0.03571
5,7eefc40bc08d,CD44,MTF1;RBPJ;ETV6;MBD2;ZEB2;NFKB1;SP100,7,0.0,exp03_blood-coregtor-r1,0.54762,0.48413,0.54762,10.46006,13.60731,7.51809,0.51694,1.78394,0.43328,0.0,0.0,0.0
6,1542093602dc,CDKN1A,ATF3;NR4A1;RELA;JUND;JUN;FOSL2,6,0.0,exp03_blood-coregtor-r1,0.83333,1.0,0.76667,38.97404,107.56592,21.21359,0.63836,2.28455,0.53118,0.83333,0.01969,0.01961
7,32595ce51d7d,CDKN1B,CBFB;BCLAF1;KLF3;ELF1,4,0.0,exp03_blood-coregtor-r1,0.58333,0.52778,0.58333,10.98313,5.01194,15.0632,0.69001,1.8368,0.59951,0.25,0.00935,0.00909
8,37d71961a354,CLU,HTATIP2;NFE2;SPI1;NFE2L1;MTF1;EP300;NCOA3;SIRT6;TRIM21;ARNT;NFKB1;RCOR1;TFEB;RFXANK;ENO1;MEF2B,16,0.3921,exp03_blood-coregtor-r1,0.52361,0.55139,0.52361,13.33577,19.36131,10.04047,0.47108,1.61933,0.38003,0.0,0.0,0.0
9,07b559fe0748,CSF1R,SND1;ATF6B;NCOR2;GTF2F1;NFE2L1;EWSR1;SSRP1;KLF4,8,0.0,exp03_blood-coregtor-r1,0.49405,0.50595,0.4881,12.48487,14.58533,16.62766,0.44029,1.34242,0.36255,0.125,0.04348,0.03333
10,e85d6b17429d,CXCR4,RLF;BHLHE40;NFYA;FOSL2;MEF2D;DDIT3,6,0.0,exp03_blood-coregtor-r1,0.52222,0.56667,0.53333,6.54761,11.61447,5.22932,0.5948,1.73683,0.55216,0.0,0.0,0.0
11,55890d83b18c,GADD45B,MAFF;DDIT3;BHLHE40;JUN;FOS,5,0.0,exp03_blood-coregtor-r1,0.8,0.85,0.75,26.7979,27.19815,19.77786,0.5573,2.01011,0.47325,0.2,0.04348,0.03704
12,3bcd2349e1b5,GSTP1,CREB3;GTF2F1;APEX1;SSRP1;TRIM28;SND1;CXXC1;HSF1;IRF3;HMGA1,10,0.0,exp03_blood-coregtor-r1,0.55556,0.55185,0.56667,16.08046,13.1054,23.70103,0.47553,1.62089,0.37935,0.0,0.0,0.0
13,8e8d2e4e1823,HBA2,STAT5B;SP100;MLX;HTATIP2;RBPJ;ING4;NFYC;USF1;LMO2;ZBTB7B,10,0.4777,exp03_blood-coregtor-r1,0.47778,0.46667,0.49259,5.89795,7.90512,2.62764,0.49147,1.55764,0.43308,0.0,0.0,0.0
