cluster_uid,target,sources,n_sources,method
62b127e3333c,ACTA2,ATF3;BHLHE40;CREB3L4;EHF;ELF3;GATA3;HES4;IRX3;JUN;JUND;KLF15;MLXIPL;PPARG;SOX10;SPDEF;TFAP2C;TRPS1,17,exp03-coregnet
161c7ed62b58,APOE,ATF3;BHLHE40;CREB3L4;EHF;ELF3;FOS;FOSB;GATA3;IRX3;NR2F1;SOX10;SPDEF;TBX3;TFAP2C;TRPS1;XBP1,16,exp03-coregnet
2ebef2ccf869,CD14,ATF3;BHLHE41;EHF;ELF3;GATA3;IRX3;JUN;MLXIPL;NR2F1;OSR1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,15,exp03-coregnet
2865b7c5f7df,CD44,ARID5A;ATF3;BHLHE40;CREB3L4;EGR1;EHF;ELF3;ETV6;FOS;FOSB;GATA3;HES1;ID1;IRX3;JUN;JUNB;JUND;PPARG;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,23,exp03-coregnet
ceaf60ac538a,CDKN1A,CREB3L4;EHF;ELF3;ETS2;FOSL2;GATA3;IRX3;KLF15;NFIL3;NR2F1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,15,exp03-coregnet
a3051d3b18d6,CDKN1C,ARID5A;ATF3;BHLHE40;CREB3L4;EGR1;EHF;ELF3;ETV6;FOS;FOSB;GATA3;HES1;HES4;IRX3;JUN;JUNB;JUND;NR1D1;NR4A1;OSR1;RXRA;SOX10;SOX4;SPDEF;TFAP2C;TRPS1;XBP1;ZNF692,28,exp03-coregnet
53133cd940db,CLU,ATF3;BHLHE41;CEBPA;CREB3L4;EHF;ELF3;GATA3;HSF4;IRX3;MLXIPL;OSR1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,16,exp03-coregnet
97459f918c43,CRYAB,ATF3;BHLHE40;CREB3L4;EHF;ELF3;FOS;GATA3;IRX3;JUN;SOX10;SOX4;SPDEF;TBX3;TFAP2C;TRPS1;XBP1,16,exp03-coregnet
cb4f6a0eb2c8,DUSP1,ATF3;BHLHE40;CEBPA;CREB3L4;EHF;ELF3;FOS;FOSB;GATA3;IRX3;JUN;NR4A1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,17,exp03-coregnet
37ade8b4de49,FASN,ARID5A;ATF3;BHLHE40;CEBPA;CREB3L4;EGR1;EHF;ELF3;FOS;GATA3;HES1;IRX3;JUN;JUNB;JUND;KLF15;MAFF;MLXIPL;NR4A1;SOX10;SPDEF;TFAP2C;TRPS1,23,exp03-coregnet
bae4f87f993f,FN1,ATF3;BHLHE40;EHF;ELF3;FOS;GATA3;IRX3;JUN;JUNB;KLF15;PRRX1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,16,exp03-coregnet
7e022d6e8033,GADD45B,ATF3;BHLHE40;EGR1;EHF;FOS;FOSB;GATA3;IRX3;JUN;JUNB;JUND;MLXIPL;NFIL3;NR4A1;SPDEF;TFAP2C,16,exp03-coregnet
41c36a0581a2,HBB,ATF3;BHLHE40;EGR1;EHF;ELF3;FOS;FOSB;GATA3;IRX3;JUN;JUNB;NR4A1;SOX10;SPDEF;TFAP2C;TRPS1,16,exp03-coregnet
3affd13c5e58,HLA-DRB1,ARID5A;ATF3;BHLHE40;EGR1;EHF;ELF3;ETS2;FOS;FOSB;GATA3;HES1;HES4;IRX3;JUN;JUNB;JUND;KLF2;MAFF;NR1D1;NR4A1;PRRX1;SPDEF;TFAP2C;TRPS1,24,exp03-coregnet
f887c27f70a2,HSPA1A,ARID5A;ATF3;DDIT3;EGR1;EHF;ELF3;FOS;GATA3;IRX3;JUN;JUNB;NR4A1;SOX10;SPDEF;TFAP2C;TRPS1,16,exp03-coregnet
9e49eec525df,ID3,ATF3;BHLHE41;CREB3L4;EHF;ELF3;ETV6;FOS;GATA3;IRX3;JUN;SOX10;SOX4;SPDEF;TFAP2C;TRPS1;XBP1,16,exp03-coregnet
3df62aa8e960,MCL1,ARID5A;ATF3;BHLHE40;BHLHE41;CEBPA;EGR1;EHF;ELF3;ETV6;FOS;GATA3;HES1;ID1;ID4;IRX3;JUN;KLF6;MAFF;MLXIPL;PPARG;SOX10;SOX18;SOX4;SPDEF;TFAP2C;TRPS1;ZNF692,27,exp03-coregnet
d857ff275efb,MT1A,ATF3;BHLHE40;BHLHE41;CREB3L4;EHF;ELF3;GATA3;IRX3;JUN;JUND;KLF15;MLXIPL;PPARG;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,18,exp03-coregnet
d5b6f4c50afc,PDK4,ATF3;BHLHE40;BHLHE41;CREB3L4;EHF;ELF3;GATA3;HES1;IRX3;JUN;KLF15;NR2F1;OSR1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1;ZBTB16,19,exp03-coregnet
afc7fbfe91b3,PDLIM7,ARID5A;ATF3;BHLHE40;CREB3L4;EHF;ELF3;ETV6;GATA3;HES1;HES4;ID1;IRX3;JUN;KLF15;LDB1;NR2F1;OSR1;PPARG;SOX10;SOX4;SPDEF;TFAP2C;TRPS1;XBP1,24,exp03-coregnet
2a25f0a25631,PER1,ARID5A;ATF3;BHLHE41;CEBPA;DDIT3;EHF;ELF3;FHL2;FOS;GATA3;HES1;IRX3;JUN;KLF9;MAFF;NR1D1;SOX10;SPDEF;TFAP2C;XBP1,20,exp03-coregnet
4f59a64a0f17,SOCS3,ATF3;CREB3L4;EGR1;EHF;ELF3;FOS;FOSB;GATA3;IRX3;JUN;JUNB;NR4A1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,17,exp03-coregnet
c590ee54c831,SOD2,ARID5A;ATF3;BHLHE40;EHF;ELF3;FOS;FOSB;GATA3;IRX3;JUNB;MLXIPL;NFIL3;NR1D1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,18,exp03-coregnet
f23c534619b5,SPARC,CREB3L4;EHF;ELF3;GATA3;IRX3;MEOX2;NR2F1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,12,exp03-coregnet
1141af243a59,TAGLN,ARID5A;ATF3;BHLHE40;CEBPA;EGR1;EHF;ELF3;ETV6;FHL2;FOS;GATA3;HES1;HES4;ID4;IRX3;JUN;JUNB;JUND;MLXIPL;NR4A1;PPARG;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,26,exp03-coregnet
67dc492eaf33,TIMP1,ARID5A;ATF3;BCL3;BHLHE40;CEBPA;CREB3L4;EHF;ELF3;ETV6;FOS;GATA3;IRX3;JUN;JUNB;MLXIPL;PPARG;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,21,exp03-coregnet
901099672681,TIMP3,ARID5A;ATF3;BHLHE40;BHLHE41;CREB3L4;EHF;ELF3;GATA3;HES1;HES4;IRX3;JUN;NR1D1;NR2F1;OSR1;SOX10;SOX4;SPDEF;TFAP2C;TRPS1;XBP1;ZNF692,22,exp03-coregnet
f1af3977d2c1,TNFSF10,ARID5A;ATF3;BHLHE41;CREB3L4;EHF;ELF3;GATA3;ID1;IRX3;KLF15;NR1D1;PPARG;SOX10;SOX4;SPDEF;TFAP2C;TRPS1,17,exp03-coregnet
7b1e0f891683,VEGFA,CEBPA;CREB3L4;EHF;ELF3;GATA3;IRX3;MLXIPL;OSR1;PPARG;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,14,exp03-coregnet
