,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,62b127e3333c,ACTA2,ATF3;BHLHE40;CREB3L4;EHF;ELF3;GATA3;HES4;IRX3;JUN;JUND;KLF15;MLXIPL;PPARG;SOX10;SPDEF;TFAP2C;TRPS1,17,exp03-coregnet,0.50735,0.54534,0.49142,7.8376,17.57317,5.4918,0.62838,1.98773,0.55655,0.05882,0.02703,0.01887
1,161c7ed62b58,APOE,ATF3;BHLHE40;CREB3L4;EHF;ELF3;FOS;FOSB;GATA3;IRX3;NR2F1;SOX10;SPDEF;TBX3;TFAP2C;TRPS1;XBP1,16,exp03-coregnet,0.49167,0.56111,0.49028,6.39857,16.06818,4.38571,0.6107,1.94636,0.54098,0.0,0.0,0.0
2,2ebef2ccf869,CD14,ATF3;BHLHE41;EHF;ELF3;GATA3;IRX3;JUN;MLXIPL;NR2F1;OSR1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,15,exp03-coregnet,0.47063,0.51667,0.45556,5.17138,12.13383,3.97003,0.6039,2.0084,0.5181,0.0,0.0,0.0
3,2865b7c5f7df,CD44,ARID5A;ATF3;BHLHE40;CREB3L4;EGR1;EHF;ELF3;ETV6;FOS;FOSB;GATA3;HES1;ID1;IRX3;JUN;JUNB;JUND;PPARG;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,23,exp03-coregnet,0.52372,0.60145,0.51318,7.85508,27.76394,6.60349,0.57887,1.93957,0.49562,0.26087,0.07692,0.06316
4,ceaf60ac538a,CDKN1A,CREB3L4;EHF;ELF3;ETS2;FOSL2;GATA3;IRX3;KLF15;NFIL3;NR2F1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,15,exp03-coregnet,0.47778,0.53492,0.46825,4.27365,8.53217,3.01015,0.67089,2.0277,0.60593,0.2,0.01181,0.01128
5,a3051d3b18d6,CDKN1C,ARID5A;ATF3;BHLHE40;CREB3L4;EGR1;EHF;ELF3;ETV6;FOS;FOSB;GATA3;HES1;HES4;IRX3;JUN;JUNB;JUND;NR1D1;NR4A1;OSR1;RXRA;SOX10;SOX4;SPDEF;TFAP2C;TRPS1;XBP1;ZNF692,28,exp03-coregnet,0.49052,0.54784,0.47641,5.92175,20.14317,4.68483,0.58347,1.95754,0.4976,0.07143,0.05128,0.03077
6,53133cd940db,CLU,ATF3;BHLHE41;CEBPA;CREB3L4;EHF;ELF3;GATA3;HSF4;IRX3;MLXIPL;OSR1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,16,exp03-coregnet,0.46319,0.50069,0.45833,3.63572,8.79025,3.11032,0.60936,1.99783,0.52865,0.0,0.0,0.0
7,97459f918c43,CRYAB,ATF3;BHLHE40;CREB3L4;EHF;ELF3;FOS;GATA3;IRX3;JUN;SOX10;SOX4;SPDEF;TBX3;TFAP2C;TRPS1;XBP1,16,exp03-coregnet,0.50694,0.59444,0.49444,7.68141,19.52579,5.96781,0.60065,1.98567,0.52083,0.0625,0.04167,0.02564
8,cb4f6a0eb2c8,DUSP1,ATF3;BHLHE40;CEBPA;CREB3L4;EHF;ELF3;FOS;FOSB;GATA3;IRX3;JUN;NR4A1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,17,exp03-coregnet,0.52696,0.60784,0.51103,9.33193,28.07795,7.57021,0.60435,1.96432,0.53072,0.05882,0.03448,0.02222
9,37ade8b4de49,FASN,ARID5A;ATF3;BHLHE40;CEBPA;CREB3L4;EGR1;EHF;ELF3;FOS;GATA3;HES1;IRX3;JUN;JUNB;JUND;KLF15;MAFF;MLXIPL;NR4A1;SOX10;SPDEF;TFAP2C;TRPS1,23,exp03-coregnet,0.52964,0.59289,0.51779,10.47365,24.83305,7.03297,0.61247,2.01681,0.53319,0.17391,0.11429,0.07407
