,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,c050f037e76b,ACTA2,SRF;HES4;ID4;MEF2D;HES1;FHL2;PPARG;PHF1,8,0.0,exp03_breast-coregtor-r1,0.53571,0.52976,0.5,4.72085,11.57682,4.41182,0.4871,1.72566,0.38379,0.25,0.05405,0.04651
1,c06639f44c5a,ACTB,KLF6;SRF;DDIT3;RARA;ATF3;NFE2L2;NR1D1;CREB3L2;NFKB2;BHLHE41;RELA,11,0.2906,exp03_breast-coregtor-r1,0.58182,0.62727,0.56364,10.31753,34.54412,7.0693,0.57462,2.10521,0.46655,0.09091,0.04762,0.03226
2,3ef14c4ed611,APOE,ING4;AHR,2,0.243,exp03_breast-coregtor-r1,0.5,0.5,0.5,1.45072,1.8099,1.77578,0.39374,1.32046,0.33987,0.0,0.0,0.0
3,f4124ba762e4,APP,TFAP2C;SMARCC1;VEZF1;IRX3;ELF3;EHF;GATA3;NONO;CIC;TRPS1;CTNNB1;HDAC1;EP300;SOX4;SOX10,15,0.0,exp03_breast-coregtor-r1,0.60794,0.58571,0.60476,19.33685,23.28229,20.7248,0.5172,1.76991,0.43064,0.06667,0.02041,0.01587
4,8969e1d4eb0a,BCL2L1,HSF1;SSRP1;CREB3;SND1;FOXO3;ZBTB16;NR1H2;KLF9;MXI1;CEBPB;APEX1;STAT3;E2F4;NONO;HMGA1;ELF1;DDIT3;KMT2B;SPDEF;GTF2F1;RELA;HBP1;XBP1,23,0.2672,exp03_breast-coregtor-r1,0.52108,0.54545,0.53623,8.64255,15.18051,12.96798,0.48756,1.64354,0.40443,0.17391,0.0597,0.04651
5,43fa1be18db5,CD14,EBF1;CEBPA;TWIST1;EHF;HLX;TWIST2;SND1;MLX;ZBTB7B;KLF4;MEOX2;SMAD3;FLI1;ID2;ETS1;SOX17;MLXIPL;NR4A1;PRRX1;TBX3;FOXO1;RXRA;SREBF1;FOSL2;ENO1;HMGA1;PPARG;ZNF692;SOX10;MAFB;NR2F2;FOSB;TFE3;MAF;SMAD7;MEOX1;NFIL3,37,0.5674,exp03_breast-coregtor-r1,0.498,0.55155,0.49925,7.00205,19.64753,5.31988,0.57525,1.8845,0.48873,0.08108,0.15,0.05556
6,f9c9bcabcfdb,CD44,LRRFIP1;SMARCA1;BHLHE40;RARA;NFKB1;TBX3;VEZF1;BCLAF1;ETV6,9,0.2857,exp03_breast-coregtor-r1,0.48611,0.5,0.5,11.27644,10.99223,8.50268,0.52162,1.59461,0.45705,0.11111,0.01282,0.01163
7,be6804e0faed,CDK4,SSRP1;GTF2F1;TRIM28,3,0.0,exp03_breast-coregtor-r1,0.66667,0.83333,0.66667,37.62577,68.86281,59.52766,0.46885,1.64084,0.37947,0.0,0.0,0.0
8,ec650c2ba952,CDKN1A,JUNB;FOSL2;ETS2;NFIL3;MYC;HIF1A,6,0.0,exp03_breast-coregtor-r1,0.63333,0.86667,0.6,24.47772,40.33977,14.14602,0.63426,2.03314,0.55691,0.66667,0.01575,0.01562
9,3415ce6be964,CDKN1C,FOXO1;STAT5A;KLF15;RXRA;NFKB2;MXD4;ETV6,7,0.7032,exp03_breast-coregtor-r1,0.47619,0.56349,0.48413,5.46854,25.22283,3.70251,0.62056,1.8996,0.54847,0.14286,0.02564,0.02222
10,829d9169d215,CLU,CTNNB1;ETS1,2,0.3201,exp03_breast-coregtor-r1,1.0,1.0,0.5,18.5062,94.5703,13.48348,0.42149,1.80207,0.29668,0.0,0.0,0.0
11,719220ecac86,CRYAB,TFE3;PPARG;ZNF219;MBD2;CEBPA;THAP11;GTF3A;MLXIPL;YBX1,9,0.0,exp03_breast-coregtor-r1,0.47222,0.50926,0.56944,12.48055,14.68776,9.3707,0.48606,1.55451,0.42817,0.0,0.0,0.0
12,723360aeb7ec,CSF1,SKI;CEBPB;SMAD3;ATF4;CREB3L2;ESRRA;HMGB2;PPARD;RFXANK;HIF3A;ID4;CREB3L4;BCL3;KLF10;YBX1;HBP1;ENO1;NFKB1;STAT3;HMGA1;TCF7L1;HIF1A;DDIT3;ZNF219;NFKB2;HSF4;RXRB;ATF5,28,0.0,exp03_breast-coregtor-r1,0.5119,0.54894,0.51058,8.33656,16.79,6.92538,0.52797,1.76438,0.43895,0.03571,0.02778,0.01587
13,bbedab2349bf,DUSP1,FOS;JUN,2,0.0,exp03_breast-coregtor-r1,1.0,1.0,1.0,89.29566,0.0,82.5669,0.67476,2.90183,0.54652,0.5,0.03448,0.03333
14,b56773038440,FASN,NFE2L2;MLX;MLXIPL;RELA;PHF1;LRRFIP1;AHR;HES4;STAT5A;RXRA;ATF5;HES1;ARID5A;SP100;MAX;ETS2;ATF3,17,0.3606,exp03_breast-coregtor-r1,0.51225,0.51961,0.51348,6.04014,12.0924,3.94508,0.57795,1.94977,0.48277,0.11765,0.05714,0.04
15,e1d6764dc1f7,FGFR1,NFIX;NCOR2;CREB3L2;ABL1;TCF7L2;PPARD;MEF2D;SMAD3;NFIC;STAT5B;OSR1;ARNT,12,0.3329,exp03_breast-coregtor-r1,0.57071,0.56313,0.55808,15.95574,22.45795,11.81851,0.50561,1.83936,0.40891,0.08333,0.0119,0.01053
16,1fd385e91fe6,FN1,NFATC4;PLAGL1;TFDP1;GATA3;EWSR1;RARA;HDAC3;SMARCA1;KDM2A;TCF7L2;UBTF;TWIST2;PBX2;KLF4;CREB3L2;ZNF384;ABL1;STAT2;RXRB;TEAD1;SND1;SMARCC1;OSR1;PRRX1;NONO;APEX1,26,0.5417,exp03_breast-coregtor-r1,0.51692,0.53128,0.51897,9.94359,13.55955,9.47531,0.47207,1.55799,0.39139,0.03846,0.01538,0.01111
17,de58392bfa1a,GADD45B,JUNB;NFIL3;ETS2,3,0.0,exp03_breast-coregtor-r1,0.5,0.66667,0.5,16.18901,32.49906,7.54761,0.72638,1.98816,0.6918,0.33333,0.04348,0.04
18,3894664d5657,GSTP1,RFXANK;CREB3;NR1H2;ZGPAT,4,0.4884,exp03_breast-coregtor-r1,0.5,0.41667,0.47222,0.40518,1.14859,0.60215,0.55117,1.70113,0.46492,0.0,0.0,0.0
19,91793e36b834,HBB,NFKB2;THRA,2,0.2562,exp03_breast-coregtor-r1,0.5,0.5,0.5,6.16583,3.82475,1.72942,0.65801,1.99816,0.58468,0.0,0.0,0.0
20,938c05778331,HLA-DRB1,PML;FLI1;ETS2;MEOX2;JUNB;KLF2;ELK3;ZBTB7B;ATF3;KLF11;SP100,11,0.2769,exp03_breast-coregtor-r1,0.51818,0.49697,0.50606,6.56568,11.67123,4.74108,0.63368,1.94706,0.56942,0.09091,0.03333,0.025
21,cbc165b8d995,HLA-E,FLI1;PML;ELK3;MEOX2;ETS2;SP100;JUNB;KLF11;MEF2A,9,0.0,exp03_breast-coregtor-r1,0.52315,0.49074,0.50463,4.58354,8.75919,4.62112,0.62748,1.84814,0.57233,0.11111,0.01923,0.01667
22,ff291c60a7d3,HSP90AA1,NFIL3;AHR;ENO1;FOXJ3;NFE2L2;NFKB1;MAFF;SND1;TWIST1;NR2F6;RELA;HSF1;CEBPB;STAT3;SP100;KLF9;MAFK;SSRP1;E2F4,19,0.3298,exp03_breast-coregtor-r1,0.55068,0.56238,0.58187,12.96535,19.43755,13.94074,0.51709,1.73992,0.43476,0.26316,0.25,0.14706
23,7af6bd4838d6,HSPA1A,NFIL3;HSF1;NFE2L2;HES4;NR2F6;SREBF1;JUNB;TWIST1;KLF11;FOXJ3;AHR;SPDEF;SMAD7;MAFF;HMGB2;SMAD3;EGR1;NR1H3;PML;EPAS1;FOS;MEF2D;RELA;FOSB;MAFK;HLX;MAF,27,0.4125,exp03_breast-coregtor-r1,0.52991,0.56125,0.53039,8.78511,21.74328,6.37577,0.56617,1.87824,0.48156,0.07407,0.08,0.04
24,0b978ba71da6,ID3,ID1;SOX18,2,0.0,exp03_breast-coregtor-r1,0.33333,0.5,0.33333,0.0,5.53777,0.0,0.5079,2.26299,0.37892,0.5,0.04762,0.04545
25,650c531e482e,ITGB1,TEAD1;MBD2;NFE2L1;TFE3;YBX1;EPAS1;ZNF219,7,0.4475,exp03_breast-coregtor-r1,0.52381,0.48413,0.52381,13.38335,4.14785,7.65413,0.54871,1.67772,0.48528,0.0,0.0,0.0
26,b879cb3236e8,MAT2A,EPAS1;LRRFIP1,2,0.4678,exp03_breast-coregtor-r1,0.5,0.5,0.5,2.35266,4.47878,4.1712,0.59413,1.54708,0.54974,0.0,0.0,0.0
