,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,b81f9809e4f4,ACTB,ARID5A;ATF2;BCL6;BCLAF1;BHLHE40;CEBPB;CEBPD;CEBPG;CUX2;DBP;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;HMGB2;HSF4;JAZF1;JUN;JUNB;KLF9;LMO2;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NKX6-2;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;STAT3;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189;ZNF692,65,exp03-coregnet,0.46857,0.50725,0.47013,5.06684,9.91562,3.80542,0.55795,1.73078,0.49072,0.03077,0.09524,0.02381
1,e336f867484c,APOE,CEBPD;CUX2;EGR3;EMX2;FOS;HES1;ID4;JUNB;KLF15;MEF2C;MYRF;NKX6-2;PEG3;RBFOX2;SATB1;SOX2;SOX9;SREBF1;THRB,19,exp03-coregnet,0.43158,0.57895,0.43489,4.93535,14.60458,3.65655,0.53202,1.78262,0.44957,0.0,0.0,0.0
2,d4b20dd3e527,APP,ATF2;BCLAF1;BHLHE40;CUX2;EGR1;EGR3;ETS2;ETV5;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MEF2A;MEF2C;MEF2D;MTA3;MYRF;NFE2L1;NFIL3;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;TBPL1;THRB;UBP1;XBP1;ZBTB16;ZBTB18,42,exp03-coregnet,0.48577,0.53058,0.48006,5.4584,10.74716,4.42787,0.55138,1.6865,0.48862,0.14286,0.12245,0.07059
3,70f2a900d860,BMI1,ARID5A;ATF2;BCLAF1;BHLHE40;CEBPG;CUX2;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;HMGB2;JAZF1;JUN;JUNB;KLF9;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NKX6-2;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;STAT3;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZEB2;ZNF189;ZNF692,59,exp03-coregnet,0.46485,0.49942,0.46401,4.97535,8.68996,3.79564,0.55187,1.71173,0.48631,0.01695,0.04348,0.01235
4,9bb47add52c1,CARM1,ARID5A;ATF2;BCL6;BCLAF1;BHLHE40;CEBPG;CUX2;DBP;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;ETV5;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189,58,exp03-coregnet,0.47081,0.50318,0.46965,4.70515,8.93761,3.52433,0.56324,1.73598,0.49786,0.01724,0.04348,0.0125
5,7b7347030c84,CDKN1A,CEBPD;FOS;JUN;JUNB,4,exp03-coregnet,0.75,1.0,0.75,49.06061,78.12786,36.13645,0.69362,2.55089,0.59943,0.75,0.01181,0.01176
6,df3b4940abfd,CRYAB,CEBPD;CUX2;FOS;JUN;MYRF;NFIL3;NKX6-2;SOX10,8,exp03-coregnet,0.41607,0.66071,0.40774,10.36468,16.49034,7.26089,0.60823,2.04198,0.5376,0.0,0.0,0.0
7,7cb3a4324c9f,DUSP1,EGR1;FOS;FOSL2;HES1;JUN;JUNB;NR4A1;PEG3,8,exp03-coregnet,0.66667,0.79167,0.625,19.41179,61.12754,13.61888,0.56274,1.97818,0.48273,0.25,0.06897,0.05714
8,8c8c5967e11b,FASN,ARID5A;ATF2;BCLAF1;BHLHE40;CEBPG;CUX2;DBP;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;ETV5;FEZF2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;HSF4;JAZF1;JUN;JUNB;KLF9;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NKX6-2;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189;ZNF692,61,exp03-coregnet,0.45738,0.49194,0.456,4.20445,7.66766,3.10773,0.57108,1.73967,0.50822,0.06557,0.11429,0.04348
9,12086dbfa00e,GADD45B,CEBPD;FOS;FOSL2;JUN;JUNB;NFIL3,6,exp03-coregnet,0.7,0.96667,0.66667,41.71255,65.85845,24.60208,0.68976,2.29036,0.62257,0.33333,0.08696,0.07407
10,dbed9a6a4598,HBA2,CUX2;EGR1;NR4A1;PEG3,4,exp03-coregnet,0.47222,0.58333,0.41667,2.47474,21.03553,0.98778,0.53587,1.67403,0.47245,0.0,0.0,0.0
11,a7fcbff7290c,HBB,EGR1;NR4A1;PEG3,3,exp03-coregnet,0.5,0.66667,0.5,4.10988,41.27728,1.97556,0.51539,1.61428,0.45721,0.0,0.0,0.0
12,3d95dd315490,HLA-DRB1,CEBPD;FOS;JUN;MYRF;NFIL3,5,exp03-coregnet,0.48333,0.76667,0.5,23.53033,25.99759,14.28222,0.58706,2.03258,0.50405,0.2,0.03333,0.02941
13,f45c82712942,HLA-E,ARID5A;BCL6;CEBPD;CUX2;DDIT3;FOS;FOSL2;HMGB2;ID1;JUN;JUNB;LMO2;MYRF;NFIL3;NKX6-2;SCRT1;SOX9;STAT3,18,exp03-coregnet,0.48813,0.61111,0.48715,8.10135,23.2032,5.96547,0.52203,1.79579,0.43725,0.05556,0.01923,0.01449
14,8ba482b63455,HSP90AA1,ARID5A;ATF2;BCL6;BCLAF1;BHLHE40;CEBPB;CEBPD;CEBPG;CUX2;DDIT3;EGR1;EGR3;ELK1;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MEF2A;MEF2C;MEF2D;MESP1;MTA3;MYRF;NFE2L1;NFIL3;NKX6-2;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189,53,exp03-coregnet,0.47743,0.52516,0.47675,5.43811,11.74803,4.34806,0.55375,1.72405,0.48741,0.0566,0.15,0.04286
15,4c3c02bedb43,HSPA1A,CEBPD;EGR1;FOS;JUN;JUNB;NR4A1,6,exp03-coregnet,0.66667,0.96667,0.63333,32.71258,104.75275,21.11756,0.64144,2.33792,0.53946,0.0,0.0,0.0
