cluster_uid,target,sources,n_sources,silhouette_score,note
6a4e8654a771,ACTB,SND1;ZSCAN18;HDAC3;APEX1;TRIM28;SSRP1;EWSR1;USF1;NFYC;GTF2F1;TERF2;NONO;HSF1;HSF2;MAX;HMGB2;E4F1;RFXANK;FOXJ3;RXRB;ID2;DMAP1;CTBP1,23,0.3702,exp03_cortex-ba9-coregtor-r1
f2ce71c74b7b,AKT1,TFE3;MBD1;NCOA1;NONO;HCFC1;CTNNB1;PBX2;STAT5B;SKI;KLF13;NFE2L1;PPARD;MEF2A;MLX;YY1;NFIX;E2F4;CIC;ZBTB4;NCOR2,20,0.329,exp03_cortex-ba9-coregtor-r1
28e9471ad233,APOE,EMX2;ID4;SOX2;SOX9;CEBPD;ID1;HMGB2;SREBF1;NR2E1;RFXANK;HES1;KLF15;LHX2,13,0.0,exp03_cortex-ba9-coregtor-r1
70e653de2b5f,APP,PRDM4;RXRB;UBP1;SATB2;MEF2D;JAZF1;HLF;THRB;HIVEP2;MEF2C;RBFOX2;TBL1XR1;SATB1;SSRP1;ZBTB4;NFE2L1;ING4;CTCF,18,0.0,exp03_cortex-ba9-coregtor-r1
3d7c1492fcf1,BCL2L1,USF1;SSRP1;HDAC3;HSF2;THAP11;ZSCAN18;GTF2F1;SND1;TERF2;FOXJ3;RXRB;YY1;APEX1;HSF1;TRIM28;KDM2A;E2F4;CTBP1;UBTF;DMAP1;NONO,21,0.4838,exp03_cortex-ba9-coregtor-r1
9411c09e1af7,BMI1,SMARCA5;CTCF;CREBZF;NCOR1;ZEB1;MXI1;STAT2;RBPJ;ATF2;HMGB1;ZBTB4;PRDM4;ZNF24;MAX;UBP1;MLX;YY1;STAT5B,18,0.0,exp03_cortex-ba9-coregtor-r1
bc8659be9772,CARM1,GTF2F1;SATB2;SREBF2;TERF2;RXRB;HIVEP2;MBD1;MEF2D;MTA3;HCFC1;PPARD;RBFOX2;TFE3;LDB1;LRRFIP1;FOXO3;SRF;SKI;SND1;STAT6;YY1;ARNT2;UBP1;MEF2C;CTBP1;POU6F1;FOXG1;NFYC,28,0.3457,exp03_cortex-ba9-coregtor-r1
3e0db53ffbbc,CCND3,HMGB2;TRIM28;IRF3;ZSCAN18;ZNF189;EWSR1;ATF6B;HSF1;ZGPAT,9,0.2893,exp03_cortex-ba9-coregtor-r1
c4e31189d455,CDKN1A,NFIL3;ARID5A;HMGA1;LMO2;RELA;XBP1;DDIT3;CEBPD;STAT3;CEBPB;HSF1;ID2,12,0.0,exp03_cortex-ba9-coregtor-r1
234c8deea530,CDKN1B,SMARCA5;HMGB1;STAT2;CREBZF;CTCF;HSF2;RBPJ;TFCP2;SMARCA1;STAT5B;NR1D2;NFE2L1;BCLAF1;SND1;TBL1XR1;NONO;NCOR1;MXI1;BHLHE41;CTNNB1;KLF9;STAT1;MAX,23,0.401,exp03_cortex-ba9-coregtor-r1
cca4fffcefe9,CLU,SOX9;HMGB2;CEBPD;BCL6;RELA;HSF1;EMX2;NFE2L2;STAT3;SOX2;ENO1;ID4;HDAC1;RFXANK;ATF4;HIF1A,16,0.0,exp03_cortex-ba9-coregtor-r1
737021398b32,CRYAB,CEBPD;HDAC1;YBX1;NFE2L2;DDIT3;SOX10;NKX6-2;IRF9;ZNF24;RELA;MXI1;ABL1;SOX8;SFPQ;OLIG2;IRF3;ATF4;SMARCA5;NEUROD2;CXXC1;MAX;ENO1;KLF15;ZBTB17,24,0.4435,exp03_cortex-ba9-coregtor-r1
83ee71a87738,DUSP1,FOS;NR4A1;LMO2;FEZF2;HEY1;EPAS1;ID1;JUN;JUNB;SREBF1;HES6;SOX8;FOSL2,13,0.0,exp03_cortex-ba9-coregtor-r1
bc75d5e36924,FASN,SREBF2;MEF2D;ZBTB7A;HMGA1;PPARD;HIVEP2;FOXJ3;HCFC1;NCOR2;MTA3;CTBP1,11,0.0,exp03_cortex-ba9-coregtor-r1
421988e445c3,GADD45B,ARID5A;NFIL3;DDIT3;XBP1;CEBPB;FOSL2;BCL6;CEBPD;HMGA1,9,0.0,exp03_cortex-ba9-coregtor-r1
0df1d8088f38,GSTP1,SOX10;ABL1;TFE3;HMGB2;SF1;MYRF;HDAC1;SOX2;ING4;YBX1;CEBPD;ENO1;HMGB1;HSF1;CXXC1;ID1;IRF3;RFXANK;ZNF692;SFPQ;KLF15;RELA;ZSCAN18;HES6;NCOA1;NFE2L2;ZNF32;SREBF1;MXI1,29,0.3708,exp03_cortex-ba9-coregtor-r1
db4f7cf77fc3,HBA2,NR2F6;ASCL1,2,0.3275,exp03_cortex-ba9-coregtor-r1
778e0c2652c7,HBB,ABL1;NFYB,2,0.4723,exp03_cortex-ba9-coregtor-r1
fa303a74c005,HLA-DRB1,HES1;ING4,2,0.3451,exp03_cortex-ba9-coregtor-r1
da7a0ac75993,HLA-E,NFE2L2;RELA;STAT3;HMGB2;CEBPD;STAT2;MLX;ID1;E2F4;STAT1;NONO;EPAS1;E4F1;LMO2;IRF9;HDAC1;YBX1;SMARCA5;RFXANK;USF1;JUNB;HSF1;CEBPG;HIF1A;CEBPB;EWSR1,26,0.3582,exp03_cortex-ba9-coregtor-r1
ae1be650bf25,HSP90AA1,ZBED1;RELA,2,0.2245,exp03_cortex-ba9-coregtor-r1
4ecf1bca7115,HSPA1A,NFE2L2;JUN;NFIL3;ARID5A;DDIT3;YBX1;XBP1;CEBPB;HMGA1;HDAC1;CEBPG;EWSR1;KDM2A,13,0.2571,exp03_cortex-ba9-coregtor-r1
2ee29bee0616,HSPA4,PRDM4;FOXJ3;TBPL1;YY1;KDM2A;UBP1;CTCF;SSRP1;CEBPG;SND1;GTF2F1;MAFG;THRB;MLX;SATB2;SF1;MEF2D;CTNNB1;RBFOX2;BCLAF1;HMGA1;TERF2;NR1D2;STAT1;THAP11,25,0.3819,exp03_cortex-ba9-coregtor-r1
31a0c51752a1,ID3,ABL1;SFPQ;SOX8;MYRF;HDAC1;LMO2;SOX10;ZNF32;ZNF24;ZNF692;NEUROD2;EPAS1;FEZF2;SND1;PPARD;SREBF1;TFDP1;YBX1;NKX6-2;ZBED1;NFYB;ZEB2;MAFK;DEAF1;ZNF189;ID1;TFE3;CXXC1;HSF4;SOX2;ZGPAT;NFE2L2;STAT5B;MXI1;ZNF316;IRF3;TFCP2;RBPJ;ATF6B;ZBTB17;HEY1;OLIG1,42,0.3076,exp03_cortex-ba9-coregtor-r1
da40f85e50c6,KAT2B,YBX1;NKX6-2;ZNF24;MXI1;SMARCA5;HDAC1;FOXO4;NFE2L2;HMGB1;RBPJ;SOX2;OLIG1;APEX1;MYRF;SOX9;SOX8;MAFK;ZNF189;KLF15;OLIG2;ZEB2;SOX10;NFYB;ASCL1;SFPQ;ID1;THAP11;ABL1;STAT2,29,0.4245,exp03_cortex-ba9-coregtor-r1
a3408bd95713,MAT2A,ABL1;TFE3;ZGPAT;IRF9;HDAC1;PPARD;SIRT6;E2F4;EWSR1;APEX1;NKX6-2;HMGB2;RFXANK;NFE2L2;SOX10;EPAS1;STAT2;SND1;YBX1;SF1;BCL6;CREBZF;CXXC1;ATF4;NONO;TFCP2;ZBED1;HIF1A;MYRF;ENO1;KLF15;SFPQ;SSRP1;ID4;DDIT3;RELA;KDM2A;SOX8;ZNF24;OLIG2;NEUROD2;ERF;ING4;XBP1;BCLAF1;CTBP1;SMARCA5;TRIM28;SREBF1;CEBPD;ATF6B;MEIS3;CREB3;ZNF32;E4F1;THAP11;IRF3;UBTF;MLX;HSF1;STAT3;CTCF;RBPJ;SOX9;PHF1;CTNNB1;CIC;SCRT1;MXI1;NCOR1;USF1;ZNF316;ZNF189;STAT5B;FOXJ3;SOX2,76,0.2985,exp03_cortex-ba9-coregtor-r1
c7e073ae6b8e,MCL1,RELA;FOS;JUN;XBP1;HMGB2;ATF4;ARID5A;MLX;CEBPD;NFE2L2;STAT3;NFIL3;HIF1A;FOSL2;BCL6;HSF1;DDIT3;E2F4;ERF;IRF9;RFXANK;EWSR1,22,0.0,exp03_cortex-ba9-coregtor-r1
46fb9578c8a7,NDRG1,FOXO4;OLIG1;HMGB1;ZNF24;ZEB2;MAFK;NKX6-2;MXI1;ABL1;SOX10;OLIG2;SOX8;MYRF;RBPJ;YBX1;ZBTB17;NFYB;POU3F3;HDAC1;ZNF189;SREBF1;ZNF32,22,0.0,exp03_cortex-ba9-coregtor-r1
c21d41760aee,NFKBIA,DDIT3;ERF;XBP1;STAT3;ARID5A;CEBPD;LMO2;RELA;ATF4;KDM2A;YBX1;NONO;HSF1;NFE2L2,14,0.5155,exp03_cortex-ba9-coregtor-r1
2bd6938ae380,OGA,SND1;FOXO3;HSF2;BCLAF1;MBD1;NONO;STAT2;NFE2L1;TFCP2;NCOR1;ZSCAN18;SMARCA5;NCOA1;HDAC3;MLX;SMARCA1;NFYC,17,0.0,exp03_cortex-ba9-coregtor-r1
9bf3dc0de1ba,PCNA,IRF9;SOX10,2,0.3938,exp03_cortex-ba9-coregtor-r1
fb68fbace542,PDK4,ZNF24;SOX9;NFE2L2;KLF15;HMGB2;SOX2;SOX8;HDAC1;BCL6;SMARCA5;ABL1;MXI1;CIC,13,0.325,exp03_cortex-ba9-coregtor-r1
d6ef40b7c80d,PER1,NR2E1;FOSL2;SOX2;CEBPB;SIRT6;ZSCAN18;HSF1;HMGB2;ERF;DEAF1;MXD4;E4F1;ESRRA;JUNB;ENO1;PPARD;JUN;NR1H2;KLF16;ARID5A;XBP1;HCFC1;TBPL1;JUND;EGR1;FOXG1;ID2;BHLHE41;NR4A1;CEBPD;NR1D1;TRIM28;PHF1;BHLHE40;DDIT3;FOS,36,0.2806,exp03_cortex-ba9-coregtor-r1
ee2d53bbb19f,PIK3R1,SATB2;THRB;MEF2C;HLF;PBX1;SATB1;RBFOX2;UBP1;PRDM4;MEF2A;MEF2D;HIVEP2,12,0.0,exp03_cortex-ba9-coregtor-r1
082a8b333e71,PKD1,RBFOX2;LDB1;PBX2;SREBF2;LRRFIP1;RXRB;MBD1;ZNF316;ATF6B;POU6F1;ZBTB4;MLXIPL;ZBTB7A;HCFC1;ATF2;UBP1;THRB;SATB2;MEF2D;FOXO3;HIVEP2;NFYC;MEF2A;DMAP1;NFIL3,25,0.3075,exp03_cortex-ba9-coregtor-r1
991f69efee97,PRKACA,GTF2F1;CTBP1;LDB1;MEF2D;RXRB;TERF2;HDAC3;USF1;NFYC;MEF2C;HIVEP2;FOXG1;SATB2;UBP1;TBL1XR1;FOXJ3;HLF;ESRRA;SSRP1;RBFOX2;THAP11;NEUROD2;STAT6;SND1,24,0.0,exp03_cortex-ba9-coregtor-r1
1cad3da6f6fc,RHOA,NKX6-2;ZNF24;YBX1;SMARCA5;NFE2L2;ID1;MXI1;RBPJ;ABL1;DDIT3;OLIG2;MYRF;SOX10;HDAC1;ZBTB17;HSF4;HMGB1;MAFK;RELA;CXXC1;STAT2;ZNF189;SFPQ;SF1;ZGPAT;RFXANK;KLF13;ZEB2;NFYB;BHLHE41;SREBF1;SOX8;ERF;TFCP2;IRF9;SOX2,36,0.0,exp03_cortex-ba9-coregtor-r1
118015e720ab,SMARCA4,CTBP1;GTF2F1;SND1;APEX1;POU6F1;HIVEP2;MEF2D;TERF2;UBP1;HDAC3;SSRP1;USF1;ZSCAN18;HCFC1;MTA3;UBTF;NFE2L1;MAFG;YY1;DRAP1;PBX2;MBD1;NFYC;ZBTB4,24,0.0,exp03_cortex-ba9-coregtor-r1
255bcd499a18,SOD2,ZNF316;ZBED1;ZGPAT;SIRT6;MLX;ENO1;TFE3;KDM2A;CEBPG;SKI;PPARD;ATF4;SOX9;NFE2L2;STAT3;HMGA1;ID1;MEIS3;UBTF;HES6;XBP1;DDIT3;EPAS1;SF1;SCRT1;EWSR1;SSRP1;CEBPD;YBX1;SRF;HIF1A;NEUROD2;SND1;RFXANK;E2F4;RELA;LMO2;STAT5B;HMGB2;BCLAF1;HDAC1;CEBPB;DEAF1;HSF1;ARID5A;APEX1;CTNNB1;PRDM4;SOX2;NONO,50,0.3018,exp03_cortex-ba9-coregtor-r1
ec80a0ac52cd,SPARC,POU3F3;CTBP1;ZEB2,3,0.2787,exp03_cortex-ba9-coregtor-r1
d504472c147d,SQSTM1,ID2;STAT3;CEBPD;RELA;XBP1;MLX;HMGB2;CEBPG;BCLAF1;KDM2A;NONO;EWSR1;ENO1;IRF9;STAT5B;FOXO3;UBTF;ATF4;SMARCA5;DDIT3;MBD1;CEBPB;HDAC1;CUX2;FOXJ3;LMO2;TRIM28;HSF1;DEAF1;E2F4;NCOA1;NFE2L2;SKI;SF1;TFE3;YBX1;NCOR1;TFCP2;ATF6B;STAT2;YY1;ARID5A;SSRP1;STAT1;CTNNB1;SND1,46,0.3933,exp03_cortex-ba9-coregtor-r1
0413c730e024,STMN1,RXRB;ING4;GTF3A;JAZF1;THAP11;TBPL1;ZNF32;NFYC;MEF2C;ZSCAN18;TERF2;HLF;USF1;MEIS3,14,0.4311,exp03_cortex-ba9-coregtor-r1
8135958acb11,SUMO1,JAZF1;GTF3A;THAP11;TBPL1;TERF2;MEF2C;TBL1XR1;FOXG1;SATB2;PRDM4;YY1;NFYC;UBP1;ZNF32;HLF;MBD1;HSF2;MTA3;ING4,19,0.0,exp03_cortex-ba9-coregtor-r1
a1eb7be90c56,TAGLN,NKX6-2;NR2F6,2,0.4143,exp03_cortex-ba9-coregtor-r1
dbf0606b51f5,TIMP1,HSF1;E2F4,2,0.5406,exp03_cortex-ba9-coregtor-r1
98af8703530e,TIMP3,SOX2;SOX9;ID1;NFE2L2;EPAS1;HMGB2;NR4A1;ID4;LMO2;ERF;KLF15;HDAC1;HIF1A;HEY1;CEBPD;STAT3,16,0.0,exp03_cortex-ba9-coregtor-r1
92b1b6ad304a,TKT,ZSCAN18;SSRP1;ATF6B;EWSR1;NONO;MAX;UBTF;HSF1;SF1;SND1;MBD1;TRIM28;CEBPG;APEX1;HSF2;E2F4;MLX;TERF2;SRF;TFE3;USF1;IRF3;ENO1;STAT2;KDM2A;CTBP1;GTF2F1;NFYC;NFE2L1;STAT5B;CEBPB;PHF1;FOXO3,33,0.3928,exp03_cortex-ba9-coregtor-r1
ec068eac8555,TXN,THAP11;DRAP1;TERF2;CREB3;DMAP1;ZNF32;RFXANK;ZSCAN18;HMGB2;HDAC3;PRDM4;NFE2L2;GTF3A;HSF1;FOXJ3;APEX1;HDAC1;USF1;TBPL1;YY1;NFYC;KDM2A;STAT3;SF1;HES6;DDIT3;UBTF;EPAS1;ATF4;GTF2F1;XBP1;TFCP2;EWSR1;DEAF1;STAT1;NEUROD2;ZBED1;CTNNB1;SOX9;RELA,40,0.0,exp03_cortex-ba9-coregtor-r1
2928f03adb2b,VEGFA,SKI;UBP1;ATF2;JAZF1;FOXO3;STAT5B;TBPL1;MLX;NR1D2;LRRFIP1;ID1;ZBTB4;CTCF;TFE3;MAX;PBX2;CIC;SSRP1;ID2;HMGA1;ATF4;IRF9;BHLHE41;CTNNB1;NCOR1;RELA;FEZF2;ZBED1;CEBPG;YY1;STAT3;ENO1;HLF;KLF13;FOXJ3;NONO;NFE2L2;CEBPB;MXD4;TERF2;ING4;NFIL3;XBP1;RXRB;ZBTB16;TBL1XR1;FOSL2;SRF;BCL6;EGR3,50,0.2808,exp03_cortex-ba9-coregtor-r1
df3a2503098a,VIM,HDAC1;HSF1;ZBED1;NONO;ID1;RFXANK;EWSR1;HIF1A;LMO2;YBX1;TRIM28;DDIT3;SSRP1;STAT3;SKI;SCRT1;ENO1;SOX10;SF1;HMGB2;APEX1;STAT2;EPAS1;CEBPD;STAT1;XBP1;SND1;ATF4;TFCP2;CTNNB1;MEIS3;CREBZF;IRF9;NFE2L2;TFE3;NEUROD2;MLX;SOX2;SIRT6;ZGPAT;BCLAF1;RELA;SFPQ;CREB3;E4F1;E2F4,46,0.1886,exp03_cortex-ba9-coregtor-r1
