cluster_uid,target,sources,n_sources,method
8aed5d9d9550,ACTA2,ATF3;BHLHE40;EGR1;FOS;FOSB;KDM5D;NR4A1;NR4A2;NR4A3;PPARGC1A;TBX20;ZNF331,12,exp03-coregnet
7d78fd53273e,ACTB,ARID5A;ATF3;BHLHE40;CEBPD;CREB3L2;EGR1;ENO1;ETS2;FOS;FOSB;FOSL2;HES1;HES4;ID2;JUN;JUNB;JUND;KLF6;MAFF;MSC;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;PPARGC1A;RARA;SMAD3;SMAD7;SOX9;SRF;STAT3;TCF21;ZNF331,34,exp03-coregnet
d0a046c7a39e,APOE,ARID5A;ATF3;BHLHE40;CEBPD;EGR1;FOS;FOSB;HES1;HES4;JUN;JUNB;JUND;KDM5D;MAFF;MSC;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;SMAD7;ZNF331,22,exp03-coregnet
384a837c79f3,CD14,BHLHE40;FOS;FOSB;KDM5D;MYC;NR4A2;NR4A3;TBX20,8,exp03-coregnet
ba927e475ff8,CDKN1A,ARID5A;ARID5B;ATF3;BCL3;BHLHE40;CEBPD;DDIT3;EGR1;ENO1;ETS2;FOSB;FOSL2;HES1;JUNB;KDM5D;KLF10;MAFF;MYC;NFIL3;NFKB2;NR1D1;NR4A1;NR4A2;NR4A3;SNAI1;STAT3;ZNF331,27,exp03-coregnet
c47b81ad190b,CLU,ARID5A;ATF3;BHLHE40;CEBPD;EGR1;FOS;FOSB;FOXC1;HES1;JUN;JUNB;KDM5D;KLF6;MAFF;NFKB2;NR4A1;NR4A2;NR4A3;ZNF331,19,exp03-coregnet
520e36652656,CRYAB,ARID5B;ATF3;BHLHE40;ENO1;FHL2;FOSB;FOSL2;HMGA1;HSF2;KDM5D;MAFF;MEF2A;NFE2L1;NFIL3;NKX2-5;NR4A2;NR4A3;PPARGC1A;SRF;TBX5;ZBTB16,21,exp03-coregnet
c84e5b108eab,DUSP1,ATF3;BHLHE40;EGR1;FOS;FOSB;HES1;JUN;JUNB;JUND;KDM5D;KLF4;MAFF;NR4A1;NR4A2;NR4A3;ZNF331,16,exp03-coregnet
00f57db7f007,ERBB2,ATF3;BHLHE40;BHLHE41;FHL2;FOS;FOSB;HAND2;HSF2;HSF4;ID4;JUND;KDM5D;MEF2A;NFE2L1;NKX2-5;NR4A1;NR4A2;NR4A3;PPARGC1A;SMAD7;SREBF2;SRF;TBX20;TBX5;ZNF331,25,exp03-coregnet
255614418901,FN1,ARID5A;ATF3;BHLHE40;CEBPD;DDIT3;EGR1;FOS;FOSB;FOSL2;FOXC1;HES1;JUNB;KDM5D;MAFF;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;SMAD7;ZNF331,21,exp03-coregnet
