,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,8aed5d9d9550,ACTA2,ATF3;BHLHE40;EGR1;FOS;FOSB;KDM5D;NR4A1;NR4A2;NR4A3;PPARGC1A;TBX20;ZNF331,12,exp03-coregnet,0.46465,0.69949,0.4697,6.06535,37.25629,4.11456,0.53676,1.85393,0.45686,0.08333,0.02703,0.02083
1,7d78fd53273e,ACTB,ARID5A;ATF3;BHLHE40;CEBPD;CREB3L2;EGR1;ENO1;ETS2;FOS;FOSB;FOSL2;HES1;HES4;ID2;JUN;JUNB;JUND;KLF6;MAFF;MSC;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;PPARGC1A;RARA;SMAD3;SMAD7;SOX9;SRF;STAT3;TCF21;ZNF331,34,exp03-coregnet,0.52258,0.63666,0.50475,8.47395,29.15383,5.45931,0.55657,1.96008,0.45978,0.08824,0.14286,0.05769
2,d0a046c7a39e,APOE,ARID5A;ATF3;BHLHE40;CEBPD;EGR1;FOS;FOSB;HES1;HES4;JUN;JUNB;JUND;KDM5D;MAFF;MSC;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;SMAD7;ZNF331,22,exp03-coregnet,0.51082,0.65007,0.48846,8.94837,28.92107,5.17966,0.57315,1.90806,0.49398,0.04545,0.04167,0.02222
3,384a837c79f3,CD14,BHLHE40;FOS;FOSB;KDM5D;MYC;NR4A2;NR4A3;TBX20,8,exp03-coregnet,0.45238,0.69048,0.45833,5.05232,24.75795,4.29952,0.51988,1.92778,0.43017,0.25,0.1,0.07692
4,ba927e475ff8,CDKN1A,ARID5A;ARID5B;ATF3;BCL3;BHLHE40;CEBPD;DDIT3;EGR1;ENO1;ETS2;FOSB;FOSL2;HES1;JUNB;KDM5D;KLF10;MAFF;MYC;NFIL3;NFKB2;NR1D1;NR4A1;NR4A2;NR4A3;SNAI1;STAT3;ZNF331,27,exp03-coregnet,0.51852,0.6339,0.51045,8.68561,23.93974,5.56605,0.56826,1.87769,0.48212,0.48148,0.05118,0.04851
5,c47b81ad190b,CLU,ARID5A;ATF3;BHLHE40;CEBPD;EGR1;FOS;FOSB;FOXC1;HES1;JUN;JUNB;KDM5D;KLF6;MAFF;NFKB2;NR4A1;NR4A2;NR4A3;ZNF331,19,exp03-coregnet,0.51462,0.68908,0.5,9.88751,31.84048,5.76623,0.58755,1.93426,0.50951,0.15789,0.12,0.07317
6,520e36652656,CRYAB,ARID5B;ATF3;BHLHE40;ENO1;FHL2;FOSB;FOSL2;HMGA1;HSF2;KDM5D;MAFF;MEF2A;NFE2L1;NFIL3;NKX2-5;NR4A2;NR4A3;PPARGC1A;SRF;TBX5;ZBTB16,21,exp03-coregnet,0.50317,0.58254,0.50476,7.07942,12.62622,4.03058,0.55617,1.82857,0.47516,0.09524,0.08333,0.04651
7,c84e5b108eab,DUSP1,ATF3;BHLHE40;EGR1;FOS;FOSB;HES1;JUN;JUNB;JUND;KDM5D;KLF4;MAFF;NR4A1;NR4A2;NR4A3;ZNF331,16,exp03-coregnet,0.56667,0.78611,0.54583,13.70859,49.04747,7.94121,0.58009,2.00857,0.49371,0.1875,0.10345,0.07143
8,00f57db7f007,ERBB2,ATF3;BHLHE40;BHLHE41;FHL2;FOS;FOSB;HAND2;HSF2;HSF4;ID4;JUND;KDM5D;MEF2A;NFE2L1;NKX2-5;NR4A1;NR4A2;NR4A3;PPARGC1A;SMAD7;SREBF2;SRF;TBX20;TBX5;ZNF331,25,exp03-coregnet,0.48944,0.57611,0.49056,4.26191,17.16281,2.96769,0.53183,1.83914,0.4493,0.04,0.01587,0.01149
9,255614418901,FN1,ARID5A;ATF3;BHLHE40;CEBPD;DDIT3;EGR1;FOS;FOSB;FOSL2;FOXC1;HES1;JUNB;KDM5D;MAFF;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;SMAD7;ZNF331,21,exp03-coregnet,0.52063,0.66746,0.50635,9.23922,26.79814,5.12759,0.56409,1.92826,0.47948,0.28571,0.09231,0.075
