cluster_uid,target,sources,n_sources,silhouette_score,note
9a06430ed039,ACTA2,SRF,1,0.0,exp03_heart_atrial_appendage-coregtor-r1
5f56af86c961,ACTB,SF1;ATF7;FOXJ3;BHLHE40;CREB3L2;SMAD7;PHF1;KLF6;ATF4;TCF21;ID2;ARNT;DDIT3;NFIB;SRF;TFE3;LRRFIP1;ABL1;RARA,19,0.3041,exp03_heart_atrial_appendage-coregtor-r1
884600b0eb94,AKT1,SND1;GTF2F1;NFIC;SSRP1;NONO;CUX1;YBX1;EWSR1;TEAD2;NCOR2,10,0.0,exp03_heart_atrial_appendage-coregtor-r1
dac45cea4498,APOE,IRF3;HES4;ATF7;USF1;ING4;DDIT3;HSF4;PML;PHF1;TCF7L1;STAT2;ZNF362;PBX2;MSC;NR1D1;HES1;JUN;CXXC1;MZF1;MLXIP;NFKB2;SMAD7;TCF21;ID1;ERF;NR4A1;HEYL;E4F1;HDAC1;JUND;NFIB;MAX;NONO;RXRB;CREBZF;TBX2;FOXJ3,37,0.1743,exp03_heart_atrial_appendage-coregtor-r1
e541363746f3,APP,TFDP1;CUX1;SMARCA1;NCOA1,4,0.0,exp03_heart_atrial_appendage-coregtor-r1
9681f00daaf8,BCL2L1,TFE3;ATF4;ENO1;MBD2;MBD1;NCOR2;CBFB;FOXJ3;RELA;TRIM28;ARNT;SSRP1;STAT5B;CREB3;HMGB2;STAT6;NFATC4;MAX;CEBPB;NR1H2;PML;FOXO1,22,0.3722,exp03_heart_atrial_appendage-coregtor-r1
054030c2e640,CD14,YY1;TFDP1;SMARCA1;SMARCA5;ZNF384;XBP1;NFYB;TFE3;ATF4;EWSR1;ESRRA;ZNF219;RXRA;ID4;STAT3;THAP11;HIF3A;SOX9;MEF2A;NCOA1;ZBTB7B;NR2F2;SNAI2,23,0.4209,exp03_heart_atrial_appendage-coregtor-r1
7dd8e75c84f3,CDKN1A,NFIL3;ETS2;ARID5A;FOSL2;NFKB1,5,0.0,exp03_heart_atrial_appendage-coregtor-r1
d64de0f4a9e3,CLU,ATF7;NFIX;ZEB1;NFE2L2;ARNT;SKI;FOXC1;STAT6;CREBL2;MLXIP;TFE3;STAT5B;NFKB1,13,0.0,exp03_heart_atrial_appendage-coregtor-r1
1210c62a9de8,CRYAB,YBX1;SRF;HMGA1;GTF3A;DRAP1;FHL2;ZNF219;HSF1;ESRRA,9,0.0,exp03_heart_atrial_appendage-coregtor-r1
10e362bf371d,DUSP1,FOS;JUNB,2,0.0,exp03_heart_atrial_appendage-coregtor-r1
d0f56ec284a4,EBP,GTF3A;MLX;APEX1;ESRRA;YBX1,5,0.0,exp03_heart_atrial_appendage-coregtor-r1
6f6e7cdd8b3a,ERBB2,THRA;PBX3;ZNF362;HAND2;NKX2-5;THAP11;USF2;RXRA,8,0.0,exp03_heart_atrial_appendage-coregtor-r1
984b043f8330,FGFR1,CREB3L2;ABL1;RELA;ERF;PHF1;RARA;LRRFIP1;TFE3;MAFF;HES4;MAFG,11,0.0,exp03_heart_atrial_appendage-coregtor-r1
39dbbf806287,FN1,CXXC1;MZF1;CIC;MBD1;ENO1;CEBPB;RXRB;HMGB2;DRAP1;NCOR2;NR1H2;CBFB;ATF7;ARNT;FOXC1;LRRFIP1;ZNF384;STAT2;SND1;NPAS2;HDAC3;ING4;CREBZF;CREB3L2;HSF4;MBD2;ELK3;IRF3;TFE3;LDB1;USF1;CREB3;DDIT3;MLXIP;NONO;ZEB1;ID2;MEOX1;SP100;KLF6;ATF6B;ABL1;FOXJ3;PML;TRIM28,45,0.3842,exp03_heart_atrial_appendage-coregtor-r1
df65103fa99a,GADD45B,NFIL3;MAFF;CEBPD;ETS2;ARID5A,5,0.0,exp03_heart_atrial_appendage-coregtor-r1
9631aa6e62cd,GSTP1,DRAP1;CREB3;TRIM28;NR1H2,4,0.0,exp03_heart_atrial_appendage-coregtor-r1
ebae084e7a20,HBA2,STAT6;RFXANK;CXXC1,3,0.3502,exp03_heart_atrial_appendage-coregtor-r1
