,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,5f56af86c961,ACTB,SF1;ATF7;FOXJ3;BHLHE40;CREB3L2;SMAD7;PHF1;KLF6;ATF4;TCF21;ID2;ARNT;DDIT3;NFIB;SRF;TFE3;LRRFIP1;ABL1;RARA,19,0.3041,exp03_heart_atrial_appendage-coregtor-r1,0.49805,0.49513,0.51267,6.12717,9.87363,4.67484,0.49338,1.67886,0.41327,0.05263,0.04762,0.02564
1,884600b0eb94,AKT1,SND1;GTF2F1;NFIC;SSRP1;NONO;CUX1;YBX1;EWSR1;TEAD2;NCOR2,10,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.56667,0.57778,0.56667,30.93671,20.70474,37.86614,0.47502,1.3142,0.41649,0.2,0.02778,0.025
2,dac45cea4498,APOE,IRF3;HES4;ATF7;USF1;ING4;DDIT3;HSF4;PML;PHF1;TCF7L1;STAT2;ZNF362;PBX2;MSC;NR1D1;HES1;JUN;CXXC1;MZF1;MLXIP;NFKB2;SMAD7;TCF21;ID1;ERF;NR4A1;HEYL;E4F1;HDAC1;JUND;NFIB;MAX;NONO;RXRB;CREBZF;TBX2;FOXJ3,37,0.1743,exp03_heart_atrial_appendage-coregtor-r1,0.48674,0.5,0.48949,6.75605,9.02861,4.68361,0.5313,1.67721,0.46931,0.02703,0.04167,0.01667
3,e541363746f3,APP,TFDP1;CUX1;SMARCA1;NCOA1,4,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.5,0.5,0.5,12.20543,13.90763,14.60059,0.52824,1.58579,0.47405,0.0,0.0,0.0
4,9681f00daaf8,BCL2L1,TFE3;ATF4;ENO1;MBD2;MBD1;NCOR2;CBFB;FOXJ3;RELA;TRIM28;ARNT;SSRP1;STAT5B;CREB3;HMGB2;STAT6;NFATC4;MAX;CEBPB;NR1H2;PML;FOXO1,22,0.3722,exp03_heart_atrial_appendage-coregtor-r1,0.55123,0.55772,0.57071,13.04609,19.98684,13.14413,0.52856,1.84445,0.42377,0.31818,0.10448,0.08537
5,054030c2e640,CD14,YY1;TFDP1;SMARCA1;SMARCA5;ZNF384;XBP1;NFYB;TFE3;ATF4;EWSR1;ESRRA;ZNF219;RXRA;ID4;STAT3;THAP11;HIF3A;SOX9;MEF2A;NCOA1;ZBTB7B;NR2F2;SNAI2,23,0.4209,exp03_heart_atrial_appendage-coregtor-r1,0.50066,0.54282,0.50066,6.76434,15.83394,7.34894,0.52056,1.72519,0.44148,0.04348,0.05,0.02381
6,7dd8e75c84f3,CDKN1A,NFIL3;ETS2;ARID5A;FOSL2;NFKB1,5,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.46667,0.66667,0.46667,10.63317,18.31614,5.24936,0.63494,1.96764,0.55545,0.4,0.00787,0.00778
7,d64de0f4a9e3,CLU,ATF7;NFIX;ZEB1;NFE2L2;ARNT;SKI;FOXC1;STAT6;CREBL2;MLXIP;TFE3;STAT5B;NFKB1,13,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.51496,0.52991,0.52991,14.38942,24.27336,7.29606,0.58202,1.87222,0.50551,0.0,0.0,0.0
8,1210c62a9de8,CRYAB,YBX1;SRF;HMGA1;GTF3A;DRAP1;FHL2;ZNF219;HSF1;ESRRA,9,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.50926,0.49074,0.51389,6.52321,5.04845,8.35454,0.44558,1.40216,0.38768,0.22222,0.08333,0.06452
9,10e362bf371d,DUSP1,FOS;JUNB,2,0.0,exp03_heart_atrial_appendage-coregtor-r1,1.0,1.0,1.0,46.82797,133.39083,30.84886,0.62357,2.50077,0.51366,0.0,0.0,0.0
10,d0f56ec284a4,EBP,GTF3A;MLX;APEX1;ESRRA;YBX1,5,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.56667,0.51667,0.58333,6.79583,5.04381,4.08449,0.43166,1.18919,0.40722,0.0,0.0,0.0
11,6f6e7cdd8b3a,ERBB2,THRA;PBX3;ZNF362;HAND2;NKX2-5;THAP11;USF2;RXRA,8,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.49405,0.50595,0.50595,3.43769,9.00355,3.09394,0.58854,1.92332,0.5137,0.0,0.0,0.0
12,984b043f8330,FGFR1,CREB3L2;ABL1;RELA;ERF;PHF1;RARA;LRRFIP1;TFE3;MAFF;HES4;MAFG,11,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.48182,0.48485,0.49091,9.3245,10.20083,3.69984,0.53732,1.6066,0.483,0.09091,0.0119,0.01064
13,39dbbf806287,FN1,CXXC1;MZF1;CIC;MBD1;ENO1;CEBPB;RXRB;HMGB2;DRAP1;NCOR2;NR1H2;CBFB;ATF7;ARNT;FOXC1;LRRFIP1;ZNF384;STAT2;SND1;NPAS2;HDAC3;ING4;CREBZF;CREB3L2;HSF4;MBD2;ELK3;IRF3;TFE3;LDB1;USF1;CREB3;DDIT3;MLXIP;NONO;ZEB1;ID2;MEOX1;SP100;KLF6;ATF6B;ABL1;FOXJ3;PML;TRIM28,45,0.3842,exp03_heart_atrial_appendage-coregtor-r1,0.50943,0.49444,0.51667,8.42978,8.09139,7.48169,0.51283,1.62148,0.44013,0.06667,0.04615,0.02804
14,df65103fa99a,GADD45B,NFIL3;MAFF;CEBPD;ETS2;ARID5A,5,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.5,0.56667,0.5,10.7324,13.42334,2.69006,0.70806,2.03368,0.64782,0.2,0.04348,0.03704
15,9631aa6e62cd,GSTP1,DRAP1;CREB3;TRIM28;NR1H2,4,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.44444,0.47222,0.44444,1.48485,2.64112,2.45937,0.46367,1.69424,0.35704,0.0,0.0,0.0
16,ebae084e7a20,HBA2,STAT6;RFXANK;CXXC1,3,0.3502,exp03_heart_atrial_appendage-coregtor-r1,0.5,0.5,0.5,7.28531,0.96571,1.66256,0.56102,1.56279,0.51031,0.0,0.0,0.0
17,b2f16767cdda,HBB,ZNF362;HSF4;TBX20;ARNT;SKI;RARA;MXI1;SMAD7;ATF4;NFATC4;CBFB;MXD4;DDIT3;CEBPB;ERF;ID2;MAX;UBTF;HES1;MAFK;CTBP1;NPAS2;MZF1;BHLHE40;STAT6,25,0.2302,exp03_heart_atrial_appendage-coregtor-r1,0.49056,0.50889,0.49667,7.19721,9.87252,4.21274,0.52925,1.74766,0.45575,0.12,0.05085,0.03704
18,9beacd7ce761,HLA-DRB1,ETS1;NFKB1;PML;RELA;ZNF331;ELK3;SP100;ID2;CEBPD;RARA;ETS2;FOXC1;HMGB2;STAT5B;MBD2;CEBPB;MEF2A;IRF7;NFIL3;TFE3;ATF7;TCF7L1;CREBL2;NFKB2,24,0.3221,exp03_heart_atrial_appendage-coregtor-r1,0.532,0.54831,0.53261,10.332,21.32806,7.73572,0.57491,1.88668,0.48588,0.08333,0.06667,0.03846
19,3a462beb6bb3,HLA-E,KLF6;ELK3;SP100;ARNT;PML;ATF7;STAT5B;ETS1;TCF7L1;RELA;NFE2L2;FOXC1;STAT2;CREBZF;NFKB2;ERF;ZEB1;STAT6,18,0.3982,exp03_heart_atrial_appendage-coregtor-r1,0.54902,0.57952,0.53922,8.9891,25.58622,7.09755,0.60705,1.91238,0.52324,0.11111,0.03846,0.02941
20,07278942dc93,HSP90AA1,CUX1;EPAS1,2,0.4693,exp03_heart_atrial_appendage-coregtor-r1,0.5,0.5,0.5,5.56883,4.14605,6.53646,0.61337,1.60485,0.58476,0.0,0.0,0.0
21,00e9d61a8e1b,HSPA1A,SMAD6;ID1;DDIT3;ATF4;XBP1;SF1;PHF1;MXD4;MAX;JUN;ZNF692;ATOH8;IRF7;KDM2A;ATF3;PBX2;IRF3,17,0.2106,exp03_heart_atrial_appendage-coregtor-r1,0.49571,0.53186,0.49387,7.12785,18.66362,4.66583,0.50951,1.67781,0.43052,0.11765,0.08,0.05
22,a584f546f7f2,HSPA4,SMAD6;EWSR1;RUVBL1;SMARCA5;KDM2A;ID1;NPAS2;YBX1;STAT3;BCLAF1;MLX;SMARCA1;APEX1;TFDP1;UBP1;ATF4;CTNNB1;NCOA1;NFIC;SP100;MBD2;ESRRA;ZNF32;VEZF1;E2F4;XBP1;ATOH8;MXD4;CUX1;YY1;KLF10;MEF2A;SSRP1,33,0.3609,exp03_heart_atrial_appendage-coregtor-r1,0.51105,0.51389,0.51831,12.82462,12.91343,12.0909,0.49011,1.55202,0.42194,0.09091,0.07317,0.04225
23,5fc75ef40269,ID3,UBTF;CXXC1;NFIB;ID1;HES1;USF1;FOS,7,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.56349,0.61111,0.54762,13.72694,13.61708,7.80426,0.41098,1.43525,0.34911,0.28571,0.09524,0.07692
24,e78410dffb3f,ITGB1,SMARCA5;HIF1A;UBP1;MEF2A;CUX1;LRRFIP1;TFDP1;SMARCA1;ELF1;CTNNB1;ZEB1;SND1;TEAD1,13,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.56624,0.55983,0.5641,16.54977,18.90998,17.25176,0.52643,1.59069,0.46572,0.07692,0.04762,0.0303
25,299cedeb2339,MAT2A,MYC;HSF2;HIF1A;NFKB1;ZNF331;FOSL2;CREB3L2;NFIL3;ABL1;BCL3;NFKB2;PPARGC1A;SFPQ;ETS2;STAT3;PPARD;CTNNB1;MXD4;UBTF;ARID5A;SF1;CXXC1;NR2F2;HIF3A;MAFF;KLF2;HES4,27,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.52707,0.5622,0.51899,11.49675,17.48485,7.89484,0.50709,1.62322,0.43375,0.11111,0.14286,0.06667
26,4303fdd8afa9,MCL1,KLF6;JUNB;MYC;ID4;EGR1;KLF4;FOSB;NFIL3;FOXC1;ELF1;FOSL2,11,0.5601,exp03_heart_atrial_appendage-coregtor-r1,0.54545,0.67879,0.53939,11.21312,36.99349,8.71511,0.59477,1.91336,0.51783,0.0,0.0,0.0
27,947057af5110,MT1A,FOXO3;PRRX1;BCL6;NR2F2;E2F4;PML;NFIL3;KLF2;ETS2;ZNF692;SSRP1;NONO;BCL3;SMAD3;SFPQ;NKX2-5;NFKB1;KLF6;CEBPB;STAT3;ZBTB16;MEOX1;RARA;CEBPD;MXD4,25,0.5043,exp03_heart_atrial_appendage-coregtor-r1,0.51611,0.59667,0.53056,10.85143,26.38395,9.74502,0.5315,1.76554,0.45229,0.04,0.04762,0.02222
28,71d63f629f42,NDRG1,RELA;MAFF;RARA;ETS1;ABL1;SMAD3;TFE3;NFKB2;CEBPD;ATF7;ARNT;FOSL2;NFIL3;ID2;CEBPB,15,0.3521,exp03_heart_atrial_appendage-coregtor-r1,0.56032,0.66032,0.57302,16.41291,36.05901,9.5186,0.57541,1.9656,0.48299,0.06667,0.05,0.02941
29,a217baafb617,NFKBIA,KLF6;ETS1;ETS2;JUNB;NFIL3;NFKB1;NFKB2;BCL6;ERF;BCL3;CEBPB;RELA;SMAD3;ID2;EPAS1;CEBPD;ABL1;STAT5A;FOSL2;TEAD2;KLF9;MAFF;BHLHE40,23,0.407,exp03_heart_atrial_appendage-coregtor-r1,0.55336,0.69038,0.54941,11.9223,39.85933,7.72135,0.5776,1.8948,0.49384,0.21739,0.14706,0.09615
30,19428903198a,OGA,CREBZF;HMGB2;STAT5B;ATF7;ZSCAN18;MBD1;RXRB;IRF3;MAX;NFIB;FOXJ3;HMGB1;ZNF692;ARNT;STAT2,15,0.0,exp03_heart_atrial_appendage-coregtor-r1,0.49206,0.46032,0.51587,6.88943,8.6569,5.33878,0.56941,1.74155,0.49609,0.0,0.0,0.0
31,95b96f870add,PDK4,ZBTB16;ELF1;FOXO3;ARID5B;HSF2;ZNF189;HBP1;KLF10;FOSL2;PPARGC1A;ZNF331;KLF9;ZNF692;ETS2;KLF15;FHL2;SREBF1;STAT2,18,0.5226,exp03_heart_atrial_appendage-coregtor-r1,0.49673,0.46623,0.49673,5.15021,8.47597,4.42346,0.60944,1.73138,0.55236,0.05556,0.04348,0.025
32,1d9f08e2a86a,PDLIM7,ABL1;CREB3L2;IRF3;MBD1;TCF21;ARNT;TFE3;CREBZF;RBFOX2;CREB3;PML;NFIX;HES4;DRAP1;ZGPAT;STAT5B;NFIB;MEOX1;LRRFIP1;MZF1;ATF7;HEYL;E4F1;MBD2;ZNF692;HMGB1;MLXIP;RARA;SF1;HDAC1,30,0.2873,exp03_heart_atrial_appendage-coregtor-r1,0.49502,0.48314,0.49847,7.86046,7.28555,5.42519,0.51795,1.59718,0.45185,0.0,0.0,0.0
