,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,b9dfb26e6c38,ACTA2,APEX1;CREB3;CUX1;DRAP1;ENO1;EP300;EWSR1;GTF2F1;HBP1;HCFC1;HDAC3;HIF1A;KLF13;LRRFIP1;MBD1;MBD2;MEF2A;MLX;NFIC;NFX1;NFYB;NONO;NPAS2;PBX3;RBFOX2;SFPQ;SMARCA1;SMARCA5;SND1;TEAD1;TFDP1;TFE3;UBP1;YY1;ZBTB4;ZEB1,36,exp03-coregnet,0.54683,0.5254,0.55608,16.18975,12.73291,14.13732,0.51547,1.55971,0.44959,0.05556,0.05405,0.02817
1,62f0d9e477c1,ACTB,ABL1;APEX1;ARNT;CBFB;CEBPG;CREB3;CTBP1;CXXC1;DRAP1;E2F4;E4F1;ELK1;ENO1;GTF2F1;HIF1A;HMGA1;KDM2A;KLF6;LRRFIP1;MAFG;MBD1;MBD2;MLXIP;NCOR2;NFE2L2;NFX1;NONO;NPAS2;PHF1;PPARD;RELA;RFXANK;RUVBL1;SF1;SFPQ;SND1;SRF;SSRP1;STAT6;TFE3;TRIM28;UBP1;XBP1;ZBTB7A;ZBTB7B;ZGPAT;ZNF384,47,exp03-coregnet,0.53731,0.52344,0.53824,14.09546,10.45543,10.69484,0.49026,1.57763,0.41346,0.08511,0.19048,0.0625
2,f6de0ff8467c,AKT1,APEX1;CUX1;DRAP1;EWSR1;GTF2F1;HIF1A;HSF2;LRRFIP1;MEF2A;NFIC;PBX3;PPARA;SMARCA1;SND1;TEAD1;ZBTB7B,16,exp03-coregnet,0.5375,0.51528,0.55,9.58036,7.27104,9.74215,0.50101,1.52246,0.4356,0.1875,0.04167,0.03529
3,e16df4dd69f5,APOE,ARID5A;ATF3;BHLHE40;CEBPD;EGR1;FHL2;FOS;FOSL2;HES1;HEYL;JUN;JUNB;JUND;MAFF;NR1D1;NR4A1,16,exp03-coregnet,0.59167,0.71667,0.5625,17.49626,39.1083,9.39517,0.5843,2.02865,0.49102,0.0625,0.04167,0.02564
4,e48154ac8ed3,APP,APEX1;CUX1;EP300;FOXJ3;HBP1;HIF1A;HMGB1;HSF2;MBD2;MEF2A;NFIC;NFIX;NFX1;PBX3;SMARCA1;SMARCA5;SND1;TEAD1;TFDP1;THRA;UBP1;UBTF;VEZF1;ZEB1,24,exp03-coregnet,0.57246,0.50966,0.59118,16.82127,13.06291,15.14126,0.53423,1.62933,0.4715,0.08333,0.04082,0.02817
5,c34953796c85,BCL2L1,APEX1;ARNT;ATF6B;CBFB;CEBPG;CTBP1;CXXC1;DRAP1;E2F4;E4F1;ELK1;ENO1;EPAS1;EWSR1;GTF2F1;HDAC1;HIF1A;HMGA1;KDM2A;KLF6;LRRFIP1;MAFG;MBD1;MBD2;MLXIP;NFX1;NONO;NPAS2;PPARD;RELA;RFXANK;RUVBL1;SND1;SRF;SSRP1;TBL1XR1;TFE3;TRIM28;XBP1;ZBTB7A;ZBTB7B;ZGPAT;ZNF384,43,exp03-coregnet,0.54097,0.53119,0.54596,14.60336,10.78995,12.49177,0.49687,1.57456,0.42274,0.16279,0.10448,0.06796
6,7ae3e08ffd85,CDK4,APEX1;CUX1;DRAP1;ENO1;EWSR1;GTF2F1;HIF1A;HMGA1;HSF2;LRRFIP1;MLX;NFIC;NFX1;NONO;NPAS2;PBX3;RUVBL1;SMARCA1;SMARCA5;SND1;SSRP1;TEAD1;TRIM28;UBP1;XBP1;YBX1;ZBTB7B,27,exp03-coregnet,0.55128,0.52849,0.5679,21.22115,12.99537,22.13222,0.48836,1.50005,0.42025,0.0,0.0,0.0
7,76e12b4afe6d,CDKN1A,APEX1;ARID5A;ATF3;ATF4;BCL3;BHLHE40;CBFB;CEBPB;CEBPD;DRAP1;EGR1;ELK1;ENO1;ETS2;FOSL2;GTF2F1;HIF1A;HMGA1;JUNB;KLF6;LRRFIP1;MAFF;MAFG;NFIL3;NFX1;NPAS2;NR4A1;PPARD;RELA;RUVBL1;SF1;SND1;SRF;SSRP1;STAT3;TFE3;XBP1;ZBTB7B,38,exp03-coregnet,0.54101,0.5844,0.54576,11.60208,18.53871,9.28648,0.52453,1.73469,0.43525,0.39474,0.05906,0.05415
8,680675db1d25,CDKN1C,ARID5A;ATF3;BCL3;BCL6B;BHLHE40;CEBPD;EGR1;ETS2;FOS;FOSL2;HES1;HES4;HEYL;JUN;JUNB;JUND;KLF4;MAFF;NR4A1;RARA;SOX7,21,exp03-coregnet,0.55238,0.66429,0.53254,12.84062,34.45663,7.46516,0.58872,1.96799,0.49855,0.14286,0.07692,0.05263
9,b1562e355b69,CLU,APEX1;CUX1;DRAP1;ENO1;GTF2F1;HAND1;HBP1;HCFC1;HIF1A;HMGA1;HSF2;LRRFIP1;MEF2A;MITF;NFIC;NFIX;NFX1;NFYB;NONO;NPAS2;PBX3;PPARA;SMARCA1;SMARCA5;SND1;TEAD1;UBP1;ZBTB7B,28,exp03-coregnet,0.51675,0.49383,0.53616,12.45099,6.88141,11.3868,0.53312,1.61989,0.46871,0.07143,0.08,0.03922
10,88e3b597fb07,CRYAB,APEX1;CUX1;DRAP1;EGR1;ENO1;ESRRA;HAND1;HAND2;HIF1A;HMGA1;HSF2;LRRFIP1;MEF2A;MITF;MLX;NFIC;NFX1;NPAS2;PBX3;PPARA;RUVBL1;SMARCA1;SND1;SREBF2;SRF;TEAD1;YBX1;ZBTB7B,28,exp03-coregnet,0.52778,0.52469,0.53086,9.73906,8.97282,8.59031,0.5305,1.69332,0.45517,0.10714,0.125,0.06122
11,20a77c0c4f28,DUSP1,ATF3;BHLHE40;EGR1;FOS;HES1;JUN;JUNB;JUND;KLF4;MAFF;NR4A1,11,exp03-coregnet,0.66061,0.87273,0.6303,26.32074,72.21602,13.84377,0.60307,2.18849,0.49866,0.18182,0.06897,0.05263
12,a9a99b856867,EBP,APEX1;CUX1;DRAP1;ESRRA;HAND1;HAND2;HMGA1;HSF2;MITF;MLX;NFIC;NKX2-5;PBX3;PPARA;SMARCA1;SND1;TEAD1;YBX1;ZBTB7B,19,exp03-coregnet,0.51267,0.48733,0.51657,8.62714,4.93202,6.88094,0.54098,1.70525,0.47153,0.0,0.0,0.0
13,a3bff2b4be15,ERBB2,APEX1;CUX1;DRAP1;EWSR1;GTF2F1;HAND1;HMGA1;HSF2;LRRFIP1;MEF2A;MLX;NFIC;NFX1;NKX2-5;PBX3;PPARA;RUVBL1;SMARCA1;SND1;SREBF2;TEAD1;ZBTB7B,22,exp03-coregnet,0.53608,0.49639,0.54401,9.18473,5.74065,9.27598,0.51458,1.58154,0.44719,0.0,0.0,0.0
14,14a5cb5b902a,FGFR1,APEX1;ARNT;BCLAF1;CREB3;CTBP1;CUX1;DRAP1;E2F4;E4F1;ELK1;ENO1;EWSR1;GTF2F1;HIF1A;HMGA1;HMGB1;KDM2A;LRRFIP1;MAFG;MAFK;MBD1;MBD2;NCOR2;NFIC;NFX1;NONO;NPAS2;PBX3;PPARD;RELA;RXRB;SF1;SFPQ;SMARCA5;SND1;SREBF2;SRF;TEAD1;TFE3;UBP1;YY1;ZBTB7A;ZBTB7B;ZGPAT,44,exp03-coregnet,0.5451,0.52431,0.5525,16.88707,10.08781,13.31861,0.51355,1.62533,0.43494,0.13636,0.07143,0.04918
15,b7ce272999ff,FN1,APEX1;ARID5A;ATF3;BHLHE40;CUX1;DRAP1;EGR1;ELK1;ENO1;FOSL2;HAND1;HAND2;HBP1;HEYL;HIF1A;HMGA1;HSF2;IRX3;JUNB;LRRFIP1;MAFF;MAFK;MEF2A;MITF;MLX;NFIC;NPAS2;PBX3;PPARA;RUVBL1;SMARCA1;SND1;SREBF2;SRF;STAT3;TEAD1;TEAD4;XBP1;ZBTB7B,39,exp03-coregnet,0.5108,0.52407,0.51395,7.74534,9.51648,5.46031,0.55074,1.76297,0.47813,0.15385,0.09231,0.06122
16,61ca1a6e04fb,GADD45B,APEX1;ARID5A;ATF3;ATF4;BCL3;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;DRAP1;EGR1;ELK1;ENO1;ETS2;FOS;FOSL2;HIF1A;HMGA1;JUN;JUNB;LRRFIP1;MAFF;NFIL3;NONO;NR4A1;PPARD;PPARGC1A;RUVBL1;SFPQ;SND1;SRF;SSRP1;STAT3;TEAD4;XBP1,36,exp03-coregnet,0.57196,0.63704,0.57143,14.94138,28.30624,12.0858,0.5204,1.81352,0.42268,0.13889,0.21739,0.09259
