cluster_uid,target,sources,n_sources,silhouette_score,note
77cfcefb935f,ACTA2,SMAD3;SREBF1;CTBP1;ARNT;TBX2;ZBTB16;ZNF266;CREBZF;EPAS1;SKI;NR2F2;ZBTB4;NFE2L2;EGR1;ZNF692;E4F1;APEX1;ATF6B;TFCP2;MSC;FOXJ3;PBX2;MXI1;CTNNB1;RBFOX2;STAT2;UBTF;HDAC1;NFIB;NFIX;STAT6;SMAD7;FOS;MZF1;ZEB1;SOX17;ZNF362;KLF13;ZBTB7A;UBP1;NCOR2;DRAP1;IRF3;TFDP1;MBD2;MLXIP;TBL1XR1;STAT5B;KLF4;HEYL;JUNB;JUND;SP100;ZNF76;SFPQ;KLF9;HLX;HMGB1;SND1,59,0.2594,exp03_heart_left_ventricle-coregtor-r1
25f1a4ee8622,ACTB,HMGB1;SSRP1;ENO1;NONO;MLXIP;GTF2F1;CREB3;PML;KLF6;ZNF384;MAZ;TFE3;HDAC1;MBD2;TFDP1;KDM2A;SF1;ZGPAT;CBFB;MSC;APEX1;MBD1;USF1;CTNNB1;STAT5B;MAFG;RELA;TFCP2;CIC;CTBP1;ELK3;PBX2;E2F4;BCLAF1;SND1;TEAD4;CXXC1;RFXANK;ERF;ARNT,40,0.0,exp03_heart_left_ventricle-coregtor-r1
08df97b839af,AKT1,SND1;GTF2F1;CUX1;MEF2D;EWSR1;HCFC1;NFIC;SRF;UBP1;NONO;YBX1;NFX1;YY1;HMGA1,14,0.0,exp03_heart_left_ventricle-coregtor-r1
3bed63cb2037,APOE,TFCP2;SMARCA5;CUX1,3,0.3776,exp03_heart_left_ventricle-coregtor-r1
5d61aae8b891,APP,UBP1;ZEB1;TFDP1;FOXJ3;SMARCA5;EP300;CUX1;MEF2A;YY1;NFX1;EWSR1;SMARCA1;TFCP2,13,0.0,exp03_heart_left_ventricle-coregtor-r1
91f0de18101a,BCL2L1,ELK1;CBFB;E2F4;SSRP1;GTF2F1;TFE3;ZBTB7B;NR1H2;KLF13;ENO1;MBD2;NPAS2;ZBTB16,13,0.0,exp03_heart_left_ventricle-coregtor-r1
a96fa7f08fa8,CDK4,TRIM28;HIF1A;APEX1;NFX1;STAT5B;CREB3;HCFC1;NONO;ZGPAT;RUVBL1;SRF;SND1;TFE3;UBP1;YY1;KDM2A;SF1;MBD1;NR1H2;MLXIP;DRAP1;KLF6;ZNF384;TFCP2;SSRP1;GTF2F1;E2F4;ZBTB7A;ELK1;CIC;CBFB;HMGA1;MAZ;EWSR1;FOXJ3;CTBP1;CUX1;NCOR2;MEF2D,39,0.4595,exp03_heart_left_ventricle-coregtor-r1
20e14a622fff,CDKN1A,ARID5A;PPARD;RELA;KLF6;ABL1;CEBPB;HMGA1;MAFF;CEBPD;ETS2;NONO;NFKB2;MSC;TFE3;ERF;MAFG;FOSL2;YY1;E2F4;KLF10;CBFB;ETS1;NFIL3;BCL3;MEF2D;TRIM28;RARA,27,0.0,exp03_heart_left_ventricle-coregtor-r1
365ae7726ce3,CDKN1C,KLF4;TCF15;HES4;BCL6B;NR4A1;SOX7;BHLHE40;ID2;SREBF1;HSF4;JUND;JUNB;MAFF;HES1;EGR1;SMAD7;RARA;ABL1;NR1D1,19,0.5342,exp03_heart_left_ventricle-coregtor-r1
8084fb53e2ce,CLU,ZNF266;DRAP1,2,0.2705,exp03_heart_left_ventricle-coregtor-r1
