,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,b811f59cac85,ACTB,TRIM28;TFE3;SRF;APEX1;MLX;ENO1;SKI;RELA;SF1;E2F4;EWSR1;ATF4;CBFB;NFYC;CREB3;HIF1A;YY1;IRF3;SSRP1;PPARD;USF1;GTF2F1;ZBTB4;KLF13;NFIC;STAT3;HMGB1;MAX;DRAP1,29,0.2739,exp03_hypothalamus-coregtor-r1,0.55131,0.55911,0.5587,12.82201,16.01707,12.64904,0.50634,1.70996,0.41689,0.06897,0.09524,0.04167
1,973d68a45c76,AKT1,YY1;RXRB;MBD1;TFE3;SF1;APEX1;ZBTB4;TRIM28;CREB3;NFE2L1;USF1;CTNNB1;GTF2F1;MAZ;CXXC1;ATF6B;ZGPAT;EWSR1;SFPQ;E4F1;SSRP1;TFCP2;CIC;IRF3;RFX5;HSF1;PBX2,27,0.2785,exp03_hypothalamus-coregtor-r1,0.54796,0.51994,0.55081,15.09804,8.49425,14.00063,0.52917,1.58146,0.46268,0.07407,0.02778,0.02062
2,8a04a8f5dd46,APOE,SOX2;RFX4;RFXANK;HMGB2;CEBPD;ID2;HSF1;SOX9;THRA;FOXO4;IRF9;HEY1;ZEB1;SIRT6;RXRA;HES4,16,0.3688,exp03_hypothalamus-coregtor-r1,0.48889,0.52083,0.48333,6.3358,15.69404,7.73286,0.54249,1.80193,0.45247,0.0,0.0,0.0
3,681834d5df4f,APP,NFE2L1;APEX1;TFCP2;ZBTB4;SMARCA5;UBP1;YY1;BCLAF1;CTNNB1;PEG3;TERF2;RXRB;SREBF2;ATF2;SND1;ZFP90;NONO;MBD1;KDM2A;MLX;RBFOX2;SSRP1;SF1;CREBL2;MEF2D,25,0.3891,exp03_hypothalamus-coregtor-r1,0.51722,0.49111,0.52667,15.19027,8.85831,12.91294,0.4833,1.50772,0.40702,0.08,0.04082,0.02778
4,d275c82a3829,BCL2L1,APEX1;MLX;HDAC3;SSRP1;CREB3;USF1;SND1;CTBP1;E2F4;E4F1;GTF2F1;TERF2;YY1;THAP11;HSF1;ZFP90;MBD1;TFE3;NONO;EWSR1;ENO1;KDM2A;PHF1;HSF2;DRAP1;MAFG,26,0.4244,exp03_hypothalamus-coregtor-r1,0.53949,0.50564,0.54974,14.532,9.33555,11.43086,0.49232,1.52168,0.42279,0.11538,0.04478,0.03333
5,71d9217fcb31,BMI1,YY1;BCLAF1;TFCP2;HMGB1;BHLHE41;ZSCAN26;ZFP90;SMARCA5;CREBZF;NKX6-2;MAX;RBPJ;JAZF1;UBTF,14,0.3616,exp03_hypothalamus-coregtor-r1,0.50092,0.49084,0.49725,13.87406,8.29213,11.80741,0.51698,1.57751,0.4473,0.0,0.0,0.0
6,0d66f7b9fd85,CCND3,HSF1;MLX;TFE3;SND1;NONO;LRRFIP1;GTF2F1;STAT3;E2F4;ZSCAN18;ENO1;APEX1;TERF2;TRIM28;USF1;FOXJ3;MBD1;THAP11;MAFG;NFYC;HDAC3;HSF2;SSRP1;KDM2A;STAT5B,25,0.3165,exp03_hypothalamus-coregtor-r1,0.53333,0.505,0.54944,11.93431,8.07484,11.79118,0.4905,1.51217,0.4259,0.04,0.02703,0.01639
7,8be83d83048e,CD14,HMGA1;APEX1;MLX;MLXIPL;EWSR1;PPARD;KLF6;MAFF;ATF4;ARID5A;CEBPB;ETS2;XBP1;ATF5;TRIM28;STAT3;DRAP1;LMO2;SRF;DDIT3;RFX5;IRF3;CEBPD;E2F4;YBX1;CBFB;NFIL3;CEBPG,28,0.3805,exp03_hypothalamus-coregtor-r1,0.54718,0.57099,0.5582,9.06104,16.18683,7.86662,0.54987,1.82765,0.46109,0.07143,0.1,0.04348
8,550d16b4cb35,CDKN1A,RELA;ARID5A;NFIL3;MAFF;SRF;LMO2;ENO1;HMGA1;CEBPD;DDIT3;ATF3;ERF;PPARD;EPAS1;JUND;HIF1A;STAT3;TFE3;CEBPB,19,0.0,exp03_hypothalamus-coregtor-r1,0.59064,0.63645,0.60136,15.35355,29.36766,9.74497,0.56953,2.01679,0.45931,0.47368,0.03543,0.03409
9,1f3cdbd0b6ff,CDKN1C,POU3F3;NKX6-2;SOX10;MYRF;HTATIP2;SMARCC1;ZEB2;SOX8,8,0.0,exp03_hypothalamus-coregtor-r1,0.40119,0.56548,0.36845,3.23677,9.18667,3.84491,0.49522,1.81217,0.40206,0.0,0.0,0.0
10,274e33fdd76a,CLU,RFXANK;ENO1;RFX4;SOX9;RXRA;BCL6;SOX2;TFE3;RELA;THRA;HMGB2;IRF9;TRIM28;STAT3;MBD1;BHLHE40;HIF1A,17,0.0,exp03_hypothalamus-coregtor-r1,0.55025,0.57843,0.55882,12.94356,23.09405,10.65237,0.52592,1.81654,0.42276,0.05882,0.04,0.02439
11,95839e608e6b,CRYAB,YBX1;SMARCC1;SOX10;MYRF;NKX6-2;RELA;HSF1;BCL6;NFE2L2;FOXO4;CEBPD;HES5,12,0.27,exp03_hypothalamus-coregtor-r1,0.42778,0.56566,0.45758,7.631,17.11793,7.46897,0.53437,1.94794,0.42291,0.08333,0.04167,0.02857
12,269d702bb9a8,CSF1R,ZHX2;FOS;KLF13,3,0.1598,exp03_hypothalamus-coregtor-r1,0.5,0.5,0.5,8.02256,3.74376,3.88838,0.47332,1.34377,0.45454,0.33333,0.04348,0.04
13,3f82ea609ff9,DUSP1,NR4A1;FOS;HES1;ATF6B;NFIX;JUNB,6,0.0,exp03_hypothalamus-coregtor-r1,0.58889,0.63333,0.57778,12.74957,27.77818,8.06916,0.57609,1.94946,0.49658,0.16667,0.03448,0.02941
14,55020fb3ceea,FASN,TFE3;SREBF2;ZNF76;CIC;PHF1;MAFG;HES4;HIF1A;MEF2D;JUND;HSF1;CREBZF;ZBTB17;EPAS1;ZBTB4;E4F1;POU6F1;NCOR2;BCL6;CTBP1;ZBTB7A;TRIM28;DRAP1;RELA;NONO,25,0.0,exp03_hypothalamus-coregtor-r1,0.51722,0.52444,0.51611,12.809,10.25124,9.69075,0.53912,1.70034,0.46548,0.16,0.11429,0.07143
15,995c4913ded6,GADD45B,ARID5A;MAFF;NFIL3;CEBPB;SRF;LMO2;CEBPD;ATF3;HES5;RELA;ENO1;BHLHE40,12,0.0,exp03_hypothalamus-coregtor-r1,0.57828,0.61616,0.58586,13.16254,22.78985,7.28147,0.55669,1.92772,0.45557,0.25,0.13043,0.09375
16,ffa28009c5fd,GSTP1,SSRP1;ENO1;TRIM28;SND1;DRAP1;NONO;APEX1;PHF1;CREB3;CTBP1;ZSCAN18;RFXANK;HSF1;ATF6B;USF1;YY1;HSF2;IRF3;ZGPAT;THAP11;THRA;E2F4;TFE3;EWSR1,24,0.4235,exp03_hypothalamus-coregtor-r1,0.53502,0.51268,0.54529,11.71528,8.88839,12.63003,0.51572,1.53924,0.44891,0.0,0.0,0.0
17,bc52f279ede4,HBA2,GTF2F1;TBPL1,2,0.305,exp03_hypothalamus-coregtor-r1,0.5,1.0,0.5,5.45999,77.10874,10.81112,0.60899,2.49742,0.51909,0.0,0.0,0.0
18,ab1800579375,HBB,SOX2;HMGA1;NFIL3,3,0.2862,exp03_hypothalamus-coregtor-r1,0.5,0.5,0.5,10.55449,9.66563,13.40296,0.55418,1.72656,0.48281,0.33333,0.01695,0.01639
19,05cf18e46f31,HLA-DRB1,HMGB1;ZNF76;SND1,3,0.1787,exp03_hypothalamus-coregtor-r1,0.5,0.44444,0.5,13.83403,2.16395,19.69218,0.33673,1.06142,0.26761,0.0,0.0,0.0
20,cdf975983a3a,HLA-E,CBFB;EPAS1;YBX1;LMO2;PPARD;KLF6;ETS2;RELA;NFE2L2;STAT3;VEZF1;NFIC;HMGB2;NFIL3;ATF4;ID1;ARID5A;MAFF,18,0.4895,exp03_hypothalamus-coregtor-r1,0.53922,0.5512,0.54139,7.71435,18.59454,6.10055,0.53284,1.76786,0.44624,0.05556,0.01923,0.01449
21,bc6cf4ad14d0,HSP90AA1,CEBPG;HMGA1;CTNNB1;TERF2;XBP1;DDIT3;CREB3;MAFG;SMARCA5;SND1;MLX;HSF2;TFE3;RFX5;NFE2L1;NFIL3;YY1;ATF2;TBPL1;ZBTB4;FOXJ3;TBL1XR1;STAT3;HIF1A;SMARCA1;SF1;SSRP1,27,0.3074,exp03_hypothalamus-coregtor-r1,0.53941,0.53039,0.53989,13.69858,12.23904,10.75929,0.49147,1.61555,0.41522,0.11111,0.15,0.06818
22,ea9969b47d64,HSPA1A,ATF3;JUN;FOS;KLF6;MAFF,5,0.0,exp03_hypothalamus-coregtor-r1,0.78333,0.95,0.73333,29.48892,61.26858,20.65432,0.62503,1.97345,0.57308,0.0,0.0,0.0
23,60af6e8bbde2,HSPA4,UBP1;CREB3,2,0.3206,exp03_hypothalamus-coregtor-r1,0.5,0.33333,0.5,0.18206,0.0,0.23743,0.54356,1.5381,0.52775,0.0,0.0,0.0
24,59be90c00810,ID3,YBX1;RFX4;RFXANK;RELA;KLF6;NR1H2;CBFB;CEBPD;ID1;STAT3;BCL6;EPAS1;MAFF;XBP1;CEBPB,15,0.3255,exp03_hypothalamus-coregtor-r1,0.51905,0.57778,0.51746,7.71577,28.08642,6.88841,0.53754,1.80571,0.44658,0.06667,0.04762,0.02857
25,daaf9d0aed26,KAT2B,NFE2L2;ZNF24;MXI1;HMGB1;RBPJ;ZHX2;TFDP1,7,0.4604,exp03_hypothalamus-coregtor-r1,0.54762,0.5,0.52381,10.56672,10.4654,9.03473,0.51983,1.63509,0.45449,0.0,0.0,0.0
26,d25a494eb959,MAT2A,MAX;STAT3,2,0.2629,exp03_hypothalamus-coregtor-r1,0.5,0.5,0.5,6.70614,13.80145,11.03276,0.42307,1.4649,0.36273,0.0,0.0,0.0
