,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,c05c08cd7200,ACTA2,ABL1;APEX1;ARID5A;ATF6B;BCL3;BCL6;CEBPB;CEBPD;CIC;CREBZF;EGR1;ENO1;EPAS1;FOS;HDAC1;HMGA1;HMGB2;HTATIP2;ID4;KLF2;KLF9;MYRF;NCOR2;NFATC4;NFKB1;NONO;NR2F1;NR2F2;NR4A2;PML;SFPQ;SKI;SND1;SOX9;SSRP1;STAT2;STAT3;STAT6;TEAD2;THRA;XBP1;ZBTB4,42,exp03-coregnet,0.53523,0.56136,0.53368,10.46216,18.39437,9.9936,0.49129,1.69777,0.39693,0.04762,0.05405,0.02597
1,6da7d80c0f66,ACTB,APEX1;ATF4;ATF6B;BCL6;BCLAF1;CEBPB;CREB3;CREBZF;CTNNB1;CXXC1;DRAP1;E2F4;ELF3;ENO1;EWSR1;GTF2F1;HDAC1;HDAC3;HIF1A;HMGA1;HMGB2;HNF1B;ID4;JUN;JUNB;KDM2A;KLF6;LRRFIP1;MBD2;MEF2D;MYRF;NCOR2;NFATC4;NFE2L2;NFKB1;NFKB2;NONO;NPAS2;NR2F1;NR2F2;PML;RARA;RELA;RFX5;SF1;SFPQ;SIRT6;SKI;SMARCA1;SND1;SOX9;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT3;STAT5A;TRIM28;UBP1;VEZF1;XBP1;ZBTB4;ZNF384,64,exp03-coregnet,0.54861,0.56614,0.55084,13.94968,18.61383,12.68626,0.49161,1.65852,0.40289,0.0625,0.19048,0.04938
2,4855fb46ea6e,APOE,ATF3;EGR1;HNF4A;MAF;MLXIPL;NFATC4;NR2F2;NR4A1;NR4A2,9,exp03-coregnet,0.47685,0.66667,0.47222,6.59691,33.75512,4.10534,0.65568,2.24358,0.5627,0.0,0.0,0.0
3,565d68736737,APP,APEX1;ARNT;ATF6B;BCL3;BCL6;BCLAF1;CIC;CREBZF;CTNNB1;ELF3;EPAS1;ETS1;EWSR1;HDAC1;HIF1A;HMGA1;HMGB2;HOXB2;HOXB3;HOXD9;KLF6;LRRFIP1;MBD2;MECOM;MYRF;NCOR2;NFATC4;NFE2L1;NFE2L2;NFKB1;NFKB2;NPAS2;NR2F1;NR2F2;PBX2;PML;RELA;RELB;RFX5;SKI;SMARCA1;SND1;SOX9;SSRP1;STAT1;STAT3;STAT6;TEAD2;TFDP1;THAP11;THRA;TRIM28;UBP1;VEZF1;XBP1;ZBTB4,56,exp03-coregnet,0.53837,0.53907,0.53571,11.47475,16.57037,9.95494,0.53007,1.71072,0.44748,0.10714,0.12245,0.06061
4,6e3915881fe3,CD14,ARID5A;BCL3;BCL6;CEBPB;CEBPD;CIC;CTNNB1;ELF3;ENO1;ETS2;EWSR1;HIF1A;HNF1B;IRF9;MYRF;NCOR2;NFATC4;NFKB1;NFKB2;NPAS2;NR2F2;NR4A2;PAX8;PML;RELB;SND1;SOX9;STAT1;STAT2;STAT3;XBP1,31,exp03-coregnet,0.55412,0.59857,0.55771,12.2978,27.34956,11.67939,0.52355,1.80761,0.41898,0.09677,0.15,0.0625
5,3196bec3a19f,CDK4,ABL1;APEX1;ARID5A;ARNT;ATF4;ATF6B;BCLAF1;CIC;CREB3;CTBP1;CTNNB1;CXXC1;DMAP1;DRAP1;E2F4;E4F1;ENO1;EWSR1;GTF2F1;GTF3A;HDAC1;HDAC3;HMGA1;HMGB1;HMGB2;HNF1B;HOXA5;HOXA9;HOXB2;HSF1;ID4;ING4;IRF3;KDM2A;KLF6;LDB1;MBD1;MBD2;MEF2D;MYRF;NCOR2;NFATC4;NFE2L2;NFIC;NFKB1;NFKB2;NFYC;NONO;NR2F1;NR2F2;PBX2;PHF1;PML;RELA;RFX5;RFXANK;RXRB;SF1;SFPQ;SIRT6;SKI;SMARCA1;SMARCC1;SND1;SP100;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT3;STAT5A;STAT5B;TFDP1;THAP11;TRIM28;UBP1;USF1;USF2;VEZF1;YBX1;ZBTB4;ZNF32;ZNF384,84,exp03-coregnet,0.52778,0.52493,0.53299,12.16929,12.25348,10.67172,0.49247,1.59261,0.41604,0.08333,0.19444,0.06195
6,9ef87a1d2a5e,CDKN1A,ATF3;BCL3;BCL6;CEBPB;CEBPD;EGR1;ETS2;FOSL2;HIF1A;HMGA1;KLF6;MAFF;NFIL3;NFKB2;NR4A2;RELB;SOX9;STAT3;XBP1,19,exp03-coregnet,0.55653,0.73977,0.55653,11.58087,44.37487,7.69441,0.58001,1.98686,0.48158,0.63158,0.04724,0.04598
7,2f9967fec886,CDKN1C,ATF3;ATF4;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;EGR1;FOXI1;HMGA1;HMGB2;HNF4A;JUN;JUNB;KLF6;MAFF;NFIL3;NR1D1;NR2F1;NR4A1;NR4A2;SND1;SOX9,23,exp03-coregnet,0.55731,0.6502,0.54941,13.0673,30.792,8.91492,0.57604,1.9425,0.48592,0.13043,0.07692,0.05085
8,e6156da92e25,CLU,ARID5A;BCL3;BCL6;CEBPB;CEBPD;CIC;ELF3;HIF1A;HMGA1;HTATIP2;MYRF;NFATC4;NFKB1;NFKB2;NPAS2;NR2F1;PML;RELA;RELB;SND1;SOX9;SSRP1;STAT1;STAT3;XBP1,25,exp03-coregnet,0.55278,0.60111,0.56556,13.29385,29.51807,12.73062,0.50526,1.78083,0.40066,0.08,0.08,0.04167
9,dbd544fcba94,CRYAB,ATF3;BCL3;BCL6;CEBPB;CEBPD;EGR1;HIF1A;HMGA1;HTATIP2;MLXIPL;NFIL3;NPAS2;NR4A1;NR4A2;PAX8;RELB;SOX9;XBP1,18,exp03-coregnet,0.50545,0.64597,0.51525,10.08372,33.70621,6.93903,0.54,1.96008,0.42889,0.05556,0.04167,0.02439
10,b56a7f7c08ff,DUSP1,ATF3;BHLHE40;EGR1;FOS;HES1;JUN;JUNB;JUND;KLF2;MAFF;NR1D1;NR4A1;NR4A2,13,exp03-coregnet,0.60043,0.80769,0.57692,16.34143,53.42613,10.02945,0.60357,2.19336,0.50324,0.23077,0.10345,0.07692
11,2f27274a3386,ERBB2,APEX1;ATF6B;BCLAF1;CIC;CREB3;CTBP1;CXXC1;DMAP1;E2F4;E4F1;EGR1;ELF3;EMX1;EMX2;FOXC1;GATA3;GTF2F1;HDAC1;HDAC3;HMGB1;HNF1B;HOXA5;HOXA9;HOXB2;HOXB3;HOXB5;HOXB7;HOXB8;HOXB9;HOXD10;HOXD4;HOXD8;HOXD9;HSF1;HSF4;ID4;ING4;IRF3;KDM2A;KLF13;KMT2B;LDB1;MAFK;MBD1;MBD2;MECOM;MXD4;MXI1;MYRF;MZF1;NFATC4;NFE2L1;NFE2L2;NFIC;NFKB1;NFKB2;NFYC;NPAS2;NR1H3;NR2F1;NR2F2;PAX2;PAX8;PBX2;PHF1;POU3F3;RFX5;RFXANK;RORC;RXRA;RXRB;SALL1;SF1;SIRT6;SKI;SMAD7;SMARCA1;SND1;SOX9;SP1;SREBF1;SREBF2;SSRP1;STAT1;STAT3;STAT6;TEF;TFCP2L1;TFDP1;THAP11;THRA;TRIM28;UBP1;USF2;VEZF1;ZBTB4;ZBTB7B;ZNF32;ZNF362;ZNF384;ZNF692,101,exp03-coregnet,0.48891,0.49606,0.4934,7.33083,8.4212,5.4544,0.5348,1.64632,0.47332,0.05941,0.09524,0.03797
12,078b0fd94f20,FN1,ARID5A;BCL3;BCL6;CEBPB;CEBPD;HDAC1;HIF1A;HNF1B;MYRF;NCOR2;NFATC4;NFKB1;NFKB2;NPAS2;NR2F1;NR2F2;PML;RELB;SKI;SND1;SOX9;SSRP1;STAT1;STAT2;STAT3;TEAD2;XBP1,27,exp03-coregnet,0.56078,0.61206,0.55793,12.75602,29.49234,11.57775,0.51221,1.84375,0.39972,0.11111,0.04615,0.03371
13,b636ccee4d16,GADD45B,ARID5A;ATF4;ATF5;BCL3;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;ETS2;FOSL2;HIF1A;HMGA1;HMGB2;HNF4A;HSF1;JUN;KLF10;MAFF;MAFK;MBD2;NFE2L2;NFIL3;NFKB2;RARA;RELB;SMAD3;SOX9;STAT1;STAT3;XBP1,31,exp03-coregnet,0.56237,0.65735,0.56667,12.30561,35.53007,9.60722,0.56452,2.01899,0.45481,0.12903,0.17391,0.08
14,e2c4b32dc2d6,GSTP1,ABL1;APEX1;ARID5A;ATF4;ATF6B;BCL6;CIC;CREB3;CTNNB1;CXXC1;DRAP1;E2F4;ELF3;ENO1;EWSR1;GTF2F1;HDAC1;HDAC3;HIF1A;HMGA1;HMGB2;HNF1B;HOXA5;HOXB2;HOXB7;HOXB8;HOXD10;HOXD9;HSF1;ID4;KDM2A;KLF6;LDB1;LRRFIP1;MBD2;MECOM;MXD4;MYRF;NCOR2;NFATC4;NFKB1;NFKB2;NFYC;NONO;NPAS2;NR2F1;NR2F2;PML;PPARD;RELA;RFX5;RFXANK;SF1;SFPQ;SKI;SMAD7;SMARCA1;SND1;SREBF2;SRF;SSRP1;STAT1;STAT3;TCF7L1;TEAD2;TFDP1;TFE3;THAP11;THRA;TRIM28;UBP1;UBTF;USF2;ZBTB4;ZBTB7B;ZNF362,76,exp03-coregnet,0.51991,0.51585,0.52222,10.24388,10.39819,9.07512,0.50607,1.60605,0.43402,0.06579,0.12821,0.04545
15,76499879c299,HBA2,ATF3;EGR1;FOS;NR4A1;NR4A2,5,exp03-coregnet,0.53333,1.0,0.53333,18.64709,114.81454,11.04973,0.62571,2.3518,0.51178,0.0,0.0,0.0
