,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,739f40a4c4cd,ACTA2,NR1H2;KLF15;ETS1;STAT5B;FOSL2,5,0.2232,exp03_kidney_cortex-coregtor-r1,0.55,0.6,0.5,6.4586,23.48616,4.66084,0.6265,2.00781,0.5504,0.0,0.0,0.0
1,9b2b6645d348,ACTB,NFE2L1;VEZF1,2,0.1741,exp03_kidney_cortex-coregtor-r1,0.5,0.33333,0.5,1.62897,0.0,1.58468,0.52988,1.66535,0.48329,0.0,0.0,0.0
2,7379c69d2321,APOE,POU3F3;JUND,2,0.2752,exp03_kidney_cortex-coregtor-r1,0.33333,0.5,0.33333,0.0,3.82417,0.0,0.5186,1.62635,0.47568,0.0,0.0,0.0
3,fb36913aaaec,APP,CIC;NFIC;SSRP1;VEZF1;SMARCA1;KDM2A;ATF6B;LRRFIP1;ARNT;SKI;NCOR2;PBX2;STAT6;E4F1;SFPQ;NR2F2;UBP1;TRIM28;CTNNB1;SIRT6;NFKB1;ZBTB4;HDAC3;NR1H2;HOXA5;HDAC1,26,0.1887,exp03_kidney_cortex-coregtor-r1,0.57128,0.54718,0.58462,19.07231,17.01799,16.94559,0.49321,1.61106,0.42211,0.07692,0.04082,0.0274
4,bf9d72ff1bca,BCL2L1,RELB;LMO2,2,0.3857,exp03_kidney_cortex-coregtor-r1,0.5,0.5,0.5,2.12631,8.05019,2.40679,0.4681,1.36996,0.40103,0.5,0.01493,0.01471
5,bf58fe6cb5bf,CD14,ABL1;PPARD,2,0.4298,exp03_kidney_cortex-coregtor-r1,0.5,0.5,0.5,5.77017,27.48483,5.15265,0.44853,1.99864,0.26604,0.0,0.0,0.0
6,cb8af0c972d6,CDK4,HMGB1;THAP11;RFXANK;GTF2F1;USF2;NFYC;CTNNB1;UBP1;DRAP1;HDAC3;APEX1;GTF3A;ZSCAN18;E4F1;RFX5;NONO;EWSR1;SMARCC1;THRA;NR1H2;CREB3;SMARCA1;ZNF76;SF1;SND1;CXXC1;ZNF384;ZNF362,28,0.2947,exp03_kidney_cortex-coregtor-r1,0.5269,0.5022,0.53571,10.46832,6.90716,9.85599,0.47721,1.40032,0.42289,0.03571,0.02778,0.01587
7,68a3b8545aab,CDKN1A,NFIL3;RELA;RELB;DDIT3;ARID5A;SMAD3;MAFF;ATF4;MBD2;HES4;JUND;HMGA1;MAFK;NR1D1;HMGB2;XBP1;RARA;ETS2;BHLHE40;STAT3;BCL3;ETS1;FOSL2,23,0.4365,exp03_kidney_cortex-coregtor-r1,0.53491,0.58762,0.53228,10.19953,26.03809,7.0037,0.55709,1.9805,0.44931,0.6087,0.05512,0.05323
8,84148402c413,CDKN1C,NFE2L1;KLF2,2,0.712,exp03_kidney_cortex-coregtor-r1,0.5,0.5,0.5,5.33179,5.765,5.47264,0.53767,2.01462,0.44654,0.0,0.0,0.0
9,2ee7fdbcef1e,CLU,ABL1;KLF10,2,0.2574,exp03_kidney_cortex-coregtor-r1,0.5,0.5,0.5,0.22719,3.59358,1.0212,0.3231,1.17556,0.24364,0.0,0.0,0.0
