,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,2f457f516b3d,ACTA2,ARID5A;ATF3;ELF3;FOSB;KDM5D;KLF15;NKX2-1,7,exp03-coregnet,0.47619,0.53175,0.45238,4.16286,8.31309,2.89438,0.61208,1.86322,0.53826,0.0,0.0,0.0
1,8befa04972c8,APOE,ATF3;FOSB;KDM5D;SOX7,4,exp03-coregnet,0.44444,0.58333,0.44444,3.26956,20.61045,3.79109,0.55666,1.48773,0.54164,0.0,0.0,0.0
2,99c101d685f2,CD14,EGR1;FOS;FOSB;HIF3A;KDM5D;KLF15;ZBTB16,7,exp03-coregnet,0.48413,0.61111,0.46032,4.12437,30.87042,4.23741,0.54397,1.86084,0.46579,0.28571,0.1,0.08
3,d05266a9ebb4,CDKN1A,ARID5A;ARID5B;ATF3;BCL3;ETS2;FOSL2;HES1;IRF1;JUNB;KDM5D;KLF15;MAFF;MXD1;NFIL3;NFKB2;NR1D1;NR4A1;RELB;SMAD6;SOX7,20,exp03-coregnet,0.49298,0.57281,0.48596,6.67556,16.06086,3.48129,0.58959,1.81349,0.51978,0.5,0.03937,0.03788
4,00a174858af5,CLU,ARID5A;ATF3;FOSB;KDM5D;MXD1;NKX2-1;NR4A2;OSR1;SOX7,9,exp03-coregnet,0.43519,0.49537,0.42361,2.56166,8.12719,1.9185,0.54259,1.69625,0.48026,0.0,0.0,0.0
5,dde149e92437,CRYAB,ARID5A;ATF3;ELF3;FOSB;HES1;JUN;KDM5D;MAFF;MXD1;NKX2-1;NR1D1;NR4A1;SMAD6;SOX7;ZBTB16,15,exp03-coregnet,0.49524,0.54127,0.48254,5.89723,12.36737,3.77995,0.5659,1.82721,0.4895,0.0,0.0,0.0
6,259c10bb75e7,CXCR4,ATF3;ELF3;FOS;FOSB;HES1;KDM5D;MXD1;SOX7;ZBTB16,9,exp03-coregnet,0.5,0.56481,0.49537,5.74444,17.91808,5.2453,0.54955,1.7063,0.4936,0.22222,0.03846,0.0339
7,2b0360eda1f9,DUSP1,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;HES1;JUN;JUNB;KDM5D;KLF2;KLF4;MAFF;MXD1;NR4A1;NR4A2;SNAI1;SOX7;ZBTB16,19,exp03-coregnet,0.52729,0.67251,0.52047,10.56704,37.8603,6.69203,0.57082,1.93057,0.48479,0.15789,0.10345,0.06667
8,4cd8825fabbf,FASN,ARID5A;ATF3;BCL3;ELF3;FOSB;HES1;ID1;IRF1;KDM5D;KLF15;MXD1;NKX2-1;SMAD6;SOX7,14,exp03-coregnet,0.46703,0.5293,0.45971,3.24419,8.51845,2.77614,0.53933,1.70792,0.46232,0.07143,0.02857,0.02083
9,320eda5555cd,FN1,ARID5A;ARID5B;ATF3;BCL3;BHLHE40;FOS;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;NFIL3;NKX2-1;NR4A1;NR4A2;RELB;SMAD6;SOX7,19,exp03-coregnet,0.49318,0.5809,0.48343,6.72957,17.71196,4.29471,0.56248,1.83694,0.47709,0.10526,0.03077,0.02439
10,ab12b376c394,GADD45B,ARID5A;ATF3;BCL3;BHLHE40;IRF1;JUNB;KDM5D;KLF15;MAFF;MXD1;NFIL3;NFKB2;NKX2-1;NR4A1;RELB;SOX7,16,exp03-coregnet,0.50556,0.57778,0.50417,8.89044,19.47728,4.34782,0.61394,1.86181,0.54515,0.125,0.08696,0.05405
11,5d7e5553be8c,HBA2,ARID5A;ATF3;BCL3;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;NKX2-1;SMAD6;SOX7,12,exp03-coregnet,0.46212,0.5202,0.45707,3.5684,8.81137,3.06581,0.53341,1.72448,0.45346,0.0,0.0,0.0
12,d3ee9f32375d,HBB,ARID5A;ATF3;BCL3;FOS;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;NKX2-1;SMAD6;SOX7,13,exp03-coregnet,0.49145,0.55556,0.47863,5.43964,15.73484,4.62116,0.53149,1.76558,0.44688,0.0,0.0,0.0
13,011cf8260b45,HLA-DRB1,ARID5A;ELF3;FOSB;HIF3A;IRF1;KDM5D;KLF15;SMAD6;ZBTB16,9,exp03-coregnet,0.42593,0.48148,0.41667,1.75079,4.31074,1.59704,0.55602,1.76417,0.48208,0.0,0.0,0.0
14,1c00e9fb0790,HLA-E,ARID5A;ATF3;BCL3;BCL6B;EPAS1;ETS1;ETS2;FOSB;FOXF1;HES1;IRF1;JUN;JUNB;KDM5D;KLF15;LMO2;MAFF;MXD1;MYRF;NFKB2;NKX2-1;NR1D1;RELB;SMAD6;SOX7;ZNF331,26,exp03-coregnet,0.48231,0.54051,0.47923,5.31405,15.56002,3.88725,0.56457,1.77253,0.49164,0.07692,0.03846,0.02632
15,2fac5b220048,HMOX1,ATF3;FOSB;KDM5D;NR4A1,4,exp03-coregnet,0.44444,0.75,0.44444,8.03248,48.8052,4.31791,0.55131,1.63483,0.50622,0.0,0.0,0.0
16,d2aeafa34d9d,HSP90AA1,ARID5A;ATF3;FOSB;HES1;JUN;KDM5D;KLF15;MXD1;NKX2-1;NR4A2;SOX7,11,exp03-coregnet,0.49091,0.54242,0.48182,6.49905,14.60275,4.5236,0.57869,1.84365,0.50268,0.09091,0.05,0.03333
17,017ec40eaff3,HSPA1A,ARID5A;ATF3;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;SOX7,9,exp03-coregnet,0.46296,0.51389,0.4537,3.39713,8.6051,3.41311,0.56517,1.74126,0.49937,0.0,0.0,0.0
18,43df939aace0,ID3,ATF3;EGR1;ELF3;FOS;FOSB;ID1;KDM5D;NR4A1;SMAD6;SMAD7;SNAI1;SOX18;ZBTB16,13,exp03-coregnet,0.48718,0.65598,0.49145,6.45139,36.43822,5.55535,0.50827,1.77459,0.42278,0.15385,0.09524,0.0625
19,1463d99aea71,LDLR,BCL3;EGR1;ELF3;FOSB;HIF3A;ID1;KDM5D;MYC;SNAI1;ZBTB16,10,exp03-coregnet,0.48148,0.62222,0.5,7.35944,30.45125,7.59733,0.5079,1.6608,0.42172,0.1,0.03226,0.025
20,2dc7210e991e,MT1A,ARID5A;BCL3;FOSB;IRF1;KDM5D;KLF15;MXD1;RELB;SMAD6,9,exp03-coregnet,0.4537,0.52778,0.45833,2.83777,13.97046,2.22622,0.51716,1.64676,0.43935,0.0,0.0,0.0
21,a619f0c073fd,NFKBIA,ARID5A;ATF3;BCL3;ELF3;ETS2;FOSB;HIF1A;IRF1;JUNB;KDM5D;KLF2;KLF4;KLF9;MAFF;MYC;NFKB2;NR4A1;RELB;SMAD6;SNAI1,20,exp03-coregnet,0.51053,0.64561,0.5114,11.10243,36.46678,7.82028,0.57817,1.92306,0.48734,0.15,0.08824,0.05882
22,7e0689dd8f62,PDK4,ARID5A;BCL3;EGR1;FOS;FOSB;HIF3A;IRF1;KDM5D;KLF15;RELB;SMAD6;ZBTB16,12,exp03-coregnet,0.4697,0.58081,0.46465,3.90816,26.71557,3.46797,0.53704,1.87183,0.43463,0.08333,0.04348,0.02941
23,f91ebdbd1df0,PDLIM7,ARID5A;BCL3;EGR1;ELF3;FOS;FOSB;HES4;IRF1;KDM5D;KLF15;MXD1;NKX2-1;OSR1;RELB;SOX7,15,exp03-coregnet,0.46667,0.52381,0.45556,4.31596,16.11707,3.68361,0.55198,1.78323,0.47181,0.13333,0.05263,0.03922
