cluster_uid,target,sources,n_sources,n_percent,method
b87c1bf08196,ACTA2,ARID5A;ATF3;ELF3;FOSB;KDM5D;KLF15;NKX2-1,7,100.0,exp03-coregnet
8277e97482bf,APOE,ATF3;FOSB;KDM5D;SOX7,4,100.0,exp03-coregnet
66297a424af8,CD14,EGR1;FOS;FOSB;HIF3A;KDM5D;KLF15;ZBTB16,7,100.0,exp03-coregnet
3ce7c78cf8e1,CDKN1A,ARID5A;ARID5B;ATF3;BCL3;ETS2;FOSL2;HES1;IRF1;JUNB;KDM5D;KLF15;MAFF;MXD1;NFIL3;NFKB2;NR1D1;NR4A1;RELB;SMAD6;SOX7,20,100.0,exp03-coregnet
cfdcb8f3b7ba,CLU,ARID5A;ATF3;FOSB;KDM5D;MXD1;NKX2-1;NR4A2;OSR1;SOX7,9,100.0,exp03-coregnet
ba729d9799d9,CRYAB,ARID5A;ATF3;ELF3;FOSB;HES1;JUN;KDM5D;MAFF;MXD1;NKX2-1;NR1D1;NR4A1;SMAD6;SOX7;ZBTB16,15,100.0,exp03-coregnet
83a63fb08af2,CXCR4,ATF3;ELF3;FOS;FOSB;HES1;KDM5D;MXD1;SOX7;ZBTB16,9,100.0,exp03-coregnet
37f0167fb1d0,DUSP1,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;HES1;JUN;JUNB;KDM5D;KLF2;KLF4;MAFF;MXD1;NR4A1;NR4A2;SNAI1;SOX7;ZBTB16,19,100.0,exp03-coregnet
fb8b3b7a6a95,FASN,ARID5A;ATF3;BCL3;ELF3;FOSB;HES1;ID1;IRF1;KDM5D;KLF15;MXD1;NKX2-1;SMAD6;SOX7,14,100.0,exp03-coregnet
0e89e4b9055b,FN1,ARID5A;ARID5B;ATF3;BCL3;BHLHE40;FOS;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;NFIL3;NKX2-1;NR4A1;NR4A2;RELB;SMAD6;SOX7,19,100.0,exp03-coregnet
11dcd1c89282,GADD45B,ARID5A;ATF3;BCL3;BHLHE40;IRF1;JUNB;KDM5D;KLF15;MAFF;MXD1;NFIL3;NFKB2;NKX2-1;NR4A1;RELB;SOX7,16,100.0,exp03-coregnet
656976056fe7,HBA2,ARID5A;ATF3;BCL3;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;NKX2-1;SMAD6;SOX7,12,100.0,exp03-coregnet
762a51806d81,HBB,ARID5A;ATF3;BCL3;FOS;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;NKX2-1;SMAD6;SOX7,13,100.0,exp03-coregnet
e61a2ffa8df1,HLA-DRB1,ARID5A;ELF3;FOSB;HIF3A;IRF1;KDM5D;KLF15;SMAD6;ZBTB16,9,100.0,exp03-coregnet
13ef062e6d25,HLA-E,ARID5A;ATF3;BCL3;BCL6B;EPAS1;ETS1;ETS2;FOSB;FOXF1;HES1;IRF1;JUN;JUNB;KDM5D;KLF15;LMO2;MAFF;MXD1;MYRF;NFKB2;NKX2-1;NR1D1;RELB;SMAD6;SOX7;ZNF331,26,100.0,exp03-coregnet
a5e99fa05784,HMOX1,ATF3;FOSB;KDM5D;NR4A1,4,100.0,exp03-coregnet
6b8cd34fc9ae,HSP90AA1,ARID5A;ATF3;FOSB;HES1;JUN;KDM5D;KLF15;MXD1;NKX2-1;NR4A2;SOX7,11,100.0,exp03-coregnet
68ffb63091d2,HSPA1A,ARID5A;ATF3;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;SOX7,9,100.0,exp03-coregnet
86e8e795a4da,ID3,ATF3;EGR1;ELF3;FOS;FOSB;ID1;KDM5D;NR4A1;SMAD6;SMAD7;SNAI1;SOX18;ZBTB16,13,100.0,exp03-coregnet
95729ded2a32,LDLR,BCL3;EGR1;ELF3;FOSB;HIF3A;ID1;KDM5D;MYC;SNAI1;ZBTB16,10,100.0,exp03-coregnet
1b3566ae9de3,MT1A,ARID5A;BCL3;FOSB;IRF1;KDM5D;KLF15;MXD1;RELB;SMAD6,9,100.0,exp03-coregnet
d6f2a63c857b,NFKBIA,ARID5A;ATF3;BCL3;ELF3;ETS2;FOSB;HIF1A;IRF1;JUNB;KDM5D;KLF2;KLF4;KLF9;MAFF;MYC;NFKB2;NR4A1;RELB;SMAD6;SNAI1,20,100.0,exp03-coregnet
a8e9cd8f59b5,PDK4,ARID5A;BCL3;EGR1;FOS;FOSB;HIF3A;IRF1;KDM5D;KLF15;RELB;SMAD6;ZBTB16,12,100.0,exp03-coregnet
4b297b8501bc,PDLIM7,ARID5A;BCL3;EGR1;ELF3;FOS;FOSB;HES4;IRF1;KDM5D;KLF15;MXD1;NKX2-1;OSR1;RELB;SOX7,15,100.0,exp03-coregnet
10e2d331c9ca,PER1,ARID5A;EGR1;ELF3;FOSB;HIF3A;KDM5D;KLF15;KLF2;KLF4;KLF9;NR1D1;NR4A1;ZBTB16,13,100.0,exp03-coregnet
0978cb0010d6,SOCS3,ARID5A;ATF3;BCL3;BHLHE40;EGR1;ELF3;FOSB;HIF3A;IRF1;JUNB;KDM5D;KLF15;MYC;NFKB2;NR4A2;RELB;SMAD6;SNAI1;SOX7;ZBTB16,20,100.0,exp03-coregnet
b7356a362835,SOD2,ARID5A;ATF3;BCL3;FOSB;HIF1A;HIF3A;IRF1;JUNB;KDM5D;KLF15;MXD1;NFKB2;NKX2-1;RELB;SMAD6,15,100.0,exp03-coregnet
44019eb46eec,SPARC,ARID5A;ATF3;ELF3;FOS;FOSB;HES1;KDM5D;KLF15;NKX2-1;OSR1;SOX7,11,100.0,exp03-coregnet
