,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,d94a219e3fb6,ACTA2,OSR1;NKX2-1;CREB3L2;SMARCA1;HEYL;SRF;DRAP1;MAFK;MEF2A;ZGPAT;HES4;NR2F1;HSF1;ZBTB17,14,0.4615,exp03_lung-coregtor-r1,0.45055,0.46886,0.44963,4.65192,3.66418,2.75461,0.54882,1.78154,0.47461,0.14286,0.05405,0.04082
1,259e70466322,ACTB,SRF;CREB3;DRAP1;ENO1;YBX1;HIF1A,6,0.0,exp03_lung-coregtor-r1,0.52222,0.6,0.52222,12.06915,14.50831,11.45088,0.47381,1.70686,0.3653,0.33333,0.09524,0.08
2,cfb888fac916,APOE,SMARCA5;NKX2-1,2,0.3693,exp03_lung-coregtor-r1,1.0,0.5,1.0,31.36705,1.4393,28.57145,0.41471,1.32404,0.35389,0.0,0.0,0.0
3,fc4ab79b75d5,APP,EPAS1;VEZF1;KLF3;HBP1;ELF1;YY1;NFIC,7,0.0,exp03_lung-coregtor-r1,0.59524,0.48413,0.64286,22.16159,6.1892,31.65907,0.69065,1.90145,0.64459,0.0,0.0,0.0
4,ef75054e735c,BCL2L1,MAF;ESRRA;ENO1;ZBTB7B;CEBPG;XBP1;STAT3;IRF3;NCOR2;ID1;MLX;SREBF2;SSRP1;FOSL2;KLF13;HLX;MEIS1,17,0.0,exp03_lung-coregtor-r1,0.48897,0.51471,0.48652,7.93759,11.18969,4.60551,0.53551,1.73137,0.45898,0.17647,0.04478,0.03704
5,533648e7ab77,CD14,TFE3;TEAD4;SPI1;NFKB1;FOXO3;ZNF384;IRF1;EWSR1;SP100;TEAD2;E2F4;HIF3A;THRA,13,0.2398,exp03_lung-coregtor-r1,0.52137,0.57479,0.50641,5.01577,20.0439,4.7588,0.5673,1.75625,0.49828,0.07692,0.05,0.03125
6,ac871ec373fa,CD44,NFKB2;ZBTB4;USF2;HMGB1;ELF1;CTBP1;CREBZF;NFIX;NKX2-1;NFIC;IRF9;ATF6B;KLF3;RXRB;LDB1;AHR;ZBTB17;SP1;MXD4;EP300;RELB;FOXO1;STAT2;NR2F2;STAT5A;HIF1A;KLF13;ING4;TBX5;NFKB1;NFYB;HIF3A;CREBL2;THRA;ZNF32;GATA2;TBX2;OSR1;FOXF2;HMGA1;HEYL;HSF4;STAT3;MAFB,44,0.4453,exp03_lung-coregtor-r1,0.49771,0.51912,0.50581,7.78376,13.87232,6.53662,0.56629,1.8241,0.48835,0.20455,0.11538,0.07965
7,9d51340f38c0,CDKN1A,NFKB2;BCL3;FOSL2;ARID5A;THAP11;MAFF;ETS2,7,0.4709,exp03_lung-coregtor-r1,0.52381,0.61111,0.5,5.36627,12.52951,3.19805,0.63785,1.86836,0.57905,0.42857,0.01181,0.01163
8,e2dc0616e58a,CLU,ARNT;NR2F2;SMARCA1;MAF;SMAD3;ZNF32;ELF3;NKX2-1;SPI1;STAT6;HTATIP2;RXRA;EPAS1;ABL1;HLX;CREB3L2;RBPJ;SKI;OSR1;HBP1;NR2F1;NFIL3;KLF6,23,0.3089,exp03_lung-coregtor-r1,0.48748,0.50823,0.47069,5.45154,11.92989,4.19152,0.53938,1.75297,0.46089,0.0,0.0,0.0
9,e505a6dd8e8a,CRYAB,SREBF1;HDAC3;SKI,3,0.3577,exp03_lung-coregtor-r1,0.66667,0.66667,0.66667,27.0747,18.53595,9.99401,0.44086,1.8112,0.31293,0.0,0.0,0.0
10,2ec111b39e1a,CXCR4,MXD1;MAX;CREBZF;CEBPD;ZNF266;HMGB2;DDIT3;SF1;CEBPB;RBPJ;HES1;MBD1;ID2;ENO1;MAF;ELF1;KDM5D;JUN;STAT1;STAT5B;IRF9;STAT2;IRF3;KLF6;SREBF1,25,0.2577,exp03_lung-coregtor-r1,0.51056,0.55278,0.51194,8.03729,20.07314,6.26805,0.54318,1.71564,0.46746,0.16,0.07692,0.05479
11,d1cdb8f720a8,DUSP1,JUN;NR4A1;EGR1,3,0.0,exp03_lung-coregtor-r1,0.66667,1.0,0.5,29.37416,165.43855,14.145,0.59139,2.16663,0.47297,0.33333,0.03448,0.03226
12,7731ed354732,FASN,MAX;KLF13;PML;SREBF2,4,0.4702,exp03_lung-coregtor-r1,0.58333,0.5,0.58333,16.0979,3.95619,7.39301,0.4835,1.57612,0.42369,0.25,0.02857,0.02632
13,9232a3d2d027,FN1,MAFK;CREB3L2;ERF;ARID5B;NKX2-1;NONO;ARID5A;NR2F1;SMARCA1,9,0.2466,exp03_lung-coregtor-r1,0.50463,0.47222,0.50463,15.00336,3.33618,5.69557,0.59199,1.70759,0.52569,0.0,0.0,0.0
