"Regulator","Target"
"KLF2","HLA-DRB1"
"KLF2","DUSP1"
"KLF2","TIMP3"
"KLF2","APP"
"KLF2","CLU"
"KLF2","ID3"
"KLF2","TAGLN"
"KLF2","VIM"
"KLF2","SPARC"
"BHLHE40","HLA-DRB1"
"BHLHE40","GADD45B"
"BHLHE40","VEGFA"
"BHLHE40","MAT2A"
"HMGB2","HLA-DRB1"
"HMGB2","OGA"
"HMGB2","TIMP3"
"HMGB2","TIMP1"
"HMGB2","CRYAB"
"HMGB2","APP"
"HMGB2","SQSTM1"
"HMGB2","TAGLN"
"HMGB2","VIM"
"HMGB2","SPARC"
"NR4A1","HLA-DRB1"
"NR4A1","DUSP1"
"NR4A1","APP"
"NR4A1","GADD45B"
"NR4A1","HSPA1A"
"NR4A1","CLU"
"NR4A1","TAGLN"
"NR4A1","VIM"
"NR4A1","SPARC"
"NR4A1","FN1"
"NR4A1","ACTA2"
"NR4A1","VEGFA"
"NR4A1","MAT2A"
"NR4A1","SOD2"
"BCL3","HLA-DRB1"
"BCL3","TIMP1"
"BCL3","APP"
"BCL3","HSP90AA1"
"BCL3","GADD45B"
"BCL3","ID3"
"BCL3","VIM"
"BCL3","SPARC"
"BCL3","MAT2A"
"ATF3","HLA-DRB1"
"ATF3","DUSP1"
"ATF3","TIMP3"
"ATF3","TIMP1"
"ATF3","APP"
"ATF3","HSP90AA1"
"ATF3","GADD45B"
"ATF3","HSPA1A"
"ATF3","CLU"
"ATF3","ID3"
"ATF3","TAGLN"
"ATF3","VIM"
"ATF3","SPARC"
"ATF3","FN1"
"ATF3","ACTA2"
"ATF3","MAT2A"
"MYF6","HLA-DRB1"
"MYF6","APP"
"MYF6","HSP90AA1"
"MYF6","HMOX1"
"MYF6","SQSTM1"
"MYF6","VIM"
"MYF6","VEGFA"
"ARID5A","HLA-DRB1"
"ARID5A","DUSP1"
"ARID5A","TIMP1"
"ARID5A","APP"
"ARID5A","HSP90AA1"
"ARID5A","GADD45B"
"ARID5A","HSPA1A"
"ARID5A","CLU"
"ARID5A","TAGLN"
"ARID5A","VIM"
"ARID5A","SPARC"
"ARID5A","FN1"
"ARID5A","MAT2A"
"ARID5A","CDKN1C"
"JUNB","HLA-DRB1"
"JUNB","DUSP1"
"JUNB","TIMP3"
"JUNB","TIMP1"
"JUNB","APP"
"JUNB","HSP90AA1"
"JUNB","GADD45B"
"JUNB","CLU"
"JUNB","ID3"
"JUNB","TAGLN"
"JUNB","VIM"
"JUNB","SPARC"
"JUNB","FN1"
"JUNB","ACTA2"
"JUNB","MAT2A"
"KLF6","HLA-DRB1"
"KLF6","OGA"
"KLF6","DUSP1"
"KLF6","TIMP3"
"KLF6","TIMP1"
"KLF6","BCL2L1"
"KLF6","APP"
"KLF6","HSP90AA1"
"KLF6","GADD45B"
"KLF6","PER1"
"KLF6","SQSTM1"
"KLF6","VIM"
"KLF6","MCL1"
"KLF6","FASN"
"KLF6","CDKN1A"
"KLF6","MAT2A"
"EGR1","HLA-DRB1"
"EGR1","DUSP1"
"EGR1","TIMP3"
"EGR1","TIMP1"
"EGR1","HBB"
"EGR1","CRYAB"
"EGR1","APP"
"EGR1","HSP90AA1"
"EGR1","GADD45B"
"EGR1","HSPA1A"
"EGR1","CLU"
"EGR1","ID3"
"EGR1","TAGLN"
"EGR1","VIM"
"EGR1","SPARC"
"EGR1","FN1"
"EGR1","ACTA2"
"EGR1","VEGFA"
"EGR1","MAT2A"
"EGR1","CDKN1C"
"EGR1","PDK4"
"EGR1","PIK3R1"
"ETS2","HLA-DRB1"
"ETS2","OGA"
"ETS2","DUSP1"
"ETS2","TIMP3"
"ETS2","TIMP1"
"ETS2","BCL2L1"
"ETS2","MT1A"
"ETS2","APP"
"ETS2","HSP90AA1"
"ETS2","GADD45B"
"ETS2","PER1"
"ETS2","CLU"
"ETS2","ID3"
"ETS2","TAGLN"
"ETS2","VIM"
"ETS2","SPARC"
"ETS2","VEGFA"
"ETS2","MAT2A"
"FOS","HLA-DRB1"
"FOS","OGA"
"FOS","DUSP1"
"FOS","TIMP3"
"FOS","TIMP1"
"FOS","MT1A"
"FOS","HBB"
"FOS","CRYAB"
"FOS","APP"
"FOS","HSP90AA1"
"FOS","GADD45B"
"FOS","HSPA1A"
"FOS","PER1"
"FOS","CLU"
"FOS","ID3"
"FOS","TAGLN"
"FOS","VIM"
"FOS","SPARC"
"FOS","FN1"
"FOS","ACTA2"
"FOS","VEGFA"
"FOS","MAT2A"
"FOS","CDKN1C"
"FOS","PIK3R1"
"MYC","HLA-DRB1"
"MYC","OGA"
"MYC","DUSP1"
"MYC","TIMP3"
"MYC","TIMP1"
"MYC","BCL2L1"
"MYC","MT1A"
"MYC","APP"
"MYC","HSP90AA1"
"MYC","GADD45B"
"MYC","PER1"
"MYC","CLU"
"MYC","HMOX1"
"MYC","SQSTM1"
"MYC","ID3"
"MYC","VIM"
"MYC","SOD2"
"MYC","PDK4"
"MYC","MCL1"
"MYC","FASN"
"MYC","CDKN1A"
"MYC","NFKBIA"
"MYC","MAT2A"
"CEBPD","HLA-DRB1"
"CEBPD","OGA"
"CEBPD","DUSP1"
"CEBPD","TIMP3"
"CEBPD","TIMP1"
"CEBPD","BCL2L1"
"CEBPD","MT1A"
"CEBPD","APP"
"CEBPD","HSP90AA1"
"CEBPD","GADD45B"
"CEBPD","PER1"
"CEBPD","HMOX1"
"CEBPD","SQSTM1"
"CEBPD","ID3"
"CEBPD","TAGLN"
"CEBPD","VIM"
"CEBPD","PDK4"
"CEBPD","MCL1"
"CEBPD","SPARC"
"CEBPD","FASN"
"CEBPD","CDKN1A"
"CEBPD","NFKBIA"
"CEBPD","MAT2A"
"MAFF","HLA-DRB1"
"MAFF","OGA"
"MAFF","DUSP1"
"MAFF","TIMP3"
"MAFF","TIMP1"
"MAFF","BCL2L1"
"MAFF","MT1A"
"MAFF","HBB"
"MAFF","APP"
"MAFF","HSP90AA1"
"MAFF","GADD45B"
"MAFF","PER1"
"MAFF","HMOX1"
"MAFF","SQSTM1"
"MAFF","ID3"
"MAFF","TAGLN"
"MAFF","VIM"
"MAFF","PDK4"
"MAFF","MCL1"
"MAFF","VEGFA"
"MAFF","CDKN1A"
"MAFF","NFKBIA"
"MAFF","MAT2A"
"JUN","OGA"
"JUN","APP"
"JUN","SPARC"
"TFEB","OGA"
"TFEB","PER1"
"MZF1","OGA"
"MZF1","BCL2L1"
"MZF1","MCL1"
"MXI1","OGA"
"MXI1","SQSTM1"
"MXI1","MCL1"
"MAFG","OGA"
"MAFG","HSP90AA1"
"MAFG","SQSTM1"
"MAFG","MCL1"
"ENO1","OGA"
"ENO1","TIMP1"
"ENO1","BCL2L1"
"ENO1","MCL1"
"MAFK","OGA"
"MAFK","APP"
"MAFK","HSP90AA1"
"MAFK","PER1"
"MAFK","MCL1"
"STAT5A","OGA"
"STAT5A","BCL2L1"
"STAT5A","PER1"
"STAT5A","SQSTM1"
"STAT5A","MCL1"
"ZBTB16","OGA"
"ZBTB16","TIMP3"
"ZBTB16","BCL2L1"
"ZBTB16","PER1"
"ZBTB16","SQSTM1"
"ZBTB16","MCL1"
"ZBTB16","PIK3R1"
"ZBTB16","NFKBIA"
"GTF2IRD1","OGA"
"GTF2IRD1","BCL2L1"
"GTF2IRD1","PER1"
"GTF2IRD1","SQSTM1"
"GTF2IRD1","MCL1"
"GTF2IRD1","FASN"
"GTF2IRD1","PIK3R1"
"GTF2IRD1","CDKN1A"
"GTF2IRD1","NFKBIA"
"SSRP1","OGA"
"SSRP1","BCL2L1"
"SSRP1","PER1"
"SSRP1","SQSTM1"
"SSRP1","ID3"
"SSRP1","SOD2"
"SSRP1","MCL1"
"SSRP1","FASN"
"SSRP1","PIK3R1"
"SSRP1","CDKN1A"
"SSRP1","NFKBIA"
"ARID5B","OGA"
"ARID5B","DUSP1"
"ARID5B","TIMP3"
"ARID5B","BCL2L1"
"ARID5B","MT1A"
"ARID5B","GADD45B"
"ARID5B","PER1"
"ARID5B","HMOX1"
"ARID5B","CDKN1C"
"ARID5B","SQSTM1"
"ARID5B","ID3"
"ARID5B","SOD2"
"ARID5B","PDK4"
"ARID5B","MCL1"
"ARID5B","FASN"
"ARID5B","PIK3R1"
"ARID5B","VEGFA"
"ARID5B","CDKN1A"
"ARID5B","NFKBIA"
"FOXO1","OGA"
"FOXO1","DUSP1"
"FOXO1","TIMP3"
"FOXO1","BCL2L1"
"FOXO1","MT1A"
"FOXO1","HSP90AA1"
"FOXO1","GADD45B"
"FOXO1","PER1"
"FOXO1","HMOX1"
"FOXO1","CDKN1C"
"FOXO1","SQSTM1"
"FOXO1","ID3"
"FOXO1","VIM"
"FOXO1","SOD2"
"FOXO1","PDK4"
"FOXO1","MCL1"
"FOXO1","FASN"
"FOXO1","PIK3R1"
"FOXO1","VEGFA"
"FOXO1","CDKN1A"
"FOXO1","NFKBIA"
"FOXO1","MAT2A"
"FOXO1","HSPA1A"
"ZBTB38","OGA"
"ZBTB38","PER1"
"ZBTB38","SQSTM1"
"ZBTB38","MCL1"
"ZBTB38","MAT2A"
"CEBPB","OGA"
"CEBPB","DUSP1"
"CEBPB","BCL2L1"
"CEBPB","PER1"
"CEBPB","MCL1"
"CEBPB","FASN"
"CEBPB","CDKN1A"
"CEBPB","NFKBIA"
"CEBPB","MAT2A"
"HTATIP2","OGA"
"HTATIP2","DUSP1"
"HTATIP2","BCL2L1"
"HTATIP2","MT1A"
"HTATIP2","HSP90AA1"
"HTATIP2","PER1"
"HTATIP2","HMOX1"
"HTATIP2","SQSTM1"
"HTATIP2","ID3"
"HTATIP2","SOD2"
"HTATIP2","PDK4"
"HTATIP2","MCL1"
"HTATIP2","FASN"
"HTATIP2","CDKN1A"
