,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,526fcb4e344b,ACTA2,ATF3;EGR1;FOS;HES6;JUNB;NR4A1;NR4A3,7,exp03-coregnet,0.57143,0.85714,0.57143,15.09915,71.32396,9.35112,0.6277,2.26388,0.52003,0.14286,0.02703,0.02326
1,7591f4c8ea38,APP,ARID5A;ATF3;BCL3;BHLHE41;CEBPD;EGR1;ETS2;FOS;HMGB2;JUN;JUNB;JUND;KLF2;KLF4;KLF6;MAFF;MAFK;MEF2C;MLXIPL;MYC;MYF6;MYOG;NFIL3;NR4A1;NR4A3,25,exp03-coregnet,0.52722,0.67944,0.52167,12.20218,33.96942,6.87793,0.59005,2.04786,0.49208,0.24,0.12245,0.08824
2,fe3905910def,BCL2L1,ARID5B;ATOH8;BCL6;CBFB;CEBPB;CEBPD;ENO1;ETS2;FOSL2;FOXO1;FOXO3;GTF2IRD1;HTATIP2;KLF6;KLF9;MAFF;MEF2C;MYC;MZF1;NFIL3;NR4A3;SSRP1;STAT5A;XBP1;ZBTB16,25,exp03-coregnet,0.49889,0.59333,0.50667,7.1104,22.10154,5.91725,0.54154,1.77721,0.46181,0.4,0.14925,0.12195
3,3e4f008c39fc,CDKN1A,ARID5B;ATOH8;BACH1;BCL6;CBFB;CEBPB;CEBPD;FOSL2;FOXO1;FOXO3;GTF2IRD1;HES6;HTATIP2;KLF6;MAFF;MEF2C;MYC;NFIL3;NR4A3;SSRP1;XBP1,21,exp03-coregnet,0.49444,0.58333,0.50714,8.0237,20.9706,5.86993,0.55238,1.80584,0.47092,0.33333,0.02756,0.02612
4,63267deff416,CDKN1C,ARID5A;ARID5B;ATOH8;EGR1;FOS;FOSL2;FOXO1;HES6;KLF5;MLXIPL;NFIL3;NR4A3;SIX2,13,exp03-coregnet,0.46368,0.54701,0.46581,9.49647,17.19496,4.40377,0.59548,2.0289,0.4959,0.15385,0.05128,0.04
5,f76ba10bb922,CLU,ARID5A;ATF3;EGR1;ETS2;FOS;HES6;JUNB;KLF2;MYC;NR4A1;NR4A3,11,exp03-coregnet,0.55152,0.74545,0.55758,10.70876,47.40154,7.9166,0.60852,2.19141,0.49473,0.18182,0.08,0.05882
6,d8792dd1bd87,CRYAB,EGR1;FOS;HES6;HMGB2;MYOG;NR4A3,6,exp03-coregnet,0.46667,0.62222,0.46667,4.07435,28.08592,3.22311,0.55595,2.14274,0.42713,0.0,0.0,0.0
7,c504ae002814,DUSP1,ARID5A;ARID5B;ATF3;ATOH8;CEBPB;CEBPD;EGR1;ETS2;FOS;FOSL2;FOXO1;FOXO3;HTATIP2;JUNB;KLF15;KLF2;KLF4;KLF6;MAFF;MYC;NFIL3;NR4A1;NR4A3;XBP1,24,exp03-coregnet,0.51932,0.69444,0.51872,10.85975,39.23049,6.97542,0.58394,2.0031,0.49064,0.08333,0.06897,0.03922
8,a53b9ae7c798,FASN,ARID5B;ATOH8;BACH1;BCL6;CBFB;CEBPB;CEBPD;FOSL2;FOXO1;FOXO3;GTF2IRD1;HTATIP2;KLF6;MEF2C;MYC;NFIL3;NR4A3;RORA;SSRP1;XBP1,20,exp03-coregnet,0.5,0.60702,0.50789,7.60394,24.29212,6.28052,0.53904,1.8125,0.4495,0.2,0.11429,0.07843
9,91921c58d9ec,FN1,ARID5A;ATF3;EGR1;FOS;HES6;JUNB;MEF2C;MLXIPL;NR4A1;NR4A3;SIX2,11,exp03-coregnet,0.50909,0.63333,0.51212,10.76827,32.85098,5.05568,0.59042,2.21405,0.47119,0.27273,0.04615,0.0411
