,Unnamed: 0.1,Unnamed: 0,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
0,0,0,ea1e3666988d,ACTA2,JUNB;HMGA1;EPAS1;PHF1;NFKB1;NFYB;CTNNB1;KLF2;MAZ;FOXO4;ATF3;SRF;TEAD4;PPARGC1A;JUND;CTCF;FOS;TEAD1;LRRFIP1;THAP11;LDB1;KLF9;CREB3;STAT2;E2F6;TBX15;EP300;BCL3;ZNF32;MAFK,30,0.2674,exp03_muscle_skeletal-coregtor-r1,0.52759,0.59023,0.52644,9.34984,23.31488,7.04893,0.55654,1.75618,0.48566,0.03333,0.02703,,0.01515
1,1,1,e4c9ed25b75d,ACTB,EPAS1;KLF2;JUND;STAT2;CTNNB1;JUN;NONO;ABL1;ATF6B;SFPQ;SKI;ENO1;LDB1;FOXO4;DDIT3;BCL3,16,0.0,exp03_muscle_skeletal-coregtor-r1,0.56944,0.59861,0.55278,17.71396,24.76283,12.18432,0.50164,1.8514,0.39016,0.125,0.09524,,0.05714
2,2,2,6acc4d056200,AKT1,ABL1;NONO;RELA;TFE3;ENO1;KMT2B;SKI,7,0.0,exp03_muscle_skeletal-coregtor-r1,0.52381,0.54762,0.5,19.76707,12.40848,16.97843,0.41996,1.48559,0.32738,0.14286,0.01389,,0.01282
3,3,3,6ba3656c18d5,APP,CTNNB1;STAT2;NONO;EPAS1;KLF2;ABL1;SKI;LDB1;E4F1,9,0.0,exp03_muscle_skeletal-coregtor-r1,0.53704,0.56944,0.52778,10.72672,19.60701,10.62109,0.44554,1.62152,0.35682,0.11111,0.02041,,0.01754
4,4,4,b82de3e136ac,BCL2L1,SFPQ;NONO;ENO1;XBP1,4,0.4681,exp03_muscle_skeletal-coregtor-r1,0.58333,0.58333,0.58333,84.92339,47.632,34.14829,0.53534,2.05911,0.4092,0.25,0.01493,,0.01429
5,5,5,da1fd8f4b413,BMI1,CTCF;SMARCA5;SMAD4;YY1,4,0.0,exp03_muscle_skeletal-coregtor-r1,0.83333,0.91667,0.75,43.02577,98.16943,33.18538,0.54259,2.01893,0.43753,0.0,0.0,,0.0
6,6,6,a980bc01a5aa,CARM1,STAT3;HCFC1;CIC;RELA;RARA;PPARD;CEBPZ;FOXK2;PHF20,9,0.0,exp03_muscle_skeletal-coregtor-r1,0.625,0.61111,0.65278,18.54256,25.64179,16.42823,0.50085,1.69531,0.41282,0.11111,0.04348,,0.03226
7,7,7,270127571f86,CDKN1A,SF1;NONO;XBP1;MYOG;SFPQ;NFYC;JUND;TP63;SRF;CEBPG;FOSL2;APEX1;ENO1;ETS2;ATF6B;BACH1;LMO2;JUN;TRIM28,19,0.5422,exp03_muscle_skeletal-coregtor-r1,0.5614,0.57797,0.54191,17.07798,16.04261,11.48555,0.53803,1.76681,0.4502,0.42105,0.0315,,0.03019
8,8,8,0786e263a542,CDKN1C,THAP12;ATOH8,2,0.2166,exp03_muscle_skeletal-coregtor-r1,0.33333,0.25,0.33333,0.0,0.0,0.0,0.39596,1.03171,0.38645,0.0,0.0,,0.0
9,9,9,6dbdb939a7ed,CLU,PRRX1;CTNNB1;STAT2;RORC;KLF4;EPAS1;KLF2;JUN;MYC;NFKB1;ATF3;SREBF1;JUND;SKI,14,0.3257,exp03_muscle_skeletal-coregtor-r1,0.56777,0.72161,0.57326,23.0304,50.91382,13.70888,0.55443,2.06768,0.44243,0.14286,0.08,,0.05405
