,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,1614e00eb647,ACTA2,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,exp03-coregnet,0.52593,0.81111,0.51111,12.85205,60.55153,8.90001,0.57758,2.04402,0.48618,0.1,0.02703,0.02174
1,b73e05ed6e79,APOE,ATF3;EGR1;FOSB;KDM5D;NR4A1,5,exp03-coregnet,0.45,0.8,0.45,8.99437,65.21539,5.85025,0.55483,1.76815,0.48562,0.0,0.0,0.0
2,4d6f786d676b,CDKN1A,ARID5A;ATF3;BCL3;BHLHE40;CEBPD;EGR1;FOS;FOSB;FOSL2;FOXE1;JUNB;KDM5D;KLF6;MAFF;NFIL3;NR4A1,16,exp03-coregnet,0.52639,0.71111,0.5125,12.50989,35.779,6.01162,0.59242,1.85041,0.52377,0.375,0.02362,0.02273
3,20032b267704,CLU,ATF3;EGR1;FOSB;KDM5D;NR4A1;NR4A2,6,exp03-coregnet,0.43333,0.83333,0.43333,6.62662,60.66339,4.56425,0.57985,1.90357,0.51201,0.0,0.0,0.0
4,b9ee55e9b781,CRYAB,ATF3;BHLHE40;DDIT3;EGR1;FOS;FOSB;JUN;JUNB;KDM5D;KLF6;MAFF;NR4A1;NR4A2,13,exp03-coregnet,0.58974,0.82265,0.57479,15.01411,55.13786,10.29528,0.59321,1.96927,0.52206,0.0,0.0,0.0
5,2e978901229b,DUSP1,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;JUNB;JUND;KDM5D;KLF6;NR4A1;NR4A2,12,exp03-coregnet,0.60606,0.86111,0.58586,17.33984,70.33728,11.52157,0.60413,2.0429,0.52589,0.16667,0.06897,0.05128
6,b44167c36a0a,FN1,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,exp03-coregnet,0.52593,0.81111,0.51111,12.85205,60.55153,8.90001,0.57758,2.04402,0.48618,0.4,0.06154,0.05634
7,8f2d5a878e75,GADD45B,ATF3;BCL6;BHLHE40;CEBPD;EGR1;FOS;FOSB;JUN;JUNB;KDM5D;MAFF;NR1D1;NR4A1,13,exp03-coregnet,0.57479,0.77778,0.55769,15.99714,53.79332,9.58152,0.59596,1.98102,0.51378,0.23077,0.13043,0.09091
8,4248c0e63f56,HBA2,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,exp03-coregnet,0.52593,0.81111,0.51111,12.85205,60.55153,8.90001,0.57758,2.04402,0.48618,0.1,0.04545,0.03226
9,55df00bb1151,HBB,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,exp03-coregnet,0.52593,0.81111,0.51111,12.85205,60.55153,8.90001,0.57758,2.04402,0.48618,0.1,0.01695,0.01471
10,a90420a42a78,HLA-DRB1,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;TFCP2L1,9,exp03-coregnet,0.53241,0.68981,0.50926,11.4042,46.20615,9.63746,0.55206,1.86408,0.47155,0.22222,0.06667,0.05405
11,605992f42f51,HSP90AA1,ATF3;BCL6;BHLHE40;DDIT3;EGR1;FOS;FOSB;HEYL;JUN;KDM5D;MAFF;NFIL3;NR4A1;NR4A2,14,exp03-coregnet,0.56044,0.7619,0.54212,12.40458,44.62271,8.28585,0.57273,1.94705,0.4908,0.07143,0.05,0.0303
12,2365be3b92df,HSPA1A,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR4A1;NR4A2,9,exp03-coregnet,0.5463,0.875,0.53241,15.80408,72.11396,10.88012,0.57738,2.011,0.49083,0.0,0.0,0.0
13,7191ee408e4c,MT1A,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR4A1;NR4A2,9,exp03-coregnet,0.5463,0.875,0.53241,15.80408,72.11396,10.88012,0.57738,2.011,0.49083,0.22222,0.09524,0.07143
14,d376b765401c,PDK4,ATF3;BHLHE40;EGR1;FOSB;KDM5D;NR4A1;NR4A2,7,exp03-coregnet,0.44444,0.83333,0.45238,7.60023,48.79286,4.55004,0.57788,1.89587,0.50743,0.0,0.0,0.0
15,3eba274bfe83,PER1,ATF3;BHLHE40;CEBPD;DBP;EGR1;FOS;FOSB;JUND;KDM5D;KLF6;MAFF;NR1D1;NR4A1;NR4A2;TEF;TFCP2L1;ZBTB16,17,exp03-coregnet,0.4951,0.67892,0.47794,7.88319,29.5293,4.07645,0.60416,1.89633,0.55346,0.41176,0.26923,0.19444
16,a6a8d3405e00,SOCS3,ARID5A;ATF3;BCL3;BHLHE40;EGR1;FOS;FOSB;JUNB;KDM5D;NR4A1,10,exp03-coregnet,0.55185,0.72593,0.54815,12.13824,52.05745,7.75879,0.55182,1.90847,0.44778,0.1,0.02703,0.02174
17,9737f2fd2fd4,SOD2,BCL3;BCL6;CEBPD;EGR1;FOS;FOSB;KDM5D;NR1D1;NR4A1;NR4A2,10,exp03-coregnet,0.48148,0.7,0.47407,6.88921,45.35247,4.69153,0.54301,1.89756,0.44588,0.2,0.05,0.04167
18,c303078dd0d8,TAGLN,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;MAFF;NR1D1;NR4A1;NR4A2,12,exp03-coregnet,0.5303,0.75253,0.50758,11.19416,44.07548,7.30274,0.57889,1.99813,0.48982,0.0,0.0,0.0
19,bc00d6ffe385,TIMP1,ATF3;BCL3;BHLHE40;FOSB;KDM5D;NR4A1;NR4A2,7,exp03-coregnet,0.45238,0.71429,0.46032,7.21133,35.41642,4.40923,0.54089,1.75571,0.46677,0.14286,0.02632,0.02273
20,30f89f98b0c1,TIMP3,EGR1;FOSB;HEYL;KDM5D;KLF4;NR4A1;NR4A2;TFCP2L1;ZBTB16,9,exp03-coregnet,0.42593,0.63426,0.41667,3.13024,28.44595,2.30193,0.54153,1.83617,0.4719,0.11111,0.04545,0.03333
21,224752d9a928,TKT,ATF3;BHLHE40;EGR1;FOS;FOSB;KDM5D;NR4A1;NR4A2,8,exp03-coregnet,0.4881,0.85714,0.49405,11.47673,65.29627,7.17953,0.57102,1.97221,0.48945,0.125,0.03571,0.02857
22,0975317a1280,TNFSF10,ATF3;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1,8,exp03-coregnet,0.56548,0.76786,0.54167,15.94423,75.47997,11.79793,0.56517,2.01511,0.47054,0.25,0.05128,0.04444
23,a521f95cc7ed,VIM,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;HSF4;JUN;KDM5D;MAFF;NR1D1;NR4A1;NR4A2,13,exp03-coregnet,0.51709,0.70726,0.49786,9.866,37.45651,6.48918,0.58129,1.94661,0.50089,0.15385,0.04,0.03279
