cluster_uid,target,sources,n_sources,silhouette_score,note
bd3bdd2e8c98,ACTA2,MEF2D;JUNB;KLF2;FOSL2;MAFK;KLF9;HEYL;PRRX1;NFIX;KLF4;ARID5A;NR2F2;DBP;MAFF;NFIL3,15,0.5258,exp03_thyroid-coregtor-r1
0b49b7a04d04,ACTB,ATF3;NR4A1;KLF6;SRF;EGR1;JUNB;JUN,7,0.0,exp03_thyroid-coregtor-r1
f0339b0d1967,AKT1,CIC;HSF1;TRIM28;KMT2B;NCOR2;NR1H2;SSRP1;E2F4;RELA;PPARD,10,0.0,exp03_thyroid-coregtor-r1
7f5519986a7c,APOE,ID4;CREB3L2;USF1;SMARCA1;TCF7L1;KLF5;NFATC4;ETS1;EPAS1;NFE2L2;ZBTB4;SOX18;PAX8;SP100;TBX2;GTF3A;SMAD9;IRF9;STAT2;FOXE1;PRRX1;HIF1A;SMAD7;NR2F2;STAT6;ZBTB7B,26,0.1961,exp03_thyroid-coregtor-r1
09dfe4020083,APP,CREBL2;TFDP1;GTF2F1;NFE2L1;VEZF1;SMARCA1;ZBTB4,7,0.0,exp03_thyroid-coregtor-r1
6b94561e6c61,BCL2L1,ZBTB16;TFE3;KLF13;TFCP2L1;ENO1;HTATIP2;YBX1;CEBPB,8,0.5503,exp03_thyroid-coregtor-r1
d5a87997f045,CD44,NFKB2;SP100;HMGB1;STAT5B;TFCP2L1,5,0.4269,exp03_thyroid-coregtor-r1
3f4cf79b51c8,CDK4,SSRP1,1,0.0,exp03_thyroid-coregtor-r1
287870179465,CDKN1A,FOSL2;NFIL3;ARID5A;RARA,4,0.0,exp03_thyroid-coregtor-r1
ddebf6912a7b,CLU,NR4A1;KLF13,2,0.2265,exp03_thyroid-coregtor-r1
4c47a3a70e87,CRYAB,ZNF32;FOS;HSF1;MAZ;CEBPB;ZNF24;JUN;ATF3;TEAD4;DBP;MAX;DDIT3;MAFB;STAT6,14,0.4166,exp03_thyroid-coregtor-r1
02730ced25b5,DUSP1,FOS;JUN;EGR1;NR4A1;JUNB;FOSB,6,0.0,exp03_thyroid-coregtor-r1
