,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
0,bd3bdd2e8c98,ACTA2,MEF2D;JUNB;KLF2;FOSL2;MAFK;KLF9;HEYL;PRRX1;NFIX;KLF4;ARID5A;NR2F2;DBP;MAFF;NFIL3,15,0.5258,exp03_thyroid-coregtor-r1,0.47302,0.53651,0.49048,7.93661,12.51529,4.18583,0.65769,1.96782,0.60185,0.06667,0.02703,0.01961
1,0b49b7a04d04,ACTB,ATF3;NR4A1;KLF6;SRF;EGR1;JUNB;JUN,7,0.0,exp03_thyroid-coregtor-r1,0.61111,0.90476,0.5873,18.83228,87.07134,12.71708,0.63525,2.14333,0.54656,0.28571,0.09524,0.07692
2,f0339b0d1967,AKT1,CIC;HSF1;TRIM28;KMT2B;NCOR2;NR1H2;SSRP1;E2F4;RELA;PPARD,10,0.0,exp03_thyroid-coregtor-r1,0.61111,0.6037,0.64444,18.66881,18.37021,27.03473,0.47972,1.65794,0.39165,0.2,0.02778,0.025
3,7f5519986a7c,APOE,ID4;CREB3L2;USF1;SMARCA1;TCF7L1;KLF5;NFATC4;ETS1;EPAS1;NFE2L2;ZBTB4;SOX18;PAX8;SP100;TBX2;GTF3A;SMAD9;IRF9;STAT2;FOXE1;PRRX1;HIF1A;SMAD7;NR2F2;STAT6;ZBTB7B,26,0.1961,exp03_thyroid-coregtor-r1,0.46744,0.52513,0.46513,4.09083,11.95702,3.52072,0.54378,1.76897,0.46816,0.0,0.0,0.0
4,09dfe4020083,APP,CREBL2;TFDP1;GTF2F1;NFE2L1;VEZF1;SMARCA1;ZBTB4,7,0.0,exp03_thyroid-coregtor-r1,0.46032,0.42857,0.46825,3.41471,1.99052,4.70521,0.54242,1.56583,0.48734,0.0,0.0,0.0
5,6b94561e6c61,BCL2L1,ZBTB16;TFE3;KLF13;TFCP2L1;ENO1;HTATIP2;YBX1;CEBPB,8,0.5503,exp03_thyroid-coregtor-r1,0.47024,0.47024,0.5119,11.3692,5.7645,12.16728,0.47259,1.50189,0.41935,0.25,0.02985,0.0274
6,d5a87997f045,CD44,NFKB2;SP100;HMGB1;STAT5B;TFCP2L1,5,0.4269,exp03_thyroid-coregtor-r1,0.5,0.58333,0.5,6.50518,23.79009,3.67458,0.50838,1.69342,0.42687,0.2,0.01282,0.0122
7,287870179465,CDKN1A,FOSL2;NFIL3;ARID5A;RARA,4,0.0,exp03_thyroid-coregtor-r1,0.55556,0.5,0.55556,8.45162,9.69822,3.86408,0.57609,1.86135,0.48614,0.25,0.00394,0.00389
8,ddebf6912a7b,CLU,NR4A1;KLF13,2,0.2265,exp03_thyroid-coregtor-r1,0.5,0.5,0.5,25.68381,3.52152,4.42202,0.55566,1.65728,0.54039,0.0,0.0,0.0
9,4c47a3a70e87,CRYAB,ZNF32;FOS;HSF1;MAZ;CEBPB;ZNF24;JUN;ATF3;TEAD4;DBP;MAX;DDIT3;MAFB;STAT6,14,0.4166,exp03_thyroid-coregtor-r1,0.58608,0.58883,0.58333,12.63815,26.78987,11.46269,0.60309,1.92618,0.53724,0.14286,0.08333,0.05556
10,02730ced25b5,DUSP1,FOS;JUN;EGR1;NR4A1;JUNB;FOSB,6,0.0,exp03_thyroid-coregtor-r1,0.76667,1.0,0.73333,27.64582,122.83999,21.219,0.64033,2.40673,0.52559,0.16667,0.03448,0.02941
11,0ab29ebc21d8,ERBB2,DEAF1;GTF2F1;CREB3;HSF1;TRIM28;HMGA1;ZBTB4,7,0.0,exp03_thyroid-coregtor-r1,0.49206,0.49206,0.49206,7.60446,4.556,12.52073,0.53216,1.76711,0.43274,0.14286,0.01587,0.01449
12,c01e2d38950d,FN1,KLF9;HMGB1;ZGPAT;MAFK;ESRRA;SKI;FOSL2;LRRFIP1;NFIX;KLF4;PRRX1;JUNB;BCLAF1;NR2F2;CTNNB1;MEF2D;ELK3;ID1;NFIL3;HEYL,20,0.4368,exp03_thyroid-coregtor-r1,0.49211,0.51667,0.50614,8.94248,10.16254,6.5201,0.56919,1.75369,0.50223,0.05,0.01538,0.0119
13,c5ee1b86bc50,GADD45B,CEBPD;BCL3;STAT3;ETS2,4,0.0,exp03_thyroid-coregtor-r1,0.58333,0.75,0.58333,11.07561,40.61626,9.07236,0.50116,1.67795,0.40299,0.25,0.04348,0.03846
