cluster_uid,target,sources,n_sources,silhouette_score,note
01d9494c0c3a,A2M,TCF4;ERG;ETS1;FLI1;DAB2;ZNF436;ZNF385D;CD59,8,0.1131,exp04_brca-coregtor-r1
f47a21b38c05,A4GALT,TSC22D4;MSRB3,2,0.4149,exp04_brca-coregtor-r1
8fe9f0836031,AAAS,ZNF43;IRX1;ZNF763,3,0.1691,exp04_brca-coregtor-r1
ba1a6ecdab59,AACS,ZNF649;PICK1,2,0.5444,exp04_brca-coregtor-r1
720a99732a35,AAGAB,EN2;HUNK,2,0.4174,exp04_brca-coregtor-r1
6dce75ac6776,AAK1,THRB;ZNF385D,2,0.1537,exp04_brca-coregtor-r1
461a87c234e6,AAMDC,ZNF662;THAP12;PPP2R3B,3,0.2365,exp04_brca-coregtor-r1
71064175057c,AAMP,NELFB;GTF2F1;GPANK1;VPS72;XRCC1;HIRIP3;DAZAP1;UBXN1;PQBP1;SPAG7;SIRT6;GTF3C5;CENPB;UBTF;PRDX5;RFXANK,16,0.1733,exp04_brca-coregtor-r1
a493f861f189,AAR2,HOXA13;PAX5;ZNF394;RBM17;TSN,5,0.2796,exp04_brca-coregtor-r1
d53cdad23edb,AARD,RARB;ZNF213,2,0.3032,exp04_brca-coregtor-r1
a1ec634003af,AARS1,GLI4;ENO1;DACH1,3,0.3618,exp04_brca-coregtor-r1
84c76e14f2f8,AARS2,SNAPC4;ZBTB48;ZBTB22;ZNF324B;UBTF;ZNF687;NOC2L;E4F1;ZNF133;ZNF316;BANP;PICK1;ZNF517;CNOT3;TRMT1;PBX2;CXXC1;ZNF786;PDCD11;ILF3;ZNF707;DMAP1;LMX1B;ZNF777;WRNIP1;DNMT1;DGCR8,27,0.1019,exp04_brca-coregtor-r1
540c541bf39e,AASDH,ZNF75D;ZNF431,2,0.1684,exp04_brca-coregtor-r1
e0747ad46de5,AASDHPPT,ZBED5;ZNF654;ZNF614;ZNF805,4,0.2168,exp04_brca-coregtor-r1
6d5ecc2c2abf,AASS,HMGXB4;ZNF280D,2,0.2575,exp04_brca-coregtor-r1
3039b675ddb2,AATF,TAGLN2;CERS2;BRF2,3,0.2859,exp04_brca-coregtor-r1
1d88362ac461,ABAT,NR2F2;DMRTA1,2,0.4178,exp04_brca-coregtor-r1
a5ed1bed48fb,ABCA1,SOX5;EBF1;ACO1;CAT;ZEB2;MTHFD1;ZEB1;SATB2;UGP2;DMRT2;ESR2;FOXN3;FOXN2;HOXA10,14,0.2288,exp04_brca-coregtor-r1
5d24c233d582,ABCA10,NFAT5;SP4,2,0.1914,exp04_brca-coregtor-r1
31f4d6bb3533,ABCA2,DMC1;SREBF1,2,0.2739,exp04_brca-coregtor-r1
05a1d13c4637,ABCA3,LHX6;MAFF;HUNK,3,0.4288,exp04_brca-coregtor-r1
7dd07f8c26f4,ABCA5,POLR3G;POLI,2,0.135,exp04_brca-coregtor-r1
fa5d47477581,ABCA6,TCF4;ZEB1;PRRX1;FLI1;FOXN2;EBF3;NR3C1;BNC2;DUSP22;DAB2;NR5A2;XG;ZHX3;EBF1;MITF,15,0.1887,exp04_brca-coregtor-r1
b2e0f13acbd2,ABCA7,RPS10;GSC,2,0.2945,exp04_brca-coregtor-r1
699248ecb534,ABCA8,ZEB2;EBF3;XG;EBF2;ZEB1;CAT;FOXN3;SATB2;BNC2;DUSP22;JAZF1;EPAS1;NFIA;RFX4,14,0.2428,exp04_brca-coregtor-r1
e01ed93acf0e,ABCA9,TCF4;ZEB1;INSM1;ZHX3;XG;BNC2;EBF3;DUSP22;VAMP3;NR3C1;EBF1;FOXN2;RBPJ;FOXP2;ZEB2;EBF2;DMRT2;ZNF438;FLI1;FOXN3;JAZF1;GATA1;ZBTB34;NFE4;EMX2;NFE2;PRRX1;RBMS1;MAF;KLF11;ZMAT4;ZNF423;MITF;SATB2;TOB2;SHOX2;NFATC3;ETS1;GFI1B;SOX5;ZNF521,41,0.2613,exp04_brca-coregtor-r1
588d95d07960,ABCB1,NRF1;ZNF214,2,0.1685,exp04_brca-coregtor-r1
a23e4fd3feae,ABCB10,PPARGC1A;ELF4;CTBP1,3,0.4248,exp04_brca-coregtor-r1
bdc0dbdb68cd,ABCB7,MBTPS2;ATF2;ZC3H7A;RAB18;DIS3;RB1;R3HDM2;DNAJC21;DR1;RAD21;CNOT4;GATAD1;SCMH1,13,0.1815,exp04_brca-coregtor-r1
410aa5419cc6,ABCB8,KLF14;ATF6B,2,0.2801,exp04_brca-coregtor-r1
8da4a2612015,ABCC1,CBFB;PRDM6,2,0.1359,exp04_brca-coregtor-r1
b098f6d8cb77,ABCC10,BRF1;TIMELESS,2,0.2587,exp04_brca-coregtor-r1
3b9b6b9cac91,ABCC11,GADD45A;ZBTB22;ZBTB7C;SRBD1,4,0.5707,exp04_brca-coregtor-r1
4cae44af10d4,ABCC3,TEAD3;FHL2;NKX3-1;CIC;RUNX2;TBX19,6,0.191,exp04_brca-coregtor-r1
656cb0209baf,ABCC4,CANX;NFIC,2,0.456,exp04_brca-coregtor-r1
7965b12c0083,ABCC5,ZNF101;HMGB2,2,0.2626,exp04_brca-coregtor-r1
188672a90c5e,ABCC6,HES1;MYCL,2,0.243,exp04_brca-coregtor-r1
1449b1998ee6,ABCC9,MTHFD1;ZEB1;ZEB2;EBF1;FOXN3;UGP2;TEAD1;CAT;NNT;TBX15;CFL2;NAGS;ACO1;TRAF4;SOX5;GPAM;ESR2;HADHB;EBF2;DMRT2;EBF3;HOXA10;ELF3,23,0.2716,exp04_brca-coregtor-r1
e9611f79d7c5,ABCD1,MYPOP;ZNF362,2,0.3734,exp04_brca-coregtor-r1
5a78b3fd42ea,ABCD2,GPAM;ACO1;MTHFD1;EBF1;PPARG;CAT;MLXIPL;TEAD1;EBF3;GPD1;SOX5;TWIST1;EPAS1;CEBPA;ESR2;NNT;UGP2;FOXN2;SUCLG1,19,0.4295,exp04_brca-coregtor-r1
24d87d412a89,ABCD3,CERS6;SOX7,2,0.4427,exp04_brca-coregtor-r1
47711f317e4c,ABCD4,ZNF846;ZSCAN30;STAT2;ZNF746,4,0.1656,exp04_brca-coregtor-r1
1e1f915543ea,ABCE1,MIOS;MEX3C,2,0.2508,exp04_brca-coregtor-r1
4f4734f7de2b,ABCF1,ZFP82;ZNF75D,2,0.5597,exp04_brca-coregtor-r1
bb7972863f05,ABCF3,CSTF2;IRF3,2,0.1603,exp04_brca-coregtor-r1
a346e80a9431,ABCG1,HOXC5;CEBPB,2,0.2989,exp04_brca-coregtor-r1
a207fd6dae48,ABCG2,ZNF662;MIXL1,2,0.5919,exp04_brca-coregtor-r1
bec553c559a8,ABHD10,PHTF1;NFYC,2,0.1408,exp04_brca-coregtor-r1
81b7410481a1,ABHD11,SOX12;ILF2,2,0.1931,exp04_brca-coregtor-r1
b8c0e08db74b,ABHD12,AGMAT;ZNF688,2,0.3439,exp04_brca-coregtor-r1
4030a20188de,ABHD13,MAPK1;ZNF791,2,0.2531,exp04_brca-coregtor-r1
4e3f3b6137ef,ABHD14B,BCL6;RXRA,2,0.1106,exp04_brca-coregtor-r1
2fa45592dcc2,ABHD15,MTHFD1;PPARG;MLXIPL;ACO1;CAT;STAT5A;EBF1;GPD1;EBF3;SMAD6;CEBPA;HOXA10;KLF14;FOXP2;SUCLG1,15,0.3553,exp04_brca-coregtor-r1
778742e6732e,ABHD17A,RFXANK;CPSF4,2,0.2242,exp04_brca-coregtor-r1
864deaf5efdf,ABHD17B,ZNF207;ZNF121,2,0.1866,exp04_brca-coregtor-r1
e41a0f42c88d,ABHD17C,MIOS;SEMA4A,2,0.5325,exp04_brca-coregtor-r1
f65d2ec5e5f7,ABHD18,TIA1;ZFX,2,0.1131,exp04_brca-coregtor-r1
c47ea85fd58d,ABHD2,ZNF525;ASCC1,2,0.358,exp04_brca-coregtor-r1
4a637c42c260,ABHD3,GMEB2;ZNF630,2,0.3571,exp04_brca-coregtor-r1
354b839fdfeb,ABHD4,ASCC1;NR3C1,2,0.125,exp04_brca-coregtor-r1
1c1d30f1a919,ABHD5,FBXL19;EBF3,2,0.2195,exp04_brca-coregtor-r1
39e405409ae0,ABHD6,ZEB2;BNC2;EPAS1;TFE3;FOXN3;ACO1;EBF2;CAT;SMAD6;ZFP92;MEOX2;SATB2;ZEB1;EBF1;MEOX1;DAB2;ERG;EBF3,18,0.192,exp04_brca-coregtor-r1
03ecec8cde01,ABHD8,ZFPM1;RBM42;NR2F6;ZNF408;SIRT6;SCAND1;ARFGAP1;HSF1;ASPSCR1;XRCC1;TIGD5;NELFB;ZNF513;SOX12;FBXL19,15,0.0915,exp04_brca-coregtor-r1
7497fdf3bb41,ABI1,PIK3C3;ZNF567,2,0.2222,exp04_brca-coregtor-r1
de787a44bc89,ABI2,ZFP2;ZBTB44,2,0.1883,exp04_brca-coregtor-r1
cf8a1ab01867,ABI3,THAP11;ZNF878,2,0.4621,exp04_brca-coregtor-r1
74883aee8d97,ABI3BP,PRRX1;XG;BNC2;EBF2;TCF4;LMX1A;DUSP22;FEZ1;ETS1;ZEB1;DAB2;CREB5;FLI1;MSX1;EBF3;RBPJ;ZEB2;JAZF1;ZNF423,19,0.2436,exp04_brca-coregtor-r1
b2b08b785da6,ABITRAM,PRDM4;RBBP9,2,0.1255,exp04_brca-coregtor-r1
702dae118eb2,ABL2,GTF2H3;ATF1,2,0.2113,exp04_brca-coregtor-r1
5b61fd79306b,ABLIM1,MEF2C;RBMS1;ZHX3;MITF;FLI1;RBPJ;EIF5A2;BNC2;KLF3;TCF4;KLF11;ETS1;PRDM5;KLF7;ZFHX3;DUSP22;DAB2;SMAD3;KLF8,19,0.2181,exp04_brca-coregtor-r1
