cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
f7f666b67dc2,A2M,TCF21;TBX4;ZNF366;PKNOX2;ERG,5,100.0,0.0,exp04_luad-coregtor-default
20ee55c18160,A4GALT,ERF;MAFF;KLF16;CENPB;SNAI1;ARID5A;HIC1;SRF;JUNB;ZNF385A;TWIST2;SP6;RELA;FOXD1;SOX18;IKZF5;ZNF787;ZNF358;GLIS2;ZNF484,20,44.4444,0.2021,exp04_luad-coregtor-default
e8f8b3c96fbf,A4GALT,ZNF628;ZNF33A,2,4.4444,0.077,exp04_luad-coregtor-default
35023ae8f977,A4GALT,ZNF777;TRIP10,2,4.4444,0.0721,exp04_luad-coregtor-default
1ecf954cf180,AAAS,SNRNP70;DAZAP1;E4F1;ZNF335;ASPSCR1;ARFGAP1;ZNF768;MXD3;ZNF692;ZBTB17;ZNF76;PPP2R3B,12,44.4444,0.2444,exp04_luad-coregtor-default
c57dd2fc109c,AAAS,APEX2;APEX1;ZNF782,3,11.1111,0.1874,exp04_luad-coregtor-default
2d8f4c9d1958,AAAS,REL;ILF3;ZNF213;CNOT3,4,14.8148,0.0732,exp04_luad-coregtor-default
8fc403e08015,AACS,TIMELESS;HES6;ANXA1;HNF1A;ASCL1;ZNF664;VAX2;SMUG1;CD59;TFF3;PHF8,11,57.8947,0.3381,exp04_luad-coregtor-default
ce522fdf0e6f,AAGAB,GTF2A2;SNAPC5;LARP4;TSN,4,57.1429,0.3793,exp04_luad-coregtor-default
b324b0045806,AAK1,ZNF587B;ZBTB37,2,4.1667,0.2293,exp04_luad-coregtor-default
b4df64e77f02,AAK1,ZNF518A;ZNF148,2,4.1667,0.2234,exp04_luad-coregtor-default
0ff266e68f8d,AAK1,ELK4;ZNF506,2,4.1667,0.1781,exp04_luad-coregtor-default
c60eb8458e84,AAK1,ZNF451;ZNF782;ZNF611,3,6.25,0.0728,exp04_luad-coregtor-default
c7e410e5209f,AAK1,ZNF410;LCOR,2,4.1667,0.0705,exp04_luad-coregtor-default
d76a30f87ad9,AAK1,NFAT5;BPTF;CHD2;TAF1;KDM2A;KMT2A;EP300;GIT2;OTUD4;ZNF407;UBE2V1;KLF12;MTF1;ZNF267;ZNF790;RPL35;DIABLO;POU2F1,18,37.5,0.0663,exp04_luad-coregtor-default
191918758cbb,AAK1,CCNT2;HMBOX1;IKZF2,3,6.25,0.0656,exp04_luad-coregtor-default
a70ab0a1f324,AAMP,MEF2A;OTUD4,2,2.0833,0.2135,exp04_luad-coregtor-default
034e9a9213e8,AAMP,ZNF510;LHX4,2,2.0833,0.2029,exp04_luad-coregtor-default
