cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
2666febc32a9,A2M,NR2F1;SETBP1;FREM1;ARNT;MYLK;TCF21;MAF;HOXB4,8,57.1429,0.2368,exp04_lung_reads-coregtor-default
354d677c39ce,A2M-AS1,ZNF227;ZNF506;TBX19;HOXB2;MAX;POU6F1;HOXB4,7,87.5,0.4039,exp04_lung_reads-coregtor-default
08b7e3909928,A4GALT,ABL1;TRIP10;ESRP2;TEAD2,4,57.1429,0.2983,exp04_lung_reads-coregtor-default
c321ef48770b,AAAS,ZNF688;CTBP1;GTF3C5;ZNF691;ATF6B;ZNF517;BRCA1;DMAP1;ZNF18;SMUG1;ZNF205;GLI4;ZNF341;ZNF524;ZNF594;ZSCAN26;ZNF518A;CXXC1;JRK;ZNF491,20,86.9565,0.3008,exp04_lung_reads-coregtor-default
0fb66779b705,AACS,GOT1;ZBTB42,2,50.0,0.3733,exp04_lung_reads-coregtor-default
9527d8fbdd88,AAGAB,ENO1;PUM3;PSMC2;RAN;PSMA6;ABCF2,6,75.0,0.4956,exp04_lung_reads-coregtor-default
228667beb8e4,AAGAB,NCBP2;SSRP1,2,25.0,0.1311,exp04_lung_reads-coregtor-default
ab5d45b21202,AAK1,FUBP1;SOCS4;ELK4;PHF8;ZNF141;NF1;ZBTB45;RFXANK;ASH2L;ZNF791;STAT4;TRPS1,12,85.7143,0.3105,exp04_lung_reads-coregtor-default
b8a527ac7e34,AAMP,ZBTB25;PQBP1;RBM42;ZNF787,4,57.1429,0.4023,exp04_lung_reads-coregtor-default
ad0f0c14754c,AAR2,ZBTB45;TSN;EXO5;ZNF777;ZBTB42;PAXIP1;PTCD1;ZNF287;ZNF622;ZBTB10,10,66.6667,0.2968,exp04_lung_reads-coregtor-default
72c0545ea8fb,AAR2,TIGD6;ZNF408,2,13.3333,0.2046,exp04_lung_reads-coregtor-default
265556395d17,AARS1,TRIB3;LARP1;GOT1;MTHFD1,4,80.0,0.45,exp04_lung_reads-coregtor-default
1b9a0b67d64d,AARS2,ZNF691;TFCP2;ZNF786;ZNF70;SMUG1;ZNF202;SRBD1;ZNF696;ZNF576;ASH2L;NFYC;ZNF341;C19orf25;ZSCAN21;RBBP5,15,65.2174,0.3046,exp04_lung_reads-coregtor-default
9842a054205f,AARS2,MTERF1;TIMELESS;FIZ1,3,13.0435,0.1033,exp04_lung_reads-coregtor-default
9452df66c19a,AARS2,ZNF41;ZNF641,2,8.6957,0.0901,exp04_lung_reads-coregtor-default
0956889932a6,AARSD1,ZNF696;EXOSC3,2,7.1429,0.1991,exp04_lung_reads-coregtor-default
c4adcfa53755,AARSD1,ZNF239;PDCD11;NOC2L;FIZ1;ZNF576;ZNF202;SPAG7;POLD2;MRPL2;SMUG1;ZNF485;TIMM44;POLR3A;C19orf25;ZNF502;ZNF195;ASH2L;GRHPR,18,64.2857,0.1695,exp04_lung_reads-coregtor-default
f697acdf907c,AASDH,MTERF1;TFCP2;ZNF561;ZNF691;ZNF490;AGGF1;ZNF696;ZNF180;ZNF75A;TIGD2;ZNF619;GPAM;ZNF585B;ASH2L,14,82.3529,0.1898,exp04_lung_reads-coregtor-default
b8da2ea8bf4e,AASDHPPT,ZNF561;TIGD2;MTERF1;TSN;RIOK2;ZNF845;VPS4B;ZNF28;TFCP2;AGGF1;ZNF320;GTF2H3;ZNF619;ZKSCAN4;MRPL1;ZNF786;ZSCAN12;ZNF701;ZNF2,19,90.4762,0.3095,exp04_lung_reads-coregtor-default
b05af595fa4a,AASS,HIF3A;KLF15,2,40.0,0.3323,exp04_lung_reads-coregtor-default
3739a87d0f2a,AATF,SSRP1;ZNF622;MAGOH;ZBTB10;NOC2L;ABCF2;MTF2;ODC1;ZMAT2;ENO1;UTP18,11,100.0,0.0,exp04_lung_reads-coregtor-default
cdb3a1fe74d1,AATK,IRX2;GADD45A;ABL1;IRX1;NKX2-1;RXRA;ZXDC;ATOH8;HIF1A;PRRX1,10,52.6316,0.3767,exp04_lung_reads-coregtor-default
