cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
2666febc32a9,A2M,NR2F1;SETBP1;FREM1;ARNT;MYLK;TCF21;MAF;HOXB4,8,57.1429,0.2368,exp04_lung_reads-coregtor-default,0.39583,0.44643,0.39881,2.04949,2.81801,1.1617,0.38874,1.25809,0.3635,,,,
354d677c39ce,A2M-AS1,ZNF227;ZNF506;TBX19;HOXB2;MAX;POU6F1;HOXB4,7,87.5,0.4039,exp04_lung_reads-coregtor-default,0.38095,0.38889,0.37302,0.62449,6.89224,0.36025,0.70738,1.87983,0.67632,,,,
08b7e3909928,A4GALT,ABL1;TRIP10;ESRP2;TEAD2,4,57.1429,0.2983,exp04_lung_reads-coregtor-default,0.44444,0.47222,0.44444,2.38634,2.66542,1.8684,0.27476,0.74195,0.26106,,,,
c321ef48770b,AAAS,ZNF688;CTBP1;GTF3C5;ZNF691;ATF6B;ZNF517;BRCA1;DMAP1;ZNF18;SMUG1;ZNF205;GLI4;ZNF341;ZNF524;ZNF594;ZSCAN26;ZNF518A;CXXC1;JRK;ZNF491,20,86.9565,0.3008,exp04_lung_reads-coregtor-default,0.43596,0.37982,0.44474,3.49128,1.5213,2.11063,0.59096,1.398,0.57548,,,,
0fb66779b705,AACS,GOT1;ZBTB42,2,50.0,0.3733,exp04_lung_reads-coregtor-default,0.5,0.33333,0.5,0.63036,0.0,0.60553,0.19932,0.47721,0.24063,,,,
9527d8fbdd88,AAGAB,ENO1;PUM3;PSMC2;RAN;PSMA6;ABCF2,6,75.0,0.4956,exp04_lung_reads-coregtor-default,0.53333,0.56667,0.53333,36.48909,41.2458,52.38125,0.34089,1.04179,0.31992,,,,
228667beb8e4,AAGAB,NCBP2;SSRP1,2,25.0,0.1311,exp04_lung_reads-coregtor-default,0.5,1.0,1.0,27.55827,69.39877,39.27544,0.41441,1.30209,0.32612,,,,
ab5d45b21202,AAK1,FUBP1;SOCS4;ELK4;PHF8;ZNF141;NF1;ZBTB45;RFXANK;ASH2L;ZNF791;STAT4;TRPS1,12,85.7143,0.3105,exp04_lung_reads-coregtor-default,0.43687,0.43813,0.44949,3.33542,3.56701,2.74311,0.49607,1.29896,0.45081,,,,
b8a527ac7e34,AAMP,ZBTB25;PQBP1;RBM42;ZNF787,4,57.1429,0.4023,exp04_lung_reads-coregtor-default,0.44444,0.44444,0.5,5.04785,8.12287,6.83827,0.49844,1.17409,0.46132,,,,
ad0f0c14754c,AAR2,ZBTB45;TSN;EXO5;ZNF777;ZBTB42;PAXIP1;PTCD1;ZNF287;ZNF622;ZBTB10,10,66.6667,0.2968,exp04_lung_reads-coregtor-default,0.44074,0.36111,0.45926,1.62452,0.38351,2.31192,0.47603,1.14013,0.4507,,,,
