cluster_uid,target,sources,n_sources,silhouette_score,note
caffc8a56b1b,A2M,NR2F1;SETBP1;FREM1;ARNT;MYLK;TCF21;MAF;HOXB4,8,0.2368,exp04_lung_reads-coregtor-r1
75a9b47a5ccd,A2M-AS1,ZNF227;ZNF506;TBX19;HOXB2;MAX;POU6F1;HOXB4,7,0.4039,exp04_lung_reads-coregtor-r1
a4efe2e878cd,A4GALT,ABL1;TRIP10;ESRP2;TEAD2,4,0.2983,exp04_lung_reads-coregtor-r1
abf201d9b5b8,AAAS,ZNF688;CTBP1;GTF3C5;ZNF691;ATF6B;ZNF517;BRCA1;DMAP1;ZNF18;SMUG1;ZNF205;GLI4;ZNF341;ZNF524;ZNF594;ZSCAN26;ZNF518A;CXXC1;JRK;ZNF491,20,0.3008,exp04_lung_reads-coregtor-r1
b0a2ee120e4e,AACS,GOT1;ZBTB42,2,0.3733,exp04_lung_reads-coregtor-r1
1b677e2b0644,AAGAB,ENO1;PUM3;PSMC2;RAN;PSMA6;ABCF2,6,0.4956,exp04_lung_reads-coregtor-r1
a4d983697584,AAK1,FUBP1;SOCS4;ELK4;PHF8;ZNF141;NF1;ZBTB45;RFXANK;ASH2L;ZNF791;STAT4;TRPS1,12,0.3105,exp04_lung_reads-coregtor-r1
6bcd167a2717,AAMP,ZBTB25;PQBP1;RBM42;ZNF787,4,0.4023,exp04_lung_reads-coregtor-r1
cb1b10d47951,AAR2,ZBTB45;TSN;EXO5;ZNF777;ZBTB42;PAXIP1;PTCD1;ZNF287;ZNF622;ZBTB10,10,0.2968,exp04_lung_reads-coregtor-r1
fd8b7b00b655,AARS1,TRIB3;LARP1;GOT1;MTHFD1,4,0.45,exp04_lung_reads-coregtor-r1
602e961367d8,AARS2,ZNF691;TFCP2;ZNF786;ZNF70;SMUG1;ZNF202;SRBD1;ZNF696;ZNF576;ASH2L;NFYC;ZNF341;C19orf25;ZSCAN21;RBBP5,15,0.3046,exp04_lung_reads-coregtor-r1
de19ee13c65a,AARSD1,ZNF696;EXOSC3,2,0.1991,exp04_lung_reads-coregtor-r1
a2cd71d98443,AASDH,MTERF1;TFCP2;ZNF561;ZNF691;ZNF490;AGGF1;ZNF696;ZNF180;ZNF75A;TIGD2;ZNF619;GPAM;ZNF585B;ASH2L,14,0.1898,exp04_lung_reads-coregtor-r1
975a53bc292e,AASDHPPT,ZNF561;TIGD2;MTERF1;TSN;RIOK2;ZNF845;VPS4B;ZNF28;TFCP2;AGGF1;ZNF320;GTF2H3;ZNF619;ZKSCAN4;MRPL1;ZNF786;ZSCAN12;ZNF701;ZNF2,19,0.3095,exp04_lung_reads-coregtor-r1
