cluster_uid,target,sources,n_sources,silhouette_score,note
797596abe36e,A2M,TCF21,1,0.0,exp04_lusc-coregtor-r1
28b09ceeed48,A2ML1,GRHL3;CERS3;FOXN1;IRF6;TP63,5,0.4706,exp04_lusc-coregtor-r1
102bc4de558a,A4GALT,NFE2L2;FOXE1;KLF5;ARNTL2;BNC1;ZNF385A;GRHL3,7,0.2434,exp04_lusc-coregtor-r1
06ac2f993deb,AAAS,TIMELESS;TFCP2;HNRNPA1;NUP107;ZNF740,5,0.3768,exp04_lusc-coregtor-r1
52a1ccafba16,AACS,ZEB2;GTF2H3;ESRP1;CDK2AP1,4,0.1385,exp04_lusc-coregtor-r1
f9c40a8eecf0,AAGAB,GTF2A2;SNAPC5;PKM,3,0.0,exp04_lusc-coregtor-r1
477a0959785f,AAK1,ZBTB4;NCOR1,2,0.1586,exp04_lusc-coregtor-r1
0500448c4c2b,AAMP,ZEB2;TIGD1;ZNF142;ADARB1;RUVBL1;PGR;KIF22,7,0.0969,exp04_lusc-coregtor-r1
3fda13a96d49,AAR2,ZSWIM1;PHF20;SCAND1;ADNP;DNTTIP1,5,0.6233,exp04_lusc-coregtor-r1
4885ea191797,AARS1,E2F4;FOXM1;TIMELESS;THAP11;TERF2;MYBL2;SSRP1;MAGEF1;TRIB3,9,0.2087,exp04_lusc-coregtor-r1
da651b66e868,AARS2,ZNF335;ILF3;KMT2B;SNRNP70;PRDM15;ZBTB12;DGCR8;ZNF707;EWSR1;CNOT3;CBFA2T2;DNMT3A;ZNF696,13,0.382,exp04_lusc-coregtor-r1
373c0af7fa8b,AASDH,REST;CLOCK;FIP1L1,3,0.0,exp04_lusc-coregtor-r1
469f3c107edf,AASDHPPT,THAP12;TSN;JRKL;HINFP;RBM7;ZNF670;YEATS4;PSMD12;ZBTB44;ZNF202;HDAC2,11,0.1401,exp04_lusc-coregtor-r1
94626398845b,AASS,HLF;FREM1;ELF5;ZNF621;ZNF589;SOX5;FOXP2;CHD2;BCL6,9,0.1744,exp04_lusc-coregtor-r1
c2d0bdedc72c,AATF,ZNF830;BRCA1,2,0.6484,exp04_lusc-coregtor-r1
ac9f33e9738f,AATK,EPAS1;TCF21;TPI1;TAL1;MELK;MYRF;HMGA1;MYBL2;HNF1B;ATOH8;ZBTB16;GPD1;SOX17;ZFP64,14,0.231,exp04_lusc-coregtor-r1
b79087cf1af5,ABAT,ZNF19;UTP18,2,0.2285,exp04_lusc-coregtor-r1
fdd4ba264de4,ABCA1,REL;ZBTB34;ZEB2;DAB2;ZBTB43,5,0.1021,exp04_lusc-coregtor-r1
