"Regulator","Target"
"MYRF","HSPA1A"
"MYRF","PER1"
"MYRF","NDRG1"
"MYRF","MAT2A"
"MYRF","HLA-E"
"MYRF","CDKN1A"
"MYRF","TAGLN"
"MYRF","FN1"
"MYRF","MCL1"
"MYRF","TIMP1"
"MYRF","CRYAB"
"MYRF","PDK4"
"MYRF","STMN1"
"MYRF","ID3"
"MYRF","DUSP1"
"MYRF","NFKBIA"
"JUNB","HSPA1A"
"JUNB","SPARC"
"JUNB","SOD2"
"JUNB","CLU"
"JUNB","PER1"
"JUNB","APOE"
"JUNB","NDRG1"
"JUNB","MAT2A"
"JUNB","HLA-E"
"JUNB","CDKN1A"
"JUNB","TAGLN"
"JUNB","FN1"
"JUNB","MCL1"
"JUNB","TIMP1"
"JUNB","VIM"
"JUNB","SQSTM1"
"JUNB","CRYAB"
"JUNB","HSP90AA1"
"JUNB","GADD45B"
"JUNB","ID3"
"JUNB","FASN"
"JUNB","DUSP1"
"JUNB","NFKBIA"
"EGR1","HSPA1A"
"EGR1","CLU"
"EGR1","PER1"
"EGR1","APOE"
"EGR1","HSPA4"
"EGR1","NDRG1"
"EGR1","MAT2A"
"EGR1","HLA-E"
"EGR1","CDKN1A"
"EGR1","FN1"
"EGR1","MCL1"
"EGR1","TIMP1"
"EGR1","VIM"
"EGR1","CRYAB"
"EGR1","APP"
"EGR1","HSP90AA1"
"EGR1","STMN1"
"EGR1","GADD45B"
"EGR1","VEGFA"
"EGR1","FASN"
"EGR1","DUSP1"
"EGR1","NFKBIA"
"CEBPD","HSPA1A"
"CEBPD","SPARC"
"CEBPD","HLA-DRB1"
"CEBPD","CLU"
"CEBPD","PER1"
"CEBPD","APOE"
"CEBPD","CDKN1A"
"CEBPD","TAGLN"
"CEBPD","FN1"
"CEBPD","TIMP1"
"CEBPD","VIM"
"CEBPD","CD14"
"CEBPD","CRYAB"
"CEBPD","PDK4"
"CEBPD","CSF1R"
"CEBPD","GADD45B"
"CEBPD","SOCS3"
"CEBPD","VEGFA"
"CEBPD","ID3"
"CEBPD","DUSP1"
"NR4A1","HSPA1A"
"NR4A1","CLU"
"NR4A1","PER1"
"NR4A1","APOE"
"NR4A1","NDRG1"
"NR4A1","MAT2A"
"NR4A1","HLA-E"
"NR4A1","CDKN1A"
"NR4A1","TAGLN"
"NR4A1","FN1"
"NR4A1","MCL1"
"NR4A1","TIMP1"
"NR4A1","VIM"
"NR4A1","CRYAB"
"NR4A1","APP"
"NR4A1","HSP90AA1"
"NR4A1","STMN1"
"NR4A1","GADD45B"
"NR4A1","VEGFA"
"NR4A1","ID3"
"NR4A1","DUSP1"
"NR4A1","NFKBIA"
"ATF3","HSPA1A"
"ATF3","SPARC"
"ATF3","SOD2"
"ATF3","HLA-DRB1"
"ATF3","CLU"
"ATF3","PER1"
"ATF3","APOE"
"ATF3","HSPA4"
"ATF3","NDRG1"
"ATF3","MAT2A"
"ATF3","HLA-E"
"ATF3","CDKN1A"
"ATF3","TAGLN"
"ATF3","FN1"
"ATF3","MCL1"
"ATF3","TIMP1"
"ATF3","VIM"
"ATF3","SQSTM1"
"ATF3","CRYAB"
"ATF3","PDK4"
"ATF3","APP"
"ATF3","TKT"
"ATF3","HSP90AA1"
"ATF3","STMN1"
"ATF3","GADD45B"
"ATF3","VEGFA"
"ATF3","ID3"
"ATF3","FASN"
"ATF3","DUSP1"
"ATF3","NFKBIA"
"NFIL3","HSPA1A"
"NFIL3","SPARC"
"NFIL3","SOD2"
"NFIL3","HLA-DRB1"
"NFIL3","CLU"
"NFIL3","PER1"
"NFIL3","APOE"
"NFIL3","HSPA4"
"NFIL3","NDRG1"
"NFIL3","MAT2A"
"NFIL3","HLA-E"
"NFIL3","CDKN1A"
"NFIL3","TAGLN"
"NFIL3","FN1"
"NFIL3","MCL1"
"NFIL3","TIMP1"
"NFIL3","VIM"
"NFIL3","CD14"
