cluster_uid,target,sources,n_sources,method
4f2dc6e8e249,ACTB,APEX1;ARID5A;ARNT2;ATF2;ATF4;BHLHE22;BHLHE41;CEBPB;CEBPG;CIC;CREBL2;CTBP1;DDIT3;DEAF1;DRAP1;E4F1;EGR3;ELK1;EMX2;ENO1;ERF;ETS2;EWSR1;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HIF1A;HLF;HMGA1;HMGB2;HSF4;JAZF1;JUND;KLF13;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NPAS2;NR2E1;NR2F2;PBX1;PIR;PPARD;RBFOX2;RELA;RFX5;SMARCA1;SND1;SOX2;SREBF2;STAT1;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZNF189;ZNF32;ZSCAN18,78,exp05-coregnet
9db7c0dd8ac1,APOE,ATF3;BCL6;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPD;DBP;DDIT3;EGR1;EGR3;EMX2;ENO1;FEZF2;FOS;FOXG1;HES4;HES5;HIF1A;HIF3A;HLF;HMGB2;ID2;ID4;JUN;JUNB;LHX2;MEF2C;MESP1;NFIL3;NR1D1;NR2E1;NR4A1;PIR;RFX4;SOX2;SOX9;SREBF1;XBP1,39,exp05-coregnet
7a7a5cbee6c1,APP,APEX1;ARNT2;ATF2;ATF3;ATF4;BHLHE22;BHLHE41;CEBPG;CIC;CREBL2;CREBZF;CTBP1;DDIT3;DEAF1;E4F1;EGR1;EGR3;ELK1;ENO1;ERF;ETS2;EWSR1;FOS;FOXG1;FOXJ3;GTF2F1;GTF3A;HES4;HLF;HMGA1;HMGB2;HSF4;ID2;JAZF1;JUN;JUND;KLF13;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NPAS2;NR1D2;NR2F2;NR4A1;PBX1;PPARD;RBFOX2;RFX5;SCRT1;SMARCA1;SND1;SOX2;SREBF1;SREBF2;STAT1;STAT2;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZNF189;ZNF32;ZNF692;ZSCAN18,81,exp05-coregnet
6fef93cdbdd4,BCL2L1,APEX1;ARNT2;ATF2;ATF4;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPG;CIC;CREBL2;CREBZF;CTBP1;DDIT3;DEAF1;DRAP1;E4F1;EGR3;EMX2;ENO1;ERF;ETS2;EWSR1;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HIF1A;HLF;HMGA1;HMGB2;HSF4;ID4;JAZF1;JUND;KLF13;KLF15;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NPAS2;NR1D2;NR2E1;NR2F2;PBX1;PIR;PPARD;RBFOX2;RELA;RFX5;SMARCA1;SND1;SOX2;SOX9;SREBF1;SREBF2;STAT1;STAT2;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZGPAT;ZNF189;ZNF32;ZNF692;ZSCAN18,86,exp05-coregnet
d30d5d5aef7a,CD14,BHLHE22;CEBPB;CEBPD;EGR3;FOS;MEF2C;NFIL3;XBP1,8,exp05-coregnet
fd1ef401a684,CDKN1A,ARID5A;ATF3;BCL6;CEBPD;EGR1;FOS;JUN;JUNB;MYRF;NFIL3;NR4A1;XBP1,12,exp05-coregnet
c362b7155d7d,CLU,APEX1;ARID5A;ATF3;ATF4;BCL6;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPD;DBP;DDIT3;EGR1;EGR3;EMX2;ENO1;FEZF2;FOS;FOXG1;HIF1A;HIF3A;HLF;HMGB2;HSF4;ID2;ID4;JAZF1;JUN;JUNB;KLF9;LHX2;MEF2C;MESP1;MLX;MTA3;NCOA1;NEUROD2;NFIL3;NR1D1;NR2E1;NR4A1;PIR;RBFOX2;RFX4;SMARCA1;SOX2;SOX9;SREBF1;SREBF2;STAT1;STAT3;TEF;TFE3;XBP1;ZSCAN18,55,exp05-coregnet
273522575d73,CRYAB,ARID5A;ATF3;ATF4;BCL6;BHLHE22;BHLHE41;CEBPB;CEBPD;DDIT3;EGR1;EGR3;ERF;FOS;HMGB2;JUN;JUNB;JUND;MESP1;MYRF;NFIL3;NKX6-2;NR4A1;STAT3;TFE3;XBP1,25,exp05-coregnet
38dbcd567e95,CSF1R,BHLHE22;CEBPD;EGR3;FOS;JAZF1;MEF2C;MLXIPL;NFIL3,8,exp05-coregnet
161ee1a255db,DUSP1,ATF3;CEBPD;EGR1;FOS;ID1;JUN;JUNB;MYRF;NKX6-2;NR4A1,10,exp05-coregnet
9f3aad03c3cd,FASN,APEX1;ARID5A;ARNT2;ATF2;ATF3;ATF4;BHLHE22;BHLHE40;BHLHE41;CEBPG;CIC;CREBL2;CTBP1;DBP;DDIT3;DEAF1;EGR1;EGR3;ELK1;ENO1;ERF;ETS2;EWSR1;FOS;FOXG1;FOXJ3;GTF2F1;GTF3A;HES4;HIF1A;HLF;HMGA1;HSF4;JAZF1;JUN;JUNB;JUND;KLF13;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NFIL3;NPAS2;NR1D1;NR2E1;PPARD;RBFOX2;SCRT1;SND1;SOX2;SREBF1;SREBF2;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZNF189;ZSCAN18,75,exp05-coregnet
979e545118a1,FN1,ARID5A;ATF3;ATF4;BCL6;BHLHE41;CEBPD;DDIT3;EGR1;ERF;ETS2;FOS;HIF3A;HLF;HMGA1;HSF4;ID1;JUN;JUNB;KLF9;MAZ;MEF2C;MLXIPL;MYRF;NFIL3;NR4A1;RBFOX2;RELA;RFX5;SREBF2;STAT2;STAT3;TFE3;XBP1,33,exp05-coregnet
25af4e5a1433,GADD45B,ARID5A;ATF3;BCL6;CEBPB;CEBPD;EGR1;FOS;JUN;JUNB;NFIL3;NR4A1;XBP1,12,exp05-coregnet
9a1e631d3904,HBA2,EGR3,1,exp05-coregnet
4b60507dcda4,HBB,EGR3,1,exp05-coregnet
a4d6d3e4a2e4,HLA-DRB1,ATF3;BHLHE22;CEBPD;EGR3;FOS;MEF2C;NFIL3;XBP1,8,exp05-coregnet
736ac8258c90,HLA-E,ARID5A;ATF3;ATF4;BCL6;BHLHE40;BHLHE41;CEBPB;DDIT3;EGR1;ERF;ETS2;FOS;HES5;HIF1A;HIF3A;HMGA1;HMGB2;HSF4;ID1;JUN;JUNB;JUND;KLF9;LMO2;MLXIPL;MYRF;NCOR2;NFIL3;NKX6-2;NR4A1;RELA;RFX4;STAT1;STAT2;STAT3;TFE3;XBP1,37,exp05-coregnet
