cluster_uid,target,sources,n_sources,method
c42add64a282,ACTA2,AHR;BHLHE40;EHF;ELF3;ETS1;FOS;FOSB;FOXQ1;GATA2;GATA3;GATA5;HES1;HES4;HIF1A;HMGA1;ID1;ID2;IRF6;JUNB;KDM5D;KLF5;PLAGL1;TBX3,23,exp05-coregnet
2e471bccc438,ACTB,AHR;ATF3;BHLHE40;BHLHE41;EHF;ELF3;ETS1;FOS;FOSB;FOXQ1;GATA2;GATA3;HES1;HES4;HMGA1;ID1;IRF6;JUNB;KDM5D;KLF5;NR4A1;PITX1;SNAI2;TBX3;ZEB1,25,exp05-coregnet
79c44e06a7b8,APOE,AHR;ATF3;BHLHE40;EGR1;EHF;ELF3;FOS;FOSB;FOXQ1;GATA3;HES1;HMGA1;ID1;IRF6;JUNB;KDM5D;KLF5,17,exp05-coregnet
e9f1e2e5f4b6,CDKN1A,AHR;BHLHE40;CEBPB;EGR1;EHF;ELF3;ETS1;ETS2;FOS;FOSL2;FOXQ1;GATA3;HES1;HES4;HIF3A;ID1;ID2;IRF6;KDM5D;KLF5;NR4A1;TEAD1,22,exp05-coregnet
ce80b723e197,CDKN1C,AHR;ATF3;CEBPD;EHF;ELF3;FOSB;FOXQ1;GATA3;HES1;ID1;ID4;IRF6;KDM5D;KLF5;NR2F1;PLAGL1;TBX3,17,exp05-coregnet
383aa8322401,CLU,AHR;ATF3;BHLHE40;BHLHE41;EGR1;EHF;ELF3;FOS;FOSB;FOXQ1;GATA2;GATA3;HES1;HES4;HIF1A;HMGA1;ID1;ID2;IRF6;JUNB;KLF5;NR4A1;PLAGL1;TBX3;TEAD2,25,exp05-coregnet
8c482902d8d4,CRYAB,AHR;BHLHE40;BHLHE41;EHF;ELF3;FOS;FOSB;FOXQ1;GATA2;GATA3;HES1;HMGA1;ID1;IRF6;JUNB;KDM5D;KLF5;PLAGL1;TBX3,19,exp05-coregnet
bf099a97850d,CSF1,ATF3;EGR1;EHF;ELF3;FOS;FOXQ1;GATA2;GATA3;ID1;IRF6;KLF5;MYC;STAT1;TBX3;XBP1,15,exp05-coregnet
8fe1afb5c5ea,DUSP1,ATF3;BHLHE40;EGR1;EHF;ELF3;FOS;FOXQ1;GATA3;HES1;HES4;ID1;IRF6;JUNB;KDM5D;KLF5;NR4A1,16,exp05-coregnet
db6785625946,FN1,AHR;ATF3;BHLHE40;BHLHE41;EHF;ELF3;FOS;FOSB;FOXQ1;GATA2;GATA3;HES1;HES4;HMGA1;ID1;IRF6;JUNB;KLF5;NR4A1;TBX3;TEAD2,21,exp05-coregnet
d6f8dd2a99eb,GADD45B,AHR;BCL3;BCL6;CEBPD;EHF;ELF3;FOXQ1;GATA3;ID1;IRF6;KLF5;KLF9;MYC;NFIL3;TBX3,15,exp05-coregnet
5f291347fcc4,HBB,ATF3;EHF;ELF3;FOXQ1;GATA3;ID1;IRF6;KDM5D;KLF5;NR4A1,10,exp05-coregnet
5ae3c7e68c23,HLA-DRB1,AHR;BHLHE40;CREB3L1;EHF;ELF3;ETS1;FOXQ1;GATA3;HES1;HIF3A;ID1;IRF6;JUNB;KDM5D;KLF5;NR2F1;NR4A1;PLAGL1,18,exp05-coregnet
783a632532d6,HLA-E,AHR;ATF3;BHLHE40;CEBPB;CEBPD;CREB3L1;EGR1;EHF;ELF3;ETS1;ETS2;FOS;FOSB;FOXQ1;GATA3;HES1;HIF1A;ID1;ID2;IRF6;JUNB;KLF4;KLF5;MAFF;NR4A1;SNAI2;STAT1;TBX3;XBP1,29,exp05-coregnet
0e0f6e828548,HSPA1A,AHR;BHLHE40;EHF;ELF3;FOS;FOSB;FOXQ1;GATA2;GATA3;HES1;HES4;HMGA1;ID1;IRF6;JUNB;KDM5D;KLF5;TBX3,18,exp05-coregnet
d9bfc6a71186,ID3,BHLHE40;EHF;ELF3;FOXQ1;GATA2;GATA3;HES1;HSF4;ID1;ID2;IRF6;KDM5D;KLF5,13,exp05-coregnet
9277963cd5cb,MT1A,AHR;EHF;ELF3;FOXQ1;GATA2;GATA3;HES1;ID1;IRF6;KDM5D;KLF5;TBX3,12,exp05-coregnet
026ce4f4a9cc,NDRG1,AHR;ATF3;BHLHE40;CEBPB;CEBPD;EHF;ELF3;ETS1;FOSB;FOSL2;FOXQ1;GATA3;HES1;ID1;ID4;IRF6;KDM5D;KLF5;KLF9;NR4A1,20,exp05-coregnet
9d2a4993fae9,PDK4,BHLHE40;EHF;ELF3;FOXQ1;GATA3;HES1;ID1;IRF6;KDM5D;KLF15;KLF5;KLF9;ZBTB16,13,exp05-coregnet
9e662696b555,PDLIM7,AHR;BHLHE40;EHF;ELF3;ETS1;FOS;FOSB;FOXQ1;GATA2;GATA3;HES1;HMGA1;HSF4;ID1;IRF6;JUNB;KDM5D;KLF5;TBX3,19,exp05-coregnet
ab5887083aa3,PER1,BCL6;CEBPD;EHF;ELF3;FOXQ1;GATA3;HES1;HIF3A;ID1;IRF6;KLF15;KLF5;KLF9;MYC;NFIL3;ZBTB16,16,exp05-coregnet
