cluster_uid,target,sources,n_sources,silhouette_score,note
eed4cc0f2a29,ACTA2,AHR;SRF;YBX1;MLXIP;ETS1;ABL1;MEF2D;FOXQ1;SMAD3;NR1H2;GATA3;IRF3;ID2;EHF;MEIS2;ATF4;GATA6;HES1;ELF3;CREB3;KLF5;IRF6;ZEB1;RBFOX2;SND1;ETS2;ID1;GATA5,28,0.4529,exp05_bladder-coregtor-r1
635d09139c91,ACTB,MLXIP;SRF;AHR;YBX1;ETS1;ID1;IRF3;GATA3;ELF3;ABL1;KLF5;CREB3;HES1;EHF;FOXQ1;GATA6;SND1;NFIC;NR1H2;ID2;IRF6;ATF4;DRAP1;RARG;PLAGL1;GATA2,26,0.3842,exp05_bladder-coregtor-r1
14a832d84a69,AKT1,FOXO4;YBX1;NR1H2;NCOR2;SRF;TRIM28;TFE3;NFYB;LRRFIP1;MAFG;NFE2L1;CREB3;MAZ;STAT5B;TEAD2;NFIC;DRAP1;UBP1;GTF3A;MLXIP;RELA;PLAGL1;STAT5A;ZEB1,24,0.0,exp05_bladder-coregtor-r1
07d92e19459f,APOE,UBTF;SOX18;NR2F2;ZNF266;MZF1;KDM5D;CREBZF;ID4;GATA5;ZBTB4;ID2;KLF4;RBPJ;HMGB1;TEAD1;MEIS2;RXRB;ETS1;SF1;YBX1;PLAGL1;ZNF219;PML;BCL3;TBX2,25,0.2042,exp05_bladder-coregtor-r1
813cf984ad78,APP,ELF1;SP1;SMARCA5;RXRA;EP300;SNAI2;CREBL2;NONO;EHF;BHLHE41;TBX3;IRF6;KLF3;KLF5;IRF2;FOXO3;MBD2;FOXQ1;HMGA1;PIR;HIF1A;AHR;ZNF384;EPAS1,24,0.2603,exp05_bladder-coregtor-r1
973c961d69b9,CD44,HTATIP2;STAT5B,2,0.34,exp05_bladder-coregtor-r1
4c25878496dc,CDK4,STAT3;STAT5A;E2F4;TFE3;ENO1;SSRP1;TEAD2;CREB3;BCL6;RELA;GTF3A;DRAP1;OSR1;MLX;BCL3;SND1;ARID5B;NFKB1;IRF9;YBX1,20,0.4657,exp05_bladder-coregtor-r1
4ed18749043b,CDKN1A,ETS2;FOSL2;XBP1;MEIS2;SMAD3;ID2;HIF1A;BHLHE40;THAP11;JUNB;NFIL3;PBX1;RBFOX2;TEF;NFIX;BCL3;ZNF362;SRF;HAND2;ZBTB4;STAT3;CEBPB,22,0.2738,exp05_bladder-coregtor-r1
bda826a15760,CDKN1C,ID2;PLAGL1;HIF1A;CREB3;SNAI2;CEBPB;RBPJ;MLXIP;SMAD7;ATF4;TBX3;DRAP1;NFE2L2;SRF;FOXO3;NFKB2;NR2F1;EPAS1;CREBZF;JUN;ZNF32;KLF6;ZNF219;FOSL2,24,0.2608,exp05_bladder-coregtor-r1
96f59a8b9873,CLU,STAT5A;SND1;TEAD2;CREB3;TFE3;RELA;NR1H2;DRAP1;OSR1;ABL1;ARID5B;TBX3;STAT5B;GTF3A;TRIM28;MAFG;CIC;YBX1;IRF6;MLXIP;AHR;STAT3,22,0.3698,exp05_bladder-coregtor-r1
7cbab66764f3,CRYAB,ARID5A;JUN;NR4A1;ATF3;EGR1;ATF4;ZHX2;GTF2F1;CREB3;TFE3;MAFG;JUND;CTNNB1,13,0.2797,exp05_bladder-coregtor-r1
29760436b6f5,CSF1,ZGPAT;CEBPD;STAT3;BCL3;ZNF362;E2F4;PML;MLX;BCL6;PBX1;MYC;CEBPB;TWIST2;RARA;STAT6;ZNF219;STAT2;TEF;ARID5B;ARID5A;IRF9;RELA;CREB3;TEAD1;NFIL3;ENO1;STAT1,27,0.2833,exp05_bladder-coregtor-r1
1e7ecf6b7942,DUSP1,FOS;CREB3;FOSL2;ID2;KLF6;ELF1;SMAD7;DRAP1;MAX;CEBPB;HIF1A;ZSCAN18;TBX3;THAP11;GATA5;ID1;ZNF32;PLAGL1;KLF5;SNAI2;EHF;SRF;MLXIP;YBX1;JUNB;GATA2;IRF6;KLF4;NFKB2;JUN,30,0.3326,exp05_bladder-coregtor-r1
e64b546667a5,FGFR1,KLF5;EHF;IRF6;GATA3;SP1;FOXQ1;ELF3;TWIST2;NR2F6;TBX3;ID1;ATF4;RXRA;SRF;KLF3;CREB3;TEAD2,17,0.4136,exp05_bladder-coregtor-r1
d097bc3693f6,FN1,YBX1;SRF;MLXIP;CREB3;LRRFIP1;ETS1;NR1H2;SND1;NFYB;AHR;ZBTB4;NFIC;UBP1;SMARCC1;NFE2L1;DRAP1;ID2;HES1;GATA6;TEAD1;STAT5B,21,0.3203,exp05_bladder-coregtor-r1
db9b6eb05ab7,GADD45B,CEBPD;EPAS1;NFIL3;CTBP1;ID4;RARA;STAT3;BCL6;MYC;HDAC1;KLF9;BCL3;TWIST2;ETS2;CEBPB;NR2F6;FOSL2;HOXA11,18,0.404,exp05_bladder-coregtor-r1
a0b33a333159,GSTP1,GATA3;KLF5;IRF6;EHF;HSF4;ID1;NR2F6;ELF3;FOXQ1;SP1;HMGA1;HDAC1;ZEB1;GATA6;AHR;IRF2;ATF4;SRF;TBX3;MLXIP,20,0.3352,exp05_bladder-coregtor-r1
1a3b288e881c,HBB,APEX1;RFX5;TRIM28;NFYC;TWIST2;FOXF1;ESRRA;NR2F2;UBTF;MAZ;ZBTB7B;ENO1;CIC;EWSR1;GTF2F1;ZNF362;ZNF219;LRRFIP1;E4F1;MBD1;SND1;NONO;ZNF384;KMT2B;SMARCA5;SMARCA1;CEBPD;OSR1,28,0.1762,exp05_bladder-coregtor-r1
d7ca13498c33,HLA-DRB1,STAT2;IRF9;XBP1;STAT1;USF1;PML;IRF3;NFIC;MEF2D,9,0.5015,exp05_bladder-coregtor-r1
8cc38c031205,HLA-E,STAT1;IRF9;STAT2;STAT6;PML;XBP1;USF1;ETS1;IRF2,9,0.0,exp05_bladder-coregtor-r1
26af91835679,HSP90AA1,JUN;ZNF32,2,0.4643,exp05_bladder-coregtor-r1
1aba4867409e,HSPA1A,ZNF219;NCOR2,2,0.6498,exp05_bladder-coregtor-r1
b6d0e77194fc,ID3,ELF3;EHF;AHR;ID1;KLF5;GATA3;ID2;FOXQ1;RARG;IRF6;GATA2;HES1;YBX1;SRF;HDAC1;SMAD7;HMGA1;MLXIP;JUNB;SP1;BHLHE40;NR2F6;TBX3,23,0.4223,exp05_bladder-coregtor-r1
b802b4fa5523,ITGB1,UBP1;ZEB1;SREBF2;SMARCA1;SND1;SMARCC1;LRRFIP1;NFYB;PBX1;MZF1;SMARCA5;NFIC;VEZF1;DDIT3;CTNNB1;YBX1;PLAGL1;EP300;HAND2;IRF3;SKI;NFE2L2;TEAD1;ENO1;STAT5B;USF2;TFE3;YY1;SRF,29,0.3316,exp05_bladder-coregtor-r1
fe2813d89e07,MAT2A,RBFOX2;NR1H2,2,0.2681,exp05_bladder-coregtor-r1
d6e1381bf50a,MCL1,HIF1A;FOSL2;ETS2;FOS;XBP1;EGR1;MYC;RXRB;SNAI2;KLF6;ELF1;MAFF;MBD2;NFE2L2;DDIT3;MEIS2;GATA5;FHL2;SRF;MXD4;EHF;NFIL3;CEBPB;CTNNB1;FOSB;ZSCAN18;HMGA1;ZNF32;HSF4;SMAD3;THRA,31,0.2229,exp05_bladder-coregtor-r1
