"Regulator","Target"
"ID2","HSP90AA1"
"ID2","RASSF1"
"ID2","AKT1"
"ID2","CDKN1B"
"ID2","PCNA"
"ID2","SQSTM1"
"ID2","OGA"
"STAT4","HSP90AA1"
"STAT4","RASSF1"
"STAT4","TIMP1"
"STAT4","CDKN1B"
"STAT4","PCNA"
"STAT4","SQSTM1"
"STAT4","OGA"
"STAT4","CSF1R"
"STAT4","TXN"
"ATF3","HSP90AA1"
"ATF3","CDKN1A"
"ATF3","NDRG1"
"ATF3","GADD45B"
"ATF3","TIMP1"
"ATF3","HLA-DRB1"
"ATF3","VEGFA"
"ATF3","CXCR4"
"ATF3","DUSP1"
"ATF3","GSTP1"
"ATF3","PER1"
"ATF3","PCNA"
"ATF3","HSPA1A"
"ATF3","SQSTM1"
"ATF3","CSF1R"
"ATF3","HMOX1"
"ATF3","NOTCH1"
"ATF3","HLA-E"
"ATF3","MAPK14"
"ATF3","PDLIM7"
"ATF3","TKT"
"ATF3","SOD2"
"ATF3","ACTB"
"ATF3","TNFSF10"
"ATF3","SOCS3"
"ATF3","NFKBIA"
"ATF3","TXN"
"ATF3","TGFBR2"
"ATF3","MCL1"
"ATF3","PTEN"
"ATF3","CLU"
"ATF3","CCND3"
"ATF3","BCL2L1"
"ATF3","SPARC"
"ATF3","PRKACA"
"ATF3","RBL2"
"ATF3","PSEN1"
"ATF3","VIM"
"TBX21","HSP90AA1"
"TBX21","RASSF1"
"TBX21","HLA-DRB1"
"TBX21","GSTP1"
"TBX21","CDKN1B"
"TBX21","PCNA"
"TBX21","HSPA1A"
"TBX21","SQSTM1"
"TBX21","OGA"
"TBX21","CSF1R"
"TBX21","MAPK14"
"TBX21","CD14"
"TBX21","SOD2"
"TBX21","TNFSF10"
"TBX21","TXN"
"TBX21","TGFBR2"
"TBX21","CLU"
"TBX21","BCL2L1"
"EOMES","HSP90AA1"
"EOMES","CDKN1A"
"EOMES","RASSF1"
"EOMES","HLA-DRB1"
"EOMES","GSTP1"
"EOMES","CDKN1B"
"EOMES","PCNA"
"EOMES","HSPA1A"
"EOMES","SQSTM1"
"EOMES","OGA"
"EOMES","CSF1R"
"EOMES","HMOX1"
"EOMES","MAPK14"
"EOMES","SOD2"
"EOMES","TNFSF10"
"EOMES","NFKBIA"
"EOMES","TXN"
"EOMES","TGFBR2"
"EOMES","PTEN"
"EOMES","CLU"
"EOMES","SPARC"
"EOMES","PSEN1"
"EOMES","VIM"
"ETS1","HSP90AA1"
"ETS1","RASSF1"
"ETS1","AKT1"
"ETS1","CDKN1B"
"ETS1","PCNA"
"ETS1","SQSTM1"
"ETS1","OGA"
"ETS1","CSF1R"
"ETS1","HMOX1"
"ETS1","TXN"
"NR4A1","HSP90AA1"
"NR4A1","CDKN1A"
"NR4A1","NDRG1"
"NR4A1","GADD45B"
"NR4A1","TIMP1"
"NR4A1","HLA-DRB1"
"NR4A1","VEGFA"
"NR4A1","CXCR4"
"NR4A1","DUSP1"
"NR4A1","GSTP1"
"NR4A1","PER1"
"NR4A1","TGFB1"
"NR4A1","PCNA"
"NR4A1","HSPA1A"
"NR4A1","SQSTM1"
"NR4A1","OGA"
"NR4A1","CSF1R"
"NR4A1","HMOX1"
"NR4A1","HLA-E"
"NR4A1","MAPK14"
"NR4A1","PDLIM7"
"NR4A1","TKT"
"NR4A1","SOD2"
"NR4A1","ACTB"
"NR4A1","TNFSF10"
"NR4A1","SOCS3"
"NR4A1","TXN"
"NR4A1","TGFBR2"
"NR4A1","MCL1"
"NR4A1","CLU"
"NR4A1","CCND3"
"NR4A1","MAT2A"
"NR4A1","BCL2L1"
"NR4A1","SPARC"
"NR4A1","PRKACA"
"NR4A1","RBL2"
"NR4A2","HSP90AA1"
"NR4A2","CDKN1A"
"NR4A2","RASSF1"
"NR4A2","GADD45B"
"NR4A2","TIMP1"
"NR4A2","HLA-DRB1"
"NR4A2","VEGFA"
"NR4A2","CXCR4"
"NR4A2","DUSP1"
"NR4A2","AKT1"
"NR4A2","GSTP1"
"NR4A2","CDKN1B"
"NR4A2","PER1"
"NR4A2","PCNA"
"NR4A2","HSPA1A"
"NR4A2","SQSTM1"
"NR4A2","OGA"
"NR4A2","CSF1R"
"NR4A2","HMOX1"
"NR4A2","HLA-E"
"NR4A2","MAPK14"
"NR4A2","CD14"
"NR4A2","PDLIM7"
"NR4A2","SOD2"
"NR4A2","ACTB"
"NR4A2","TNFSF10"
"NR4A2","NFKBIA"
"NR4A2","TXN"
"NR4A2","CLU"
"NR4A2","MAT2A"
"NR4A2","BCL2L1"
"NR4A2","SPARC"
"NR4A2","PSEN1"
"NR4A2","VIM"
"RUNX3","HSP90AA1"
"RUNX3","CDKN1A"
"RUNX3","RASSF1"
"RUNX3","NDRG1"
"RUNX3","TIMP1"
"RUNX3","HLA-DRB1"
"RUNX3","AKT1"
"RUNX3","GSTP1"
"RUNX3","CDKN1B"
"RUNX3","PER1"
"RUNX3","TGFB1"
"RUNX3","PCNA"
"RUNX3","HSPA1A"
"RUNX3","SQSTM1"
"RUNX3","OGA"
"RUNX3","CSF1R"
"RUNX3","HMOX1"
"RUNX3","MAPK14"
"RUNX3","CD14"
"RUNX3","TNFSF10"
"RUNX3","TXN"
