cluster_uid,target,sources,n_sources,method
394de12b3e5d,ACTB,ARID3A;ATF3;ATF6;BCL6;BHLHE40;CEBPA;CEBPD;CREB5;HHEX;HTATIP2;IRF2;JDP2;JUN;KLF13;MAFF;MEF2A;MLXIP;MNT;NR4A1;NR4A2;RARA;SRF;STAT5B;TFEB;TRIM21;ZBTB7B,26,exp05-coregnet
664ef2b83528,AKT1,ARNT;ATF6B;BACH1;BCLAF1;CBFB;CIC;CREB3;CTBP1;CTCF;CTNNB1;CXXC1;DMAP1;E4F1;ELF1;ELF4;EP300;ETS1;EWSR1;GTF2F1;HDAC1;ID2;IKZF1;IRF3;IRF8;KDM2A;KDM5A;KLF1;KMT2B;LDB1;LRRFIP1;MAZ;MBD1;MEF2D;MZF1;NCOA1;NCOA3;NCOR2;NFE2L1;NONO;NR4A2;PBX2;PPARD;RCOR1;RUNX3;RXRB;SF1;SFPQ;SP2;SREBF2;STAT2;STAT5A;TCF7;UBTF;YY1;ZBTB17;ZBTB7A;ZEB2;ZGPAT;ZNF217;ZNF266;ZNF335;ZNF384,62,exp05-coregnet
0e2f12b4c55d,BCL2L1,ATF3;ATF6;BHLHE40;CEBPA;CEBPD;CREB5;DDIT3;FOS;GATA1;HHEX;HTATIP2;JDP2;JUN;KLF1;KLF13;MAFF;MEF2A;MXI1;NR4A1;NR4A2;PHF1;RUNX3;TBX21;TRIM21;ZBTB18;ZBTB7B,26,exp05-coregnet
e0e9930083db,CCND3,ARID3A;ATF3;ATF6;BHLHE40;CEBPD;CREB5;HHEX;HLX;HTATIP2;IRF2;JDP2;KLF13;KLF16;MAFF;MEF2A;MLX;MLXIP;MNT;NR4A1;PBX2;SP1;SPI1;SRF;STAT5B;TFEB;TRIM21;ZBTB18;ZBTB7B;ZXDC,29,exp05-coregnet
f731be899de7,CD14,ARID3A;ATF6;BATF;BCL6;BHLHE40;CEBPA;CEBPD;CREB5;HHEX;HLX;HTATIP2;IRF2;IRF5;JDP2;JUN;LMO2;MEF2A;NFE2;NFKB1;NR4A2;POU2F2;RARA;RUNX3;SP1;SPI1;STAT5B;TBX21;TFEB;TRIM21;ZBTB7B,30,exp05-coregnet
f74944311da1,CD44,ARID3A;ATF6;BACH1;BATF;BCL6;CEBPA;CEBPD;CREB5;ELF4;ETV6;HHEX;HTATIP2;IRF2;JUN;KLF13;KLF16;KLF7;MBD2;MEF2A;MTF1;NFE2;NFKB1;RARA;SP1;SP100;SRF;STAT5B;TRIM21;ZBTB18;ZBTB7B;ZNF217,31,exp05-coregnet
8dcf5fd59c25,CDKN1A,ATF3;BHLHE40;CEBPD;CREB5;EGR1;EOMES;HHEX;HTATIP2;JUN;MAFF;NR4A1;NR4A2;RUNX3,13,exp05-coregnet
cd849bd0aa85,CDKN1B,BACH1;BCLAF1;CBFB;CTCF;CTNNB1;ELF1;EOMES;EP300;ETS1;FLI1;FOS;HIF1A;HMGB1;ID2;KDM2A;KDM5A;KLF1;KLF3;KLF6;LRRFIP1;MBD1;NCOA3;NONO;NR3C1;NR4A2;PRDM1;RLF;RUNX3;STAT4;TBX21;TCF7;VEZF1;ZBTB4;ZEB2;ZHX2;ZNF217;ZNF266;ZNF384,38,exp05-coregnet
10545d94cb72,CLU,ATF3;ATF6;BATF;BCL6;BHLHE40;CEBPD;CREB5;EGR1;EOMES;FOS;HHEX;HTATIP2;JUN;MAFF;NFE2;NR4A1;NR4A2;RUNX3;SPI1;TBX21;TRIM21,21,exp05-coregnet
8b28d5b5890b,CSF1R,ATF3;BHLHE40;EGR1;EOMES;ETS1;FOS;JUN;JUND;NCOR2;NR4A1;NR4A2;RUNX3;SND1;SSRP1;STAT4;TBX21;TCF7;ZBTB4,18,exp05-coregnet
