"Regulator","Target"
"PRRX1","FN1"
"PRRX1","HLA-DRB1"
"JUNB","FN1"
"JUNB","TAGLN"
"JUNB","HSPA1A"
"JUNB","HBB"
"JUNB","SOD2"
"JUNB","HLA-DRB1"
"JUNB","SOCS3"
"JUNB","CD44"
"JUNB","GADD45B"
"JUNB","TIMP1"
"JUNB","CDKN1C"
"JUNB","FASN"
"JUN","FN1"
"JUN","TAGLN"
"JUN","PER1"
"JUN","HSPA1A"
"JUN","ACTA2"
"JUN","HBB"
"JUN","HLA-DRB1"
"JUN","MCL1"
"JUN","SOCS3"
"JUN","CD44"
"JUN","PDLIM7"
"JUN","GADD45B"
"JUN","DUSP1"
"JUN","TIMP1"
"JUN","CDKN1C"
"JUN","PDK4"
"JUN","CRYAB"
"JUN","FASN"
"JUN","TIMP3"
"JUN","MT1A"
"JUN","CD14"
"JUN","ID3"
"FOS","FN1"
"FOS","TAGLN"
"FOS","PER1"
"FOS","HSPA1A"
"FOS","HBB"
"FOS","SOD2"
"FOS","HLA-DRB1"
"FOS","MCL1"
"FOS","SOCS3"
"FOS","CD44"
"FOS","GADD45B"
"FOS","DUSP1"
"FOS","TIMP1"
"FOS","CDKN1C"
"FOS","CRYAB"
"FOS","FASN"
"FOS","APOE"
"FOS","ID3"
"ATF3","FN1"
"ATF3","TAGLN"
"ATF3","PER1"
"ATF3","HSPA1A"
"ATF3","ACTA2"
"ATF3","HBB"
"ATF3","SOD2"
"ATF3","HLA-DRB1"
"ATF3","MCL1"
"ATF3","SOCS3"
"ATF3","CD44"
"ATF3","PDLIM7"
"ATF3","GADD45B"
"ATF3","DUSP1"
"ATF3","TIMP1"
"ATF3","TNFSF10"
"ATF3","CDKN1C"
"ATF3","PDK4"
"ATF3","CRYAB"
"ATF3","FASN"
"ATF3","APOE"
"ATF3","TIMP3"
"ATF3","MT1A"
"ATF3","CD14"
"ATF3","ID3"
"ATF3","CLU"
"BHLHE40","FN1"
"BHLHE40","TAGLN"
"BHLHE40","ACTA2"
"BHLHE40","HBB"
"BHLHE40","SOD2"
"BHLHE40","HLA-DRB1"
"BHLHE40","MCL1"
"BHLHE40","CD44"
"BHLHE40","PDLIM7"
"BHLHE40","GADD45B"
"BHLHE40","DUSP1"
"BHLHE40","TIMP1"
"BHLHE40","CDKN1C"
"BHLHE40","PDK4"
"BHLHE40","CRYAB"
"BHLHE40","FASN"
"BHLHE40","APOE"
"BHLHE40","TIMP3"
"BHLHE40","MT1A"
"PPARG","VEGFA"
"PPARG","MT1A"
"PPARG","TAGLN"
"PPARG","ACTA2"
"PPARG","MCL1"
"PPARG","CD44"
"PPARG","PDLIM7"
"PPARG","TIMP1"
"PPARG","TNFSF10"
"CEBPA","VEGFA"
"CEBPA","FASN"
"CEBPA","TAGLN"
"CEBPA","PER1"
"CEBPA","MCL1"
"CEBPA","DUSP1"
"CEBPA","TIMP1"
"CEBPA","CLU"
"MLXIPL","VEGFA"
"MLXIPL","FASN"
"MLXIPL","MT1A"
"MLXIPL","CD14"
"MLXIPL","TAGLN"
"MLXIPL","ACTA2"
"MLXIPL","SOD2"
"MLXIPL","MCL1"
"MLXIPL","GADD45B"
"MLXIPL","TIMP1"
"MLXIPL","CLU"
"RXRA","CDKN1C"
