cluster_uid,target,sources,n_sources,silhouette_score,note
8147ff783d95,ACTA2,PPARG;ID4;CEBPA;SRF;FHL2;MLXIPL;LDB1;VEZF1;HES4;BHLHE40;PHF1;SOX10;HES1;JUN;ZBTB4;ERF;MEF2D;ARID5A;NR1D1;CXXC1;IRF3;HSF4;ETV6;BHLHE41;CIC;NR2F2;PBX2;ING4;STAT5A;TFAP2C;TCF7L1;SMARCA1,32,0.4804,exp05_breast-coregtor-r1
2fb24553423c,ACTB,JUN;SRF;BHLHE40;ATF3;DDIT3;NFE2L2;KLF6;RELA;NR1D1;RARA;ARID5A;ETV6;NFKB2;BHLHE41;HES1;CREB3L2;SND1;HIF1A;ID2;BCL3;MAFF;ID4;HES4;NFKB1;HSF1;PPARD;MAFK,27,0.0,exp05_breast-coregtor-r1
08f886f4d396,APOE,TRPS1;ELF3;IRX3;PPARG;MLXIPL;CREB3L4;NR1H3;XBP1;CEBPA;GATA3;LDB1;TFAP2C;VEZF1;SMARCC1;SPDEF;CREBZF;SOX10;ING4;ELF1;BCLAF1;CXXC1;TWIST2;EHF;FHL2,24,0.4692,exp05_breast-coregtor-r1
710ceaf10d7e,APP,VEZF1;SOX10;ELF3;SMARCC1;PPARG;CTNNB1;ZNF384;HDAC1;IRX3;TRPS1;NONO;CREB3L4;CIC;PHF1;MBD1;GATA3;KDM2A;TFAP2C;SOX4;LDB1;EP300;SF1;EHF;ING4;BCLAF1;MXI1;NR2F1;SPDEF;XBP1;CREBZF;ATF6B;GTF2F1;FHL2;EWSR1;MLXIPL;SFPQ;SMARCA5,37,0.0,exp05_breast-coregtor-r1
d77d4905fee5,BCL2L1,SND1;GTF2F1;SSRP1;HSF1;CREB3;FOXO3;NONO;NR1H2;MXI1;HMGA1;ELF1;APEX1;TRIM28;RELA;STAT3;KMT2B;XBP1;HBP1;SMARCC1;KLF9;MBD2;CREB3L2;EWSR1;SF1;SNAI2;E2F4;SPDEF;ELF3;ZNF384;ZBTB16;ATF4;CEBPD;NCOR2,33,0.3968,exp05_breast-coregtor-r1
31c6ae5a0908,CD14,KLF4;FLI1;TWIST2;SND1;HLX;ID2;MEOX2;CEBPA;SMAD3;TWIST1;EBF1;HMGA1;TFE3;RXRA;ZBTB7B;EHF;MLX;NR2F2;SOX17;ENO1;TBX3;KLF2;ETS1;SOX10;PPARG;ESRRA;EPAS1;PRRX1;NR4A1;KLF13;AHR;TBX2;NFATC4;MLXIPL,34,0.49,exp05_breast-coregtor-r1
c22cdc17ee30,CD44,LRRFIP1;BCLAF1;BHLHE40;SMARCA1;PPARD;VEZF1;RELA;TBX3;NONO;NFKB1;SFPQ;CEBPA;SOX4;ETV6;RARA;NFE2L2;SP100;NFKB2;MAX;ERF;BCL3;XBP1;ETS2;UBP1;PBX2;SMARCC1;JUND;EWSR1;JUN;ID2;ELF1;PPARG;SF1;MLXIPL;TRPS1;HES1,36,0.0,exp05_breast-coregtor-r1
cadfbb928d91,CDK4,HDAC3;HDAC1;ZNF692;CREB3;SSRP1;GTF2F1;SND1;TRIM28;RFXANK;APEX1;ZNF32;E2F4;NONO;E4F1;ATF6B;CXXC1;SNAI2;SMARCC1;ZGPAT;THAP11;OSR1;RELA;ZNF384;EPAS1;NFKB1;TEAD2;CREB3L4;IRX3,28,0.0,exp05_breast-coregtor-r1
5cf8a483e751,CDKN1A,NR4A1;JUNB;ETS2;SOX17;FOSL2;HIF1A;NFIL3;MAFF;HLX;KLF11;MYC;ATF3;CEBPD;FOS;ZBTB7B;HSF1,16,0.5238,exp05_breast-coregtor-r1
5291ea0f27bf,CDKN1C,RXRA;KLF15;PPARG;FOXO1;ETV6;MXD4;STAT5A;CEBPA;TEAD1;NFKB2;SP100;BHLHE40;SMARCC1;ARID5A;MLXIPL;JUN;TFE3;ID1,18,0.0,exp05_breast-coregtor-r1
