"Regulator","Target"
"DBP","PRKACA"
"DBP","ACTB"
"DBP","STMN1"
"DBP","CARM1"
"DBP","FASN"
"ZNF692","PRKACA"
"ZNF692","ACTB"
"ZNF692","BMI1"
"ZNF692","MAT2A"
"ZNF692","FASN"
"HSF4","PRKACA"
"HSF4","ACTB"
"HSF4","NFKBIA"
"HSF4","PER1"
"HSF4","MAT2A"
"HSF4","FASN"
"HMGB2","PRKACA"
"HMGB2","SOD2"
"HMGB2","ACTB"
"HMGB2","SPARC"
"HMGB2","MCL1"
"HMGB2","BMI1"
"HMGB2","TAGLN"
"HMGB2","HLA-E"
"HMGB2","NFKBIA"
"HMGB2","PER1"
"HMGB2","MAT2A"
"MESP1","PRKACA"
"MESP1","SOD2"
"MESP1","ACTB"
"MESP1","BMI1"
"MESP1","STMN1"
"MESP1","HSP90AA1"
"MESP1","CARM1"
"MESP1","FASN"
"MEIS3","PRKACA"
"MEIS3","PIK3R1"
"MEIS3","ACTB"
"MEIS3","BMI1"
"MEIS3","STMN1"
"MEIS3","CARM1"
"MEIS3","FASN"
"MAFK","PRKACA"
"MAFK","ACTB"
"MAFK","SPARC"
"MAFK","BMI1"
"MAFK","STMN1"
"MAFK","CARM1"
"MAFK","MAT2A"
"MAFK","FASN"
"NEUROD2","PRKACA"
"NEUROD2","PIK3R1"
"NEUROD2","ACTB"
"NEUROD2","HSPA4"
"NEUROD2","BMI1"
"NEUROD2","STMN1"
"NEUROD2","CARM1"
"NEUROD2","FASN"
"NEUROD2","SPARC"
"ELK1","PRKACA"
"ELK1","SOD2"
"ELK1","PIK3R1"
"ELK1","ACTB"
"ELK1","HSPA4"
"ELK1","BMI1"
"ELK1","STMN1"
"ELK1","HSP90AA1"
"ELK1","CARM1"
"ELK1","FASN"
"MLXIPL","PRKACA"
"MLXIPL","SOD2"
"MLXIPL","PIK3R1"
"MLXIPL","ACTB"
"MLXIPL","BMI1"
"MLXIPL","STMN1"
"MLXIPL","CARM1"
"MLXIPL","MAT2A"
"MLXIPL","FASN"
"NR1D1","PRKACA"
"NR1D1","ACTB"
"NR1D1","HSPA4"
"NR1D1","PER1"
"NR1D1","CARM1"
"NR1D1","MAT2A"
