cluster_uid,target,sources,n_sources,method
ce6376e15a5d,ACTB,ARID5A;ATF2;BCL6;BCLAF1;BHLHE40;CEBPB;CEBPD;CEBPG;CUX2;DBP;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;HMGB2;HSF4;JAZF1;JUN;JUNB;KLF9;LMO2;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NKX6-2;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;STAT3;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189;ZNF692,65,exp05-coregnet
08ed0cae856c,APOE,CEBPD;CUX2;EGR3;EMX2;FOS;HES1;ID4;JUNB;KLF15;MEF2C;MYRF;NKX6-2;PEG3;RBFOX2;SATB1;SOX2;SOX9;SREBF1;THRB,19,exp05-coregnet
b9009f10465e,APP,ATF2;BCLAF1;BHLHE40;CUX2;EGR1;EGR3;ETS2;ETV5;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MEF2A;MEF2C;MEF2D;MTA3;MYRF;NFE2L1;NFIL3;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;TBPL1;THRB;UBP1;XBP1;ZBTB16;ZBTB18,42,exp05-coregnet
1c2f9dd84a10,BMI1,ARID5A;ATF2;BCLAF1;BHLHE40;CEBPG;CUX2;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;HMGB2;JAZF1;JUN;JUNB;KLF9;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NKX6-2;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;STAT3;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZEB2;ZNF189;ZNF692,59,exp05-coregnet
b01c7e29fe66,CARM1,ARID5A;ATF2;BCL6;BCLAF1;BHLHE40;CEBPG;CUX2;DBP;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;ETV5;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189,58,exp05-coregnet
226b49a90930,CDKN1A,CEBPD;FOS;JUN;JUNB,4,exp05-coregnet
6a77255c5249,CRYAB,CEBPD;CUX2;FOS;JUN;MYRF;NFIL3;NKX6-2;SOX10,8,exp05-coregnet
2913d868bf7e,DUSP1,EGR1;FOS;FOSL2;HES1;JUN;JUNB;NR4A1;PEG3,8,exp05-coregnet
2b6bf40ac570,FASN,ARID5A;ATF2;BCLAF1;BHLHE40;CEBPG;CUX2;DBP;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;ETV5;FEZF2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;HSF4;JAZF1;JUN;JUNB;KLF9;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NKX6-2;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189;ZNF692,61,exp05-coregnet
34f8f4e39b44,GADD45B,CEBPD;FOS;FOSL2;JUN;JUNB;NFIL3,6,exp05-coregnet
e040785dd7a8,HBA2,CUX2;EGR1;NR4A1;PEG3,4,exp05-coregnet
e7f364b4d634,HBB,EGR1;NR4A1;PEG3,3,exp05-coregnet
1b75c870f2f3,HLA-DRB1,CEBPD;FOS;JUN;MYRF;NFIL3,5,exp05-coregnet
c0c471a23a62,HLA-E,ARID5A;BCL6;CEBPD;CUX2;DDIT3;FOS;FOSL2;HMGB2;ID1;JUN;JUNB;LMO2;MYRF;NFIL3;NKX6-2;SCRT1;SOX9;STAT3,18,exp05-coregnet
baef286cc319,HSP90AA1,ARID5A;ATF2;BCL6;BCLAF1;BHLHE40;CEBPB;CEBPD;CEBPG;CUX2;DDIT3;EGR1;EGR3;ELK1;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MEF2A;MEF2C;MEF2D;MESP1;MTA3;MYRF;NFE2L1;NFIL3;NKX6-2;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189,53,exp05-coregnet
b4663ba27773,HSPA1A,CEBPD;EGR1;FOS;JUN;JUNB;NR4A1,6,exp05-coregnet
7e5aaeb71428,HSPA4,ARID5A;ATF2;BCLAF1;BHLHE40;CEBPG;CUX2;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MEF2A;MEF2C;MEF2D;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NKX6-2;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189,52,exp05-coregnet
51e25acde434,ID3,CEBPD;EGR1;FOS;ID1;JUNB;LMO2;MEF2C;MYRF;NKX6-2;NR4A1,10,exp05-coregnet
1d3e358371ec,MAT2A,ARID5A;ATF2;BCL6;BCLAF1;BHLHE40;CEBPD;CEBPG;CUX2;DDIT3;EGR1;EGR3;ERF;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;HMGB2;HSF4;JAZF1;JUN;JUNB;KLF9;MAFK;MEF2A;MEF2C;MEF2D;MLXIPL;MTA3;MYRF;NFE2L1;NFIL3;NKX6-2;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;STAT3;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZEB2;ZNF189;ZNF692,59,exp05-coregnet
45c8e8944a11,MCL1,ARID5A;BCL6;CEBPB;CEBPD;DDIT3;EGR1;ERF;FOS;FOSL2;HMGB2;JUN;JUNB;KLF15;LMO2;MYRF;NFIL3;NKX6-2;NR4A1;PEG3;SOX9;STAT3;XBP1,22,exp05-coregnet
1c5fbfeaac0e,NDRG1,CEBPD;CUX2;FOXO4;MYRF;NKX6-2;OLIG1;SOX10;ZEB2,8,exp05-coregnet
d63bc65a97eb,NFKBIA,ARID5A;BCL6;CEBPB;CEBPD;CEBPG;CUX2;DDIT3;EGR1;ERF;FOS;FOSL2;HMGB2;HSF4;ID1;JUN;JUNB;KLF15;LMO2;MYRF;NFIL3;NKX6-2;NR4A1;SCRT1;SOX2;SOX9;STAT1;STAT2;STAT3;XBP1;ZNF189,30,exp05-coregnet
28ab17e6d727,PDK4,CEBPD;EGR1;FOS;PEG3;SOX9,5,exp05-coregnet
