"Regulator","Target"
"UBP1","HSP90AA1"
"UBP1","APP"
"UBP1","SPARC"
"UBP1","ACTA2"
"UBP1","TXN"
"UBP1","TGFBR2"
"UBP1","ACTB"
"UBP1","MAT2A"
"UBP1","MCL1"
"UBP1","FGFR1"
"UBP1","PCNA"
"UBP1","TAGLN"
"UBP1","ID3"
"UBP1","CLU"
"UBP1","RHOA"
"UBP1","CDK4"
"UBP1","SUMO1"
"SRF","HSP90AA1"
"SRF","GADD45B"
"SRF","VEGFA"
"SRF","GSTP1"
"SRF","CRYAB"
"SRF","PER1"
"SRF","PDK4"
"SRF","BCL2L1"
"SRF","ACTB"
"SRF","MCL1"
"SRF","FGFR1"
"SRF","CDKN1A"
"SRF","FN1"
"XBP1","HSP90AA1"
"XBP1","GADD45B"
"XBP1","SPARC"
"XBP1","VEGFA"
"XBP1","TIMP1"
"XBP1","TXN"
"XBP1","PER1"
"XBP1","PDK4"
"XBP1","BCL2L1"
"XBP1","ACTB"
"XBP1","MAT2A"
"XBP1","MCL1"
"XBP1","CDKN1A"
"XBP1","FN1"
"XBP1","NDRG1"
"XBP1","PDLIM7"
"XBP1","NFKBIA"
"XBP1","RHOA"
"XBP1","CDK4"
"RUVBL1","HSP90AA1"
"RUVBL1","GADD45B"
"RUVBL1","VEGFA"
"RUVBL1","GSTP1"
"RUVBL1","TXN"
"RUVBL1","CRYAB"
"RUVBL1","TGFBR2"
"RUVBL1","BCL2L1"
"RUVBL1","ACTB"
"RUVBL1","MAT2A"
"RUVBL1","MCL1"
"RUVBL1","TAGLN"
"RUVBL1","CDKN1A"
"RUVBL1","FN1"
"RUVBL1","ERBB2"
"RUVBL1","PDLIM7"
"RUVBL1","RHOA"
"RUVBL1","CDK4"
"RUVBL1","SUMO1"
"NFX1","HSP90AA1"
"NFX1","APP"
"NFX1","SPARC"
"NFX1","ACTA2"
"NFX1","GSTP1"
"NFX1","TXN"
"NFX1","CRYAB"
"NFX1","PER1"
"NFX1","TGFBR2"
"NFX1","PDK4"
"NFX1","ITGB1"
"NFX1","OGA"
"NFX1","BCL2L1"
