cluster_uid,target,sources,n_sources,method
2f5549eca4bc,ACTA2,APEX1;CREB3;CUX1;DRAP1;ENO1;EP300;EWSR1;GTF2F1;HBP1;HCFC1;HDAC3;HIF1A;KLF13;LRRFIP1;MBD1;MBD2;MEF2A;MLX;NFIC;NFX1;NFYB;NONO;NPAS2;PBX3;RBFOX2;SFPQ;SMARCA1;SMARCA5;SND1;TEAD1;TFDP1;TFE3;UBP1;YY1;ZBTB4;ZEB1,36,exp05-coregnet
7dbc30f43747,ACTB,ABL1;APEX1;ARNT;CBFB;CEBPG;CREB3;CTBP1;CXXC1;DRAP1;E2F4;E4F1;ELK1;ENO1;GTF2F1;HIF1A;HMGA1;KDM2A;KLF6;LRRFIP1;MAFG;MBD1;MBD2;MLXIP;NCOR2;NFE2L2;NFX1;NONO;NPAS2;PHF1;PPARD;RELA;RFXANK;RUVBL1;SF1;SFPQ;SND1;SRF;SSRP1;STAT6;TFE3;TRIM28;UBP1;XBP1;ZBTB7A;ZBTB7B;ZGPAT;ZNF384,47,exp05-coregnet
406d6e133ab7,AKT1,APEX1;CUX1;DRAP1;EWSR1;GTF2F1;HIF1A;HSF2;LRRFIP1;MEF2A;NFIC;PBX3;PPARA;SMARCA1;SND1;TEAD1;ZBTB7B,16,exp05-coregnet
a8d9326c3d3b,APOE,ARID5A;ATF3;BHLHE40;CEBPD;EGR1;FHL2;FOS;FOSL2;HES1;HEYL;JUN;JUNB;JUND;MAFF;NR1D1;NR4A1,16,exp05-coregnet
9cd78cbcc1fb,APP,APEX1;CUX1;EP300;FOXJ3;HBP1;HIF1A;HMGB1;HSF2;MBD2;MEF2A;NFIC;NFIX;NFX1;PBX3;SMARCA1;SMARCA5;SND1;TEAD1;TFDP1;THRA;UBP1;UBTF;VEZF1;ZEB1,24,exp05-coregnet
19df87415e55,BCL2L1,APEX1;ARNT;ATF6B;CBFB;CEBPG;CTBP1;CXXC1;DRAP1;E2F4;E4F1;ELK1;ENO1;EPAS1;EWSR1;GTF2F1;HDAC1;HIF1A;HMGA1;KDM2A;KLF6;LRRFIP1;MAFG;MBD1;MBD2;MLXIP;NFX1;NONO;NPAS2;PPARD;RELA;RFXANK;RUVBL1;SND1;SRF;SSRP1;TBL1XR1;TFE3;TRIM28;XBP1;ZBTB7A;ZBTB7B;ZGPAT;ZNF384,43,exp05-coregnet
f5fb8e7cc665,CDK4,APEX1;CUX1;DRAP1;ENO1;EWSR1;GTF2F1;HIF1A;HMGA1;HSF2;LRRFIP1;MLX;NFIC;NFX1;NONO;NPAS2;PBX3;RUVBL1;SMARCA1;SMARCA5;SND1;SSRP1;TEAD1;TRIM28;UBP1;XBP1;YBX1;ZBTB7B,27,exp05-coregnet
f1e58f59fdc7,CDKN1A,APEX1;ARID5A;ATF3;ATF4;BCL3;BHLHE40;CBFB;CEBPB;CEBPD;DRAP1;EGR1;ELK1;ENO1;ETS2;FOSL2;GTF2F1;HIF1A;HMGA1;JUNB;KLF6;LRRFIP1;MAFF;MAFG;NFIL3;NFX1;NPAS2;NR4A1;PPARD;RELA;RUVBL1;SF1;SND1;SRF;SSRP1;STAT3;TFE3;XBP1;ZBTB7B,38,exp05-coregnet
a47efdc894c7,CDKN1C,ARID5A;ATF3;BCL3;BCL6B;BHLHE40;CEBPD;EGR1;ETS2;FOS;FOSL2;HES1;HES4;HEYL;JUN;JUNB;JUND;KLF4;MAFF;NR4A1;RARA;SOX7,21,exp05-coregnet
fe4230a347ad,CLU,APEX1;CUX1;DRAP1;ENO1;GTF2F1;HAND1;HBP1;HCFC1;HIF1A;HMGA1;HSF2;LRRFIP1;MEF2A;MITF;NFIC;NFIX;NFX1;NFYB;NONO;NPAS2;PBX3;PPARA;SMARCA1;SMARCA5;SND1;TEAD1;UBP1;ZBTB7B,28,exp05-coregnet
