cluster_uid,target,sources,n_sources,method
109982b6f344,ACTA2,ABL1;APEX1;ARID5A;ATF6B;BCL3;BCL6;CEBPB;CEBPD;CIC;CREBZF;EGR1;ENO1;EPAS1;FOS;HDAC1;HMGA1;HMGB2;HTATIP2;ID4;KLF2;KLF9;MYRF;NCOR2;NFATC4;NFKB1;NONO;NR2F1;NR2F2;NR4A2;PML;SFPQ;SKI;SND1;SOX9;SSRP1;STAT2;STAT3;STAT6;TEAD2;THRA;XBP1;ZBTB4,42,exp05-coregnet
1599da99d502,ACTB,APEX1;ATF4;ATF6B;BCL6;BCLAF1;CEBPB;CREB3;CREBZF;CTNNB1;CXXC1;DRAP1;E2F4;ELF3;ENO1;EWSR1;GTF2F1;HDAC1;HDAC3;HIF1A;HMGA1;HMGB2;HNF1B;ID4;JUN;JUNB;KDM2A;KLF6;LRRFIP1;MBD2;MEF2D;MYRF;NCOR2;NFATC4;NFE2L2;NFKB1;NFKB2;NONO;NPAS2;NR2F1;NR2F2;PML;RARA;RELA;RFX5;SF1;SFPQ;SIRT6;SKI;SMARCA1;SND1;SOX9;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT3;STAT5A;TRIM28;UBP1;VEZF1;XBP1;ZBTB4;ZNF384,64,exp05-coregnet
e6fc75c73ef0,APOE,ATF3;EGR1;HNF4A;MAF;MLXIPL;NFATC4;NR2F2;NR4A1;NR4A2,9,exp05-coregnet
cad1ff4d9872,APP,APEX1;ARNT;ATF6B;BCL3;BCL6;BCLAF1;CIC;CREBZF;CTNNB1;ELF3;EPAS1;ETS1;EWSR1;HDAC1;HIF1A;HMGA1;HMGB2;HOXB2;HOXB3;HOXD9;KLF6;LRRFIP1;MBD2;MECOM;MYRF;NCOR2;NFATC4;NFE2L1;NFE2L2;NFKB1;NFKB2;NPAS2;NR2F1;NR2F2;PBX2;PML;RELA;RELB;RFX5;SKI;SMARCA1;SND1;SOX9;SSRP1;STAT1;STAT3;STAT6;TEAD2;TFDP1;THAP11;THRA;TRIM28;UBP1;VEZF1;XBP1;ZBTB4,56,exp05-coregnet
9e50250525d8,CD14,ARID5A;BCL3;BCL6;CEBPB;CEBPD;CIC;CTNNB1;ELF3;ENO1;ETS2;EWSR1;HIF1A;HNF1B;IRF9;MYRF;NCOR2;NFATC4;NFKB1;NFKB2;NPAS2;NR2F2;NR4A2;PAX8;PML;RELB;SND1;SOX9;STAT1;STAT2;STAT3;XBP1,31,exp05-coregnet
b71e387daf7e,CDK4,ABL1;APEX1;ARID5A;ARNT;ATF4;ATF6B;BCLAF1;CIC;CREB3;CTBP1;CTNNB1;CXXC1;DMAP1;DRAP1;E2F4;E4F1;ENO1;EWSR1;GTF2F1;GTF3A;HDAC1;HDAC3;HMGA1;HMGB1;HMGB2;HNF1B;HOXA5;HOXA9;HOXB2;HSF1;ID4;ING4;IRF3;KDM2A;KLF6;LDB1;MBD1;MBD2;MEF2D;MYRF;NCOR2;NFATC4;NFE2L2;NFIC;NFKB1;NFKB2;NFYC;NONO;NR2F1;NR2F2;PBX2;PHF1;PML;RELA;RFX5;RFXANK;RXRB;SF1;SFPQ;SIRT6;SKI;SMARCA1;SMARCC1;SND1;SP100;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT3;STAT5A;STAT5B;TFDP1;THAP11;TRIM28;UBP1;USF1;USF2;VEZF1;YBX1;ZBTB4;ZNF32;ZNF384,84,exp05-coregnet
8cb6edae1181,CDKN1A,ATF3;BCL3;BCL6;CEBPB;CEBPD;EGR1;ETS2;FOSL2;HIF1A;HMGA1;KLF6;MAFF;NFIL3;NFKB2;NR4A2;RELB;SOX9;STAT3;XBP1,19,exp05-coregnet
65bad54277cb,CDKN1C,ATF3;ATF4;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;EGR1;FOXI1;HMGA1;HMGB2;HNF4A;JUN;JUNB;KLF6;MAFF;NFIL3;NR1D1;NR2F1;NR4A1;NR4A2;SND1;SOX9,23,exp05-coregnet
c93382696c43,CLU,ARID5A;BCL3;BCL6;CEBPB;CEBPD;CIC;ELF3;HIF1A;HMGA1;HTATIP2;MYRF;NFATC4;NFKB1;NFKB2;NPAS2;NR2F1;PML;RELA;RELB;SND1;SOX9;SSRP1;STAT1;STAT3;XBP1,25,exp05-coregnet
29e322511759,CRYAB,ATF3;BCL3;BCL6;CEBPB;CEBPD;EGR1;HIF1A;HMGA1;HTATIP2;MLXIPL;NFIL3;NPAS2;NR4A1;NR4A2;PAX8;RELB;SOX9;XBP1,18,exp05-coregnet
