cluster_uid,target,sources,n_sources,silhouette_score,note
aae9bee0dc82,ACTA2,EPAS1;MEF2D;KLF9;SND1;STAT5A;ATF6B;STAT6;CTNNB1;ARNT;SRF;STAT2;SKI;EWSR1;ZBTB7B;NR2F2;NCOR2;GTF2F1;APEX1;KMT2B;HDAC1;NFIC;STAT3;KDM2A;NFATC4;CREBZF;XBP1,26,0.4243,exp05_kidney_cortex-coregtor-r1
78229faaecd4,ACTB,SSRP1;SND1;NFKB1;CTNNB1;SMARCA1;ARNT;CREB3;MEF2D;SRF;GTF2F1;STAT5A;STAT3;EWSR1;NONO;HDAC1;SKI;ABL1;STAT6;VEZF1;ATF6B;RELA;E4F1;BCLAF1;TRIM28;ETS1;APEX1;LRRFIP1;RFX5;KMT2B;NCOR2;KDM2A;UBP1;MBD1;CIC;SIRT6;HDAC3,36,0.3523,exp05_kidney_cortex-coregtor-r1
60605e0fc4e2,APOE,HOXB3;E4F1,2,0.3084,exp05_kidney_cortex-coregtor-r1
14d3cad666be,APP,NFIC;SSRP1;SKI;SMARCA1;CTNNB1;ATF6B;NFKB1;KDM2A;HDAC1;E4F1;VEZF1;ARNT;CIC;MBD1;BCLAF1;SIRT6;SFPQ;CREB3;TRIM28;NCOR2;LRRFIP1;NR2F2;THRA;EWSR1;KMT2B;ZBTB4;CTBP1;ZBTB7B;HDAC3;STAT6;SF1;RFX5;PBX2;NR1H2,34,0.3795,exp05_kidney_cortex-coregtor-r1
51f457e0c3d6,BCL2L1,GTF3A;ZBTB4,2,0.3231,exp05_kidney_cortex-coregtor-r1
56ab30503642,CD14,KLF13;NCOR2;MAFB;STAT2;SND1;CTNNB1;STAT3;NR2F1;ATF6B;MEF2D;ZBTB7B;GTF2F1;USF1;STAT5A;APEX1;EWSR1;ABL1;HDAC1;KMT2B;SKI;SSRP1;LRRFIP1;ARNT;NFATC4;PML;SRF;MYRF;KDM2A;DMAP1;SFPQ;ZBED1;NFIC,32,0.3283,exp05_kidney_cortex-coregtor-r1
8d386b74359e,CDK4,RFXANK;GTF2F1;CREB3;DRAP1;RFX5;HDAC3;NFYC;TRIM28;HMGB1;HDAC1;UBP1;SMARCC1;SSRP1;HSF1;NR1H2;NONO;EWSR1;APEX1;NFKB1;SMARCA1;TFDP1;ZNF76;THAP11;ATF6B;ZNF384;USF2;GTF3A;E4F1;SF1;YBX1;CTNNB1;BCLAF1;SND1;CIC,34,0.5512,exp05_kidney_cortex-coregtor-r1
0e63be75f7c1,CDKN1A,MAFF;RELA;DDIT3;ARID5A;NFIL3;NFKB2;SMAD3;RELB;FOSL2;BHLHE40;JUNB;XBP1;TFE3;HMGA1;ETS2;BCL3;CEBPD;HIF1A;CEBPB;NR1H2;JUN;RARA,22,0.0,exp05_kidney_cortex-coregtor-r1
090ae97f5a8b,CDKN1C,DDIT3;MAFF;NR1D1;BHLHE40;ETS2;NR1H2;JUND;JUNB;KLF6;ARID5A;HES1;JUN;ATF4;RELA;RORC;RELB;NFIL3;NFE2L2;HMGB2;FOXC1;HOXA9,21,0.3963,exp05_kidney_cortex-coregtor-r1
79aacee443c2,CLU,NFKB1;HTATIP2;XBP1;STAT3;STAT6;CTNNB1;SP1;TFE3;SND1;SP100;MEF2D;ARNT;MYRF;ATF6B;HMGB2;SSRP1;STAT5A;NONO;RFX5;NFE2L2;ZBTB7B;ETS1;SRF;KLF6;SMARCA1;STAT5B;SIRT6;ELF3;USF1;RARA;GTF2F1,31,0.3526,exp05_kidney_cortex-coregtor-r1
f05d74a23e78,CRYAB,TFE3;MAFG;KLF13;STAT6;HTATIP2;KLF15;XBP1;HIF1A;ZBTB7B;SP1;SIRT6;MLX;SND1;IRF9;NFE2L1;ESRRA;SOX9;NPAS2;EMX2;MLXIP;NR1H2;CTBP1;DRAP1;MBD1;STAT3;PAX8;MLXIPL;RXRA;ATF5;SMARCC1;CREB3;STAT5A;TFCP2L1;SALL1;BCL6;ENO1;STAT5B,37,0.3514,exp05_kidney_cortex-coregtor-r1
fc1087a93fce,DUSP1,FOS;NR1D1;ATF3;JUN;JUNB;JUND;NR4A1;EGR1;BHLHE40;NR4A2;HES1;STAT5B;SMAD7;CEBPB;KLF6;ID2,16,0.6105,exp05_kidney_cortex-coregtor-r1
1ee7390fe207,ERBB2,THRA;NFIC;SKI;ZBTB4;NFKB1;SSRP1;MBD1;TRIM28;HOXB7;ATF6B;SF1;THAP11;KMT2B;CTBP1;HDAC1;MEF2D;CIC;ZBTB7B;VEZF1;NR2F2;SIRT6;POU3F3;HOXB8;BCLAF1;HOXB9;TEAD2;HOXB2;HDAC3;NCOR2;MXD4;ZNF384;HOXB3;CREB3;LDB1;DMAP1;KDM2A;RXRB;ZBTB48;NFATC4;CTNNB1;UBP1;UBTF;YY1;E4F1;NR1H2,45,0.2738,exp05_kidney_cortex-coregtor-r1
de9372505af5,FN1,CTNNB1;ARNT;MEF2D;ATF6B;SKI;NCOR2;HDAC1;NFIC;NFATC4;NR2F2;EWSR1;SIRT6;CIC;STAT6;TRIM28;SRF;NFKB1;STAT2;SFPQ;THRA;KMT2B;SSRP1;RXRB;CXXC1;E4F1;CREBZF;MLXIP;GTF2F1;NR2F1;SMARCA1;THAP11;EPAS1;CREB3;UBP1,34,0.3543,exp05_kidney_cortex-coregtor-r1
c2b9670b004e,GADD45B,NFIL3;JUND;ATF3;ARID5A;FOSL2;JUN;JUNB;BHLHE40;NR4A1;KLF10;MAFF;EGR1;CEBPD;DDIT3;RELA;ATF4;MXI1,17,0.5325,exp05_kidney_cortex-coregtor-r1
344f37418eda,GSTP1,CREB3;TRIM28;ATF6B;SSRP1;HDAC1;SIRT6;E4F1;CTNNB1;CIC;HDAC3;DRAP1;E2F4;RXRB;EWSR1;NR1H2;GTF2F1;SKI;KMT2B;RFX5;MBD1;ZBTB17;APEX1;KDM2A;USF1;RFXANK;HSF1;SFPQ;NFKB1;DMAP1;SF1;NCOR2;ZBTB48;NFIC;STAT6;BCLAF1;CTBP1;VEZF1;ABL1;UBTF;CXXC1,40,0.4112,exp05_kidney_cortex-coregtor-r1
e493fae9fa57,HBA2,HOXD8;ZNF692,2,0.5277,exp05_kidney_cortex-coregtor-r1
