cluster_uid,target,sources,n_sources,method
8693ed435c32,ACTA2,ARID5A;ATF3;ELF3;FOSB;KDM5D;KLF15;NKX2-1,7,exp05-coregnet
86c07db16477,APOE,ATF3;FOSB;KDM5D;SOX7,4,exp05-coregnet
8d3844ad3c0d,CD14,EGR1;FOS;FOSB;HIF3A;KDM5D;KLF15;ZBTB16,7,exp05-coregnet
25b5911a35dc,CDKN1A,ARID5A;ARID5B;ATF3;BCL3;ETS2;FOSL2;HES1;IRF1;JUNB;KDM5D;KLF15;MAFF;MXD1;NFIL3;NFKB2;NR1D1;NR4A1;RELB;SMAD6;SOX7,20,exp05-coregnet
2d72e8f6632f,CLU,ARID5A;ATF3;FOSB;KDM5D;MXD1;NKX2-1;NR4A2;OSR1;SOX7,9,exp05-coregnet
97cd5ec666c0,CRYAB,ARID5A;ATF3;ELF3;FOSB;HES1;JUN;KDM5D;MAFF;MXD1;NKX2-1;NR1D1;NR4A1;SMAD6;SOX7;ZBTB16,15,exp05-coregnet
a10666440980,CXCR4,ATF3;ELF3;FOS;FOSB;HES1;KDM5D;MXD1;SOX7;ZBTB16,9,exp05-coregnet
ac1e72275eb3,DUSP1,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;HES1;JUN;JUNB;KDM5D;KLF2;KLF4;MAFF;MXD1;NR4A1;NR4A2;SNAI1;SOX7;ZBTB16,19,exp05-coregnet
61246cff4856,FASN,ARID5A;ATF3;BCL3;ELF3;FOSB;HES1;ID1;IRF1;KDM5D;KLF15;MXD1;NKX2-1;SMAD6;SOX7,14,exp05-coregnet
d8aa79136fe6,FN1,ARID5A;ARID5B;ATF3;BCL3;BHLHE40;FOS;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;NFIL3;NKX2-1;NR4A1;NR4A2;RELB;SMAD6;SOX7,19,exp05-coregnet
b7e112d63dc0,GADD45B,ARID5A;ATF3;BCL3;BHLHE40;IRF1;JUNB;KDM5D;KLF15;MAFF;MXD1;NFIL3;NFKB2;NKX2-1;NR4A1;RELB;SOX7,16,exp05-coregnet
d222f42201b4,HBA2,ARID5A;ATF3;BCL3;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;NKX2-1;SMAD6;SOX7,12,exp05-coregnet
7d43686b3782,HBB,ARID5A;ATF3;BCL3;FOS;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;NKX2-1;SMAD6;SOX7,13,exp05-coregnet
bbc419902009,HLA-DRB1,ARID5A;ELF3;FOSB;HIF3A;IRF1;KDM5D;KLF15;SMAD6;ZBTB16,9,exp05-coregnet
817fc92775f9,HLA-E,ARID5A;ATF3;BCL3;BCL6B;EPAS1;ETS1;ETS2;FOSB;FOXF1;HES1;IRF1;JUN;JUNB;KDM5D;KLF15;LMO2;MAFF;MXD1;MYRF;NFKB2;NKX2-1;NR1D1;RELB;SMAD6;SOX7;ZNF331,26,exp05-coregnet
5d6c0e23a4c4,HMOX1,ATF3;FOSB;KDM5D;NR4A1,4,exp05-coregnet
e2a52832783a,HSP90AA1,ARID5A;ATF3;FOSB;HES1;JUN;KDM5D;KLF15;MXD1;NKX2-1;NR4A2;SOX7,11,exp05-coregnet
b3637b7b3968,HSPA1A,ARID5A;ATF3;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;SOX7,9,exp05-coregnet
b53d7a098a8f,ID3,ATF3;EGR1;ELF3;FOS;FOSB;ID1;KDM5D;NR4A1;SMAD6;SMAD7;SNAI1;SOX18;ZBTB16,13,exp05-coregnet
83777bf58e8a,LDLR,BCL3;EGR1;ELF3;FOSB;HIF3A;ID1;KDM5D;MYC;SNAI1;ZBTB16,10,exp05-coregnet
b773ba0b5932,MT1A,ARID5A;BCL3;FOSB;IRF1;KDM5D;KLF15;MXD1;RELB;SMAD6,9,exp05-coregnet
