cluster_uid,target,sources,n_sources,silhouette_score,note
449768773657,ACTA2,SRF;DRAP1;NKX2-1;OSR1;SMARCA1;MAF;MAFK;HEYL;CREB3L2;TFE3;ABL1;NR2F1;CREB3;STAT5B;MEF2A;HSF1;SKI;ARID5B;HES4;ERF;NR2F2;SMAD7;ZBTB17;TBX2;ARNT;XBP1,26,0.0,exp05_lung-coregtor-r1
415e5ee9bd31,ACTB,SRF;DRAP1;CREB3;TEAD4;ENO1;YBX1;NKX2-1;APEX1;E2F4;RELB;SSRP1;HIF1A;SND1;STAT3;NFKB1;KLF15;GTF3A;ESRRA;ING4;LDB1;HMGA1,21,0.0,exp05_lung-coregtor-r1
1ebbccccb0ff,APOE,STAT5B;TEAD2;BCL6B;SRF;RELA;TFE3;NKX2-1;CREB3;MAFK;TEAD4;HSF1;NR1H3;CREB3L2;NFE2L2;RARA;ARID5B;ETS2;TBX4;ATF4;MAFB;HMGB1;LRRFIP1;USF2;ABL1;CEBPG;SF1;SKI;ELK3;ARNT;KLF3;NFKB1;ETS1;MLXIP;STAT3;NFIC,35,0.3587,exp05_lung-coregtor-r1
81efa41f77f3,APP,ELF1;KLF3;VEZF1;CEBPG;EPAS1;YY1;NFIC;ETS1;SKI;NFE2L1;MEF2A;HBP1;CTNNB1;LRRFIP1;SSRP1;FLI1;FOXO1;TBX3;MBD2,19,0.0,exp05_lung-coregtor-r1
ee1d2b613b33,BCL2L1,XBP1;ZBTB7B;IRF3;MAF;ESRRA;ENO1;CEBPG;SSRP1;STAT3;MLX;SREBF2;NR1H3;ID1;SND1;NCOR2;MEIS1;HMGA1;KLF13;ZBTB16,19,0.5183,exp05_lung-coregtor-r1
eebb348d193e,CD14,HSF4;HIF3A;NFKB1;ZBTB16;MXD4;EWSR1;FOXO3;E2F4;ENO1;STAT1;TEAD4;STAT3;KLF15;THRA;TBX5;SPI1;TEAD2;IRF3;SSRP1;KLF9;IRF1;APEX1;TFE3;MAFB;RELB;MZF1,26,0.4351,exp05_lung-coregtor-r1
b4314aaaebd6,CD44,HMGA1;MXD4;STAT3;NFIC;NFKB1;LDB1;NFIX;NFYB;HIF3A;EP300;STAT5A;CTBP1;IRF9;CREBL2;KLF13;KLF15;RELB;GATA2;ZBTB4;HIF1A;RXRB;ING4;FOXF2;BCLAF1;HMGB1;FOXO1;ATF6B;ELF1;PPARD;THRA;NFKB2;TBX5,32,0.452,exp05_lung-coregtor-r1
090d6d799349,CDKN1A,BCL3;ARID5A;THAP11;RELB;FOSL2;NFKB1;NFKB2;NFIL3;ETS2;PPARD;ABL1;MLX;IRF1;ATF6B;ARID5B;RELA;MAFF;RFXANK;RARA;ZNF384,20,0.0,exp05_lung-coregtor-r1
9402a7fb69ec,CLU,ARNT;HTATIP2;NR2F2;SMARCA1;STAT6;MAX;MAF;NFYB;SMAD3;IRF3;NR2F1;NKX2-1;CREB3L2;ELK3;ABL1;TBX4;NFIL3;PML;OSR1;RXRA;NFIX;SPI1;ID1;TEAD2;HSF4;ELF3;STAT5B;MEIS1;ZNF692;PHF1,30,0.3049,exp05_lung-coregtor-r1
41e4589477fc,CRYAB,SNAI1;MAFF;MYC;ID2;KLF6;HTATIP2;RXRA;KDM2A;ZNF503;THAP11;DDIT3;NCOR2;ETS2;STAT6;HBP1;TFE3;CTBP1;SMAD7;ARID5B;CEBPG;ZNF32,21,0.2382,exp05_lung-coregtor-r1
