cluster_uid,target,sources,n_sources,method
564977187a6b,ACTA2,ATF3;EGR1;FOS;HES6;JUNB;NR4A1;NR4A3,7,exp05-coregnet
07f9bc9dd266,APP,ARID5A;ATF3;BCL3;BHLHE41;CEBPD;EGR1;ETS2;FOS;HMGB2;JUN;JUNB;JUND;KLF2;KLF4;KLF6;MAFF;MAFK;MEF2C;MLXIPL;MYC;MYF6;MYOG;NFIL3;NR4A1;NR4A3,25,exp05-coregnet
430058e97b87,BCL2L1,ARID5B;ATOH8;BCL6;CBFB;CEBPB;CEBPD;ENO1;ETS2;FOSL2;FOXO1;FOXO3;GTF2IRD1;HTATIP2;KLF6;KLF9;MAFF;MEF2C;MYC;MZF1;NFIL3;NR4A3;SSRP1;STAT5A;XBP1;ZBTB16,25,exp05-coregnet
24b0fd2dc881,CDKN1A,ARID5B;ATOH8;BACH1;BCL6;CBFB;CEBPB;CEBPD;FOSL2;FOXO1;FOXO3;GTF2IRD1;HES6;HTATIP2;KLF6;MAFF;MEF2C;MYC;NFIL3;NR4A3;SSRP1;XBP1,21,exp05-coregnet
e6a2de5ec85c,CDKN1C,ARID5A;ARID5B;ATOH8;EGR1;FOS;FOSL2;FOXO1;HES6;KLF5;MLXIPL;NFIL3;NR4A3;SIX2,13,exp05-coregnet
a913b26a6e52,CLU,ARID5A;ATF3;EGR1;ETS2;FOS;HES6;JUNB;KLF2;MYC;NR4A1;NR4A3,11,exp05-coregnet
95168e47b941,CRYAB,EGR1;FOS;HES6;HMGB2;MYOG;NR4A3,6,exp05-coregnet
f1d3a49b6b5b,DUSP1,ARID5A;ARID5B;ATF3;ATOH8;CEBPB;CEBPD;EGR1;ETS2;FOS;FOSL2;FOXO1;FOXO3;HTATIP2;JUNB;KLF15;KLF2;KLF4;KLF6;MAFF;MYC;NFIL3;NR4A1;NR4A3;XBP1,24,exp05-coregnet
bab428346e6f,FASN,ARID5B;ATOH8;BACH1;BCL6;CBFB;CEBPB;CEBPD;FOSL2;FOXO1;FOXO3;GTF2IRD1;HTATIP2;KLF6;MEF2C;MYC;NFIL3;NR4A3;RORA;SSRP1;XBP1,20,exp05-coregnet
0b0b829912af,FN1,ARID5A;ATF3;EGR1;FOS;HES6;JUNB;MEF2C;MLXIPL;NR4A1;NR4A3;SIX2,11,exp05-coregnet
8118351a1036,GADD45B,ARID5A;ARID5B;ATF3;ATOH8;BCL3;BHLHE40;CEBPD;EGR1;ETS2;FOS;FOSL2;FOXO1;JUNB;KLF6;MAFF;MYC;NFIL3;NR4A1;NR4A3;RARA;XBP1,21,exp05-coregnet
086a6f116da1,HBB,EGR1;FOS;HES6;MAFF;NR4A3,5,exp05-coregnet
14d6a544b8e2,HLA-DRB1,ARID5A;ATF3;BCL3;BHLHE40;CEBPD;EGR1;ETS2;FOS;HES6;HMGB2;JUNB;KLF2;KLF6;MAFF;MLXIPL;MYC;MYF6;NR4A1;SIX2,19,exp05-coregnet
9b8d523d7fe4,HMOX1,ARID5B;CEBPD;FOXO1;HTATIP2;MAFF;MYC;MYF6;NR4A3;XBP1,9,exp05-coregnet
587a672457d7,HSP90AA1,ARID5A;ATF3;BCL3;BCL6;CEBPD;DDIT3;EGR1;ETS2;FOS;FOXO1;HES6;HTATIP2;JUNB;KLF5;KLF6;MAFF;MAFG;MAFK;MYC;MYF6;MYOG;NR1D1;NR4A3;SIX2;ZNF692,25,exp05-coregnet
2fa76455b508,HSPA1A,ARID5A;ATF3;EGR1;FOS;FOXO1;HES6;MLXIPL;NR4A1;NR4A3,9,exp05-coregnet
78fdb015761c,ID3,ARID5B;ATF3;ATOH8;BCL3;BCL6;CBFB;CEBPD;EGR1;ETS2;FOS;FOSL2;FOXO1;HES6;HTATIP2;ID1;JUNB;KLF2;KLF4;MAFF;MYC;MYOG;NFIL3;NR1D1;NR4A3;SSRP1;XBP1;ZBTB7B,27,exp05-coregnet
e098b89eb15e,MAT2A,ARID5A;ATF3;ATOH8;BCL3;BHLHE40;CEBPB;CEBPD;EGR1;ETS2;FOS;FOSL2;FOXO1;HES6;JUNB;KLF10;KLF6;MAFF;MYC;MYOD1;NFIL3;NR4A1;NR4A3;PPARD;RARA;XBP1;ZBTB38,26,exp05-coregnet
75f7e0177003,MCL1,ARID5B;BACH1;BCL6;CBFB;CEBPB;CEBPD;ENO1;FOSL2;FOXO1;FOXO3;GTF2IRD1;HTATIP2;KLF15;KLF6;KLF9;MAFF;MAFG;MAFK;MXI1;MYC;MZF1;NFIL3;NR1D1;NR4A3;RORA;RXRG;SSRP1;STAT5A;XBP1;ZBTB16;ZBTB38,31,exp05-coregnet
80afbbef58f8,MT1A,ARID5B;ATOH8;BCL6;CEBPD;ETS2;FOS;FOSL2;FOXO1;HES6;HTATIP2;MAFF;MEF2C;MYC;NFIL3;NR4A3;SIX2;XBP1,17,exp05-coregnet
ce8863b89a98,NFKBIA,ARID5B;ATOH8;BACH1;BCL6;CBFB;CEBPB;CEBPD;FOSL2;FOXO1;FOXO3;GTF2IRD1;KLF15;KLF9;MAFF;MEF2C;MYC;NFIL3;NR4A3;RORA;SSRP1;XBP1;ZBTB16,22,exp05-coregnet
1dc651293576,OGA,ARID5B;BCL6;CBFB;CEBPB;CEBPD;ENO1;ETS2;FOS;FOSL2;FOXO1;FOXO3;GTF2IRD1;HMGB2;HTATIP2;JUN;KLF15;KLF6;MAFF;MAFG;MAFK;MXI1;MYC;MZF1;NFIL3;NR4A3;SSRP1;STAT5A;TFEB;XBP1;ZBTB16;ZBTB38,31,exp05-coregnet
41b75438e29e,PDK4,ARID5B;ATOH8;BCL6;CEBPD;EGR1;FOSL2;FOXO1;FOXO3;HES6;HTATIP2;KLF15;MAFF;MEF2C;MYC;NFIL3;SIX2;XBP1,17,exp05-coregnet
f99034ac11ca,PER1,ARID5B;ATOH8;BACH1;BCL6;CBFB;CEBPB;CEBPD;ETS2;FOS;FOSL2;FOXO1;FOXO3;GTF2IRD1;HTATIP2;KLF15;KLF6;KLF9;MAFF;MAFK;MYC;NCOA3;NFIL3;RORA;SSRP1;STAT5A;TFEB;XBP1;ZBTB16;ZBTB38,29,exp05-coregnet
1413a52a1287,PIK3R1,ARID5B;ATOH8;BACH1;BCL6;CBFB;EGR1;FOS;FOSL2;FOXO1;FOXO3;GTF2IRD1;HES6;NR4A3;RORA;SIX2;SSRP1;XBP1;ZBTB16,18,exp05-coregnet
4e2ba362c756,SOD2,ARID5B;ATOH8;BCL6;CBFB;FOSL2;FOXO1;HES1;HES6;HTATIP2;MEF2C;MYC;NFIL3;NR4A1;NR4A3;SIX2;SSRP1;XBP1;ZBTB7B,18,exp05-coregnet
0f90a7cf015f,SPARC,ARID5A;ATF3;BCL3;CEBPD;EGR1;ETS2;FOS;HMGB2;JUN;JUNB;JUND;KLF2;MEF2C;MLXIPL;MYOG;NR4A1;NR4A3;SIX2,18,exp05-coregnet
1fa8f220121c,SQSTM1,ARID5B;BACH1;CBFB;CEBPD;DDIT3;FOSL2;FOXO1;FOXO3;GTF2IRD1;HMGA1;HMGB2;HTATIP2;KLF15;KLF6;MAFF;MAFG;MXI1;MYC;MYF6;NFIL3;NR1D1;NR4A3;RORA;SSRP1;STAT5A;TP63;XBP1;ZBTB16;ZBTB38,29,exp05-coregnet
6923c2b494a8,TAGLN,ARID5A;ATF3;CEBPD;EGR1;ETS2;FOS;HES6;HMGB2;JUNB;KLF2;MAFF;NR4A1;NR4A3,13,exp05-coregnet
5153004379a9,TIMP1,ARID5A;ATF3;BCL3;CEBPD;EGR1;ENO1;ETS2;FOS;HMGB2;JUNB;KLF6;MAFF;MYC;MYOG;XBP1,15,exp05-coregnet
5009c0586bda,TIMP3,ARID5B;ATF3;ATOH8;CBFB;CEBPD;EGR1;ETS2;FOS;FOSL2;FOXO1;FOXO3;HES6;HMGB2;ID1;JUNB;KLF15;KLF2;KLF4;KLF6;KLF9;MAFF;MYC;NFIL3;TP63;XBP1;ZBTB16,26,exp05-coregnet
055552301583,VEGFA,ARID5B;ATOH8;BHLHE40;EGR1;ETS2;FOS;FOSL2;FOXO1;KLF10;MAFF;MYF6;NFIL3;NR4A1;NR4A3;PPARGC1A,15,exp05-coregnet
b63420583032,VIM,ARID5A;ATF3;BCL3;CEBPD;EGR1;ETS2;FOS;FOXO1;HES6;HMGB2;JUNB;JUND;KLF2;KLF6;MAFF;MYC;MYF6;MYOG;NR4A1;NR4A3;SIX2;TP63,22,exp05-coregnet
