cluster_uid,target,sources,n_sources,method
48f62d2f0847,ACTA2,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,exp05-coregnet
5b4eff8469ef,APOE,ATF3;EGR1;FOSB;KDM5D;NR4A1,5,exp05-coregnet
e9c3adebabbc,CDKN1A,ARID5A;ATF3;BCL3;BHLHE40;CEBPD;EGR1;FOS;FOSB;FOSL2;FOXE1;JUNB;KDM5D;KLF6;MAFF;NFIL3;NR4A1,16,exp05-coregnet
49804b698b29,CLU,ATF3;EGR1;FOSB;KDM5D;NR4A1;NR4A2,6,exp05-coregnet
eb137c33993c,CRYAB,ATF3;BHLHE40;DDIT3;EGR1;FOS;FOSB;JUN;JUNB;KDM5D;KLF6;MAFF;NR4A1;NR4A2,13,exp05-coregnet
59456626e1f3,DUSP1,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;JUNB;JUND;KDM5D;KLF6;NR4A1;NR4A2,12,exp05-coregnet
23c1a0c9d8de,FN1,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,exp05-coregnet
79894a7211c6,GADD45B,ATF3;BCL6;BHLHE40;CEBPD;EGR1;FOS;FOSB;JUN;JUNB;KDM5D;MAFF;NR1D1;NR4A1,13,exp05-coregnet
ba00d2894744,HBA2,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,exp05-coregnet
50c968001143,HBB,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,exp05-coregnet
74df9b3a6229,HLA-DRB1,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;TFCP2L1,9,exp05-coregnet
ebe86ed45eb4,HSP90AA1,ATF3;BCL6;BHLHE40;DDIT3;EGR1;FOS;FOSB;HEYL;JUN;KDM5D;MAFF;NFIL3;NR4A1;NR4A2,14,exp05-coregnet
1ff97b9f31de,HSPA1A,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR4A1;NR4A2,9,exp05-coregnet
5865adc9de00,MT1A,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR4A1;NR4A2,9,exp05-coregnet
54ffa5ccef26,PDK4,ATF3;BHLHE40;EGR1;FOSB;KDM5D;NR4A1;NR4A2,7,exp05-coregnet
4c9489676e72,PER1,ATF3;BHLHE40;CEBPD;DBP;EGR1;FOS;FOSB;JUND;KDM5D;KLF6;MAFF;NR1D1;NR4A1;NR4A2;TEF;TFCP2L1;ZBTB16,17,exp05-coregnet
770d114c62bc,SOCS3,ARID5A;ATF3;BCL3;BHLHE40;EGR1;FOS;FOSB;JUNB;KDM5D;NR4A1,10,exp05-coregnet
e0c038639898,SOD2,BCL3;BCL6;CEBPD;EGR1;FOS;FOSB;KDM5D;NR1D1;NR4A1;NR4A2,10,exp05-coregnet
5b365c52c650,TAGLN,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;MAFF;NR1D1;NR4A1;NR4A2,12,exp05-coregnet
773c931cf710,TIMP1,ATF3;BCL3;BHLHE40;FOSB;KDM5D;NR4A1;NR4A2,7,exp05-coregnet
a165d4a92951,TIMP3,EGR1;FOSB;HEYL;KDM5D;KLF4;NR4A1;NR4A2;TFCP2L1;ZBTB16,9,exp05-coregnet
a02994ffffce,TKT,ATF3;BHLHE40;EGR1;FOS;FOSB;KDM5D;NR4A1;NR4A2,8,exp05-coregnet
a40f2c4a071a,TNFSF10,ATF3;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1,8,exp05-coregnet
bbac16d47976,VIM,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;HSF4;JUN;KDM5D;MAFF;NR1D1;NR4A1;NR4A2,13,exp05-coregnet
